,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_1_node_132,25,0.17391304347826084,0.0008039322889514085,0.3933070866141733,2.5425425425425425,0.029398512396951237,21.0,4.0,5.25,0.16,0.022099447513812157,0.004884004884004882,0.0869565217391304,0.0870862150145341,0.11049723756906073
graph_1_4_node_326,30,0.2482758620689655,0.0011991074721103153,0.3769811320754717,2.6526526526526526,0.010261488441660886,26.0,4.0,6.5,0.1333333333333333,0.038095238095238085,0.004469273743016759,0.0714285714285714,0.07156604737028162,0.2571428571428571
graph_1_5_node_99,25,0.31,0.0006164975875337371,0.3776937618147448,2.647647647647648,0.005913487335813486,22.0,3.0,7.333333333333331,0.12000000000000005,0.02586206896551724,0.003393665158371042,0.06382978723404255,0.06392307951877063,0.19827586206896547
graph_1_1_node_943,22,0.2554112554112554,0.0009680088002984043,0.39361702127659576,2.5405405405405403,0.026305733145508468,17.0,5.0,3.399999999999999,0.2272727272727272,0.02577319587628867,0.006203473945409432,0.1282051282051282,0.12836719750596126,0.09278350515463922
graph_1_3_node_64,28,0.3068783068783069,0.0006780247571468979,0.4042897612302712,2.4734734734734736,0.034996863320475274,25.0,3.0,8.333333333333332,0.10714285714285714,0.0155440414507772,0.0037174721189591055,0.05660377358490565,0.05669895426957205,0.1347150259067358
graph_1_3_node_526,22,0.2554112554112554,0.0009970908959766626,0.4010437575270975,2.4934934934934936,0.008730826058751813,19.0,3.0,6.333333333333332,0.1363636363636363,0.024000000000000004,0.003428571428571427,0.07317073170731705,0.0732658761683237,0.16
graph_1_1_node_486,14,0.2307692307692308,0.000292262390825558,0.3614327062228654,2.7667667667667666,0.005345750733866847,11.0,3.0,3.6666666666666656,0.21428571428571427,0.027777777777777787,0.00336322869955157,0.12000000000000005,0.12009721007096336,0.11111111111111116
graph_1_3_node_175,19,0.19298245614035087,0.0008530506320112624,0.3980079681274901,2.5125125125125125,0.00671701465610658,14.0,5.0,2.7999999999999994,0.2631578947368421,0.04,0.005714285714285714,0.15151515151515152,0.15167366528999854,0.12000000000000005
graph_1_2_node_962,22,0.2813852813852814,0.0006620075612098759,0.3715135738192637,2.6916916916916915,0.016496475448068548,18.0,4.0,4.5,0.18181818181818185,0.03448275862068966,0.004524886877828054,0.10000000000000002,0.10013425521917167,0.16379310344827586
graph_1_1_node_460,43,0.19601328903654489,0.002028401832389428,0.4084219133278823,2.448448448448449,0.03855156569390039,37.0,6.0,6.166666666666668,0.13953488372093026,0.04316546762589927,0.006968641114982578,0.07499999999999997,0.07519472932623651,0.2733812949640288
graph_1_3_node_429,14,0.2857142857142857,8.482154876900254e-05,0.3574239713774597,2.7977977977977977,0.0022636481755701357,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714
graph_1_1_node_440,20,0.4947368421052632,7.393527688446222e-05,0.3690432212781677,2.70970970970971,0.024555624716620192,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.15107913669064746
graph_1_1_node_303,21,0.26666666666666666,0.0008446282836926294,0.39377217185652347,2.53953953953954,0.034920181660322035,16.0,5.0,3.2000000000000006,0.2380952380952381,0.027624309392265185,0.006105006105006107,0.13513513513513511,0.13529719393006598,0.09392265193370168
graph_1_1_node_221,22,0.16017316017316016,0.0010903681947246142,0.3948616600790514,2.5325325325325325,0.01256698477614547,17.0,5.0,3.399999999999999,0.2272727272727272,0.03311258278145696,0.005889281507656067,0.1282051282051282,0.12836719750596126,0.119205298013245
graph_1_4_node_682,26,0.19384615384615386,0.001017089970863253,0.3817348108521208,2.61961961961962,0.013644099376158686,22.0,4.0,5.5,0.1538461538461538,0.02325581395348836,0.004830917874396132,0.08333333333333331,0.08347077148616452,0.13372093023255816
graph_1_5_node_459,14,0.3516483516483517,0.00024809443374590733,0.3769811320754717,2.6526526526526526,0.00624777030897142,13.0,1.0,13.0,0.0714285714285714,0.004651162790697674,0.0012738853503184713,0.037037037037037035,0.037068119000173816,0.06511627906976745
graph_1_4_node_322,24,0.11956521739130435,0.0007106862804590276,0.3771234428086071,2.6516516516516515,0.013052023459727693,21.0,3.0,7.0,0.125,0.017441860465116282,0.0036231884057971024,0.06666666666666665,0.0667697417396782,0.12209302325581395
graph_1_3_node_470,28,0.24867724867724866,0.0008447862574725815,0.3833461243284728,2.6086086086086087,0.010663041813436677,23.0,5.0,4.6,0.17857142857142852,0.046728971962616835,0.0055991041433370685,0.09803921568627454,0.09819781996859016,0.22429906542056074
