,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_5_node_448,48,0.06028368794326241,0.0028983190098712587,0.46486738017682644,2.151151151151151,0.037757121877097385,21.839,26.161,1.9274952299760484,0.5450208333333334,0.17657975209032448,0.030852205561930284,0.3783755852262875,0.37924464801327074,0.13928505874491284
graph_3_5_node_957,21,0.047619047619047616,0.0006643957035290424,0.43950725912890454,2.275275275275275,0.023049420009294025,6.376,14.624,0.8962090909090907,0.6963809523809522,0.11834419949327557,0.01670655947578819,0.5413770609318995,0.5418625700426326,0.0398371386369649
graph_3_1_node_340,32,0.1028225806451613,0.0009436675670608227,0.42420382165605097,2.3573573573573574,0.022487575955165748,24.684,7.316,14.780250593850592,0.228625,0.047308177032077715,0.00867392530130293,0.14339290767028834,0.1436235730906671,0.08331551666251498
graph_3_2_node_615,30,0.10344827586206896,0.0009568635276095904,0.43548387096774194,2.2962962962962963,0.029467433212557646,15.21,14.79,1.3274895104895104,0.493,0.09952201803809615,0.017389396031088154,0.32845006513243585,0.32893823384714466,0.10669068923485078
graph_3_3_node_312,17,0.08088235294117647,0.00038214325013715273,0.41625,2.4024024024024024,0.01890492820118728,11.14,5.86,6.484369047619046,0.3447058823529412,0.02818822894047085,0.007407953184265816,0.23423601953601952,0.23442789311593284,0.032061691641976954
graph_3_4_node_455,49,0.10119047619047619,0.002293524954935913,0.44321206743566993,2.2562562562562563,0.03920060452220868,31.241,17.759,2.294547630718954,0.36242857142857143,0.15254443348979418,0.0201170248319727,0.22193575794744289,0.22250822373202778,0.27195225256248623
graph_3_5_node_827,31,0.053763440860215055,0.0013112599016909994,0.4294926913155632,2.3283283283283285,0.020288817429858448,20.275,10.725,2.522339935064934,0.34596774193548385,0.07746995672542337,0.012457519203981707,0.21026033791916154,0.2106167807778479,0.12043137741340633
graph_3_3_node_778,26,0.06769230769230769,0.0007202855487138314,0.4183417085427136,2.3903903903903903,0.020752839051917334,17.533,8.467,9.679484848484847,0.3256538461538462,0.040722573565854354,0.010704677799391724,0.21696937039137834,0.21724665945063296,0.04773925056807177
graph_3_5_node_441,19,0.06432748538011696,0.000396416520770666,0.3951740506329114,2.5305305305305303,0.01369531126684472,9.252,9.748,1.3378305555555554,0.5130526315789473,0.07042288792287923,0.011321661598219403,0.34804807060755333,0.34837181714267274,0.06373064164518236
graph_3_3_node_299,13,0.07692307692307693,0.00016512569074620214,0.4020120724346076,2.4874874874874875,0.013613106327975672,7.784,5.216,4.922736111111111,0.40123076923076917,0.02530013032236316,0.006578118284150938,0.2897479500891266,0.2899187090089948,0.018777473834144628
graph_3_2_node_819,24,0.03985507246376811,0.0007868693039539978,0.41957160856782866,2.3833833833833835,0.019692109856049633,8.246,15.754,0.7665664335664335,0.6564166666666666,0.11049318383655787,0.018433351382635556,0.4914939359527595,0.4920136670983534,0.04874127784544778
graph_3_3_node_833,36,0.06031746031746032,0.0013706805411284372,0.452445652173913,2.21021021021021,0.030702381911473994,26.874,9.126,13.522626373626375,0.2535,0.04670479866017205,0.011351299212215091,0.15730408282541536,0.1576031199364791,0.08388948265605717
graph_3_1_node_837,31,0.06451612903225806,0.00095578331013742,0.43228039809606233,2.3133133133133135,0.022211136371833713,22.559,8.441,14.122406135531135,0.2722903225806452,0.04576521705945201,0.010362843897280725,0.17952943737563795,0.1797955056346363,0.06240063098498364
graph_3_2_node_260,32,0.0625,0.0013955825516296972,0.42986230636833045,2.3263263263263263,0.025023750381980094,18.178,13.822,1.6283000333000335,0.4319375,0.09344764974028966,0.016249788989510676,0.2763328188053161,0.2767891419396226,0.11389101422871203
graph_3_3_node_30,34,0.09269162210338681,0.0011733614070224628,0.45867768595041325,2.18018018018018,0.03603792626641979,26.827,7.173,13.167190476190477,0.21097058823529413,0.03300133029969826,0.00917028289253959,0.12581799525209242,0.12605307564616264,0.08052158902236374
graph_3_2_node_381,21,0.05263157894736842,0.0004155220284209913,0.4122988031366075,2.4254254254254253,0.018664435792917523,10.165,10.835,1.13960303030303,0.5159523809523809,0.06991287460371634,0.012872336989931166,0.3491298128342246,0.34948736947922643,0.03840229375024001
graph_3_2_node_412,16,0.14166666666666666,0.0003453468726540276,0.41128036228900783,2.4314314314314314,0.02083821766450028,8.156,7.844,1.199095238095238,0.49025,0.04259918400687944,0.009657733957235909,0.32635490716180365,0.3266137518852662,0.04839740401607402
graph_3_4_node_358,26,0.06153846153846154,0.000829002608235782,0.4174676138737986,2.3953953953953953,0.020989733039550512,12.226,13.774,1.171125541125541,0.5297692307692308,0.08359165565452238,0.016525480576676292,0.3621457617178328,0.36258928474785895,0.06014438888020686
graph_3_1_node_265,20,0.11578947368421053,0.00041772773001604084,0.4414494034467521,2.265265265265265,0.02102505465244433,13.246,6.754,9.098454545454546,0.33769999999999994,0.06330196566758678,0.007575743496022012,0.24105651782403725,0.2412693230628371,0.05625645755130015
graph_3_5_node_44,21,0.08571428571428572,0.0005807225988355436,0.4134933774834437,2.4184184184184185,0.016840695118826146,7.366,13.634,0.996090909090909,0.6492380952380951,0.13377681488532656,0.015201507040885869,0.4865483870967742,0.4870010742898327,0.07687581400528219
graph_3_1_node_239,42,0.06039488966318235,0.0016361119814781474,0.4459821428571429,2.2422422422422423,0.028052994185496997,33.001,8.999,19.234605769230768,0.21426190476190476,0.03628908379865797,0.011983175571148953,0.13228051861218912,0.13256434586216845,0.07025353411105938
graph_3_4_node_15,28,0.08994708994708994,0.0009406947076256626,0.44419742107603377,2.2512512512512513,0.028079122434559768,12.216,15.784,1.0804371794871794,0.5637142857142855,0.1506819821743119,0.0176487075042334,0.3944318156035683,0.3949400269632397,0.11342133813470354
graph_3_3_node_603,35,0.11428571428571428,0.0011075423746815596,0.4304179233089186,2.3233233233233235,0.029719966512665306,27.819,7.181,13.570434343434346,0.20517142857142853,0.064510328018385,0.008087351283808985,0.12170686301750484,0.12194222081535486,0.15083776202228738
graph_3_5_node_641,21,0.1,0.0004571955580197038,0.4102669404517454,2.4374374374374375,0.020912846691509588,9.305,11.695,1.2410517482517485,0.5569047619047617,0.0787171056818288,0.013808523060857806,0.3897103938586734,0.3900987776345286,0.06615309035742706
graph_3_4_node_70,29,0.06403940886699508,0.0010532411495197565,0.4276541095890411,2.3383383383383385,0.022979208374931753,13.234,15.766,1.1600541666666668,0.5436551724137932,0.15062397351630324,0.01762273685589604,0.37521196013289043,0.3757196247978207,0.11342132775148281
graph_3_5_node_998,16,0.18333333333333332,0.00023190107276025725,0.3953304313415117,2.5295295295295297,0.016330539701389587,9.178,6.822,1.6433904761904763,0.426375,0.06467608876060996,0.007638886945437272,0.27280188848188863,0.27302848047652,0.09281163552401452
graph_3_4_node_8,22,0.1645021645021645,0.0005201115104136329,0.4046172539489672,2.4714714714714714,0.0213366096787191,14.101,7.899,1.9952261904761905,0.3590454545454545,0.06781862711951511,0.008949569541383673,0.21939386755176235,0.21964829656020363,0.12741194813930062
graph_3_4_node_324,40,0.07307692307692308,0.0017605162821960542,0.44818304172274565,2.2312312312312312,0.035665885630050284,21.346,18.654,1.5902267433289108,0.46634999999999993,0.10991235569323544,0.02254402890583318,0.3053950887449819,0.3059960022702498,0.12814281605772662
graph_3_5_node_456,18,0.0784313725490196,0.0004397840988422072,0.4307891332470893,2.3213213213213213,0.024063720013867255,6.455,11.545,0.9511168831168831,0.6413888888888888,0.05945019551349631,0.014400078718674934,0.47897043324491595,0.4793537633668441,0.03053467933557105
graph_3_2_node_147,17,0.08088235294117647,0.00043688954329318717,0.41992433795712486,2.3813813813813813,0.01940248943866268,7.158,9.842,0.8909571428571426,0.5789411764705881,0.06905177921978833,0.011513484520249377,0.4095648148148149,0.4098895486563229,0.04872449974455605
graph_3_3_node_951,15,0.0761904761904762,0.00025349360401314867,0.4065934065934066,2.4594594594594597,0.01447950262302164,8.476,6.524,5.532625,0.43493333333333334,0.051226919646924815,0.007482744204336426,0.3260909090909091,0.32630447478145574,0.03457228222293751
graph_3_5_node_4,26,0.07384615384615385,0.00080826387699991,0.4300473525613431,2.325325325325325,0.02530207563997767,13.463,12.537,1.636610606060606,0.48219230769230775,0.06533380390954246,0.015594864869498798,0.3206795727307922,0.32109601950691924,0.0664035094713561
graph_3_5_node_779,20,0.07368421052631578,0.0005281318868163989,0.41555740432612315,2.4064064064064064,0.02031028424966564,10.327,9.673,1.4810396825396825,0.48364999999999997,0.06535565245669676,0.011401501100468284,0.3218199499741245,0.3221412287206473,0.07254488404261453
graph_3_2_node_638,42,0.052564102564102565,0.0022478980445227717,0.4465802413947251,2.239239239239239,0.03343650899949109,25.237,16.763,1.9258633484162893,0.3991190476190477,0.11340824615307045,0.019700905720008457,0.25005636544771553,0.25060998560764436,0.13402128788635406
graph_3_4_node_256,16,0.11666666666666667,0.0003328685686300052,0.408255006129955,2.4494494494494496,0.01874290565151555,8.121,7.879,1.1896571428571427,0.4924375,0.06125457966503044,0.009054839757425494,0.3280825722425722,0.32833625930709903,0.06919363491513687
graph_3_4_node_786,23,0.16600790513833993,0.0004814338773015861,0.42258883248730966,2.3663663663663663,0.025589968849938135,13.134,9.866,1.5643611111111113,0.42895652173913057,0.08474263437078877,0.011176536379292168,0.2739718666034455,0.2742896125299014,0.11904340994774734
graph_3_3_node_983,24,0.09057971014492754,0.0007044795153581554,0.41816659690246966,2.3913913913913913,0.02168500312945811,14.868,9.132,8.796085714285713,0.3805,0.08208127076063401,0.010281942664381314,0.2685067079463364,0.26880570638190043,0.07077201429289481
graph_3_1_node_111,34,0.13725490196078433,0.0010698625424225647,0.4428191489361702,2.2582582582582584,0.027752959068163965,26.12,7.88,15.63327619047619,0.2317647058823529,0.06272423532294447,0.009025621141088212,0.1458686371100164,0.14611709267352793,0.10771942885555626
graph_3_5_node_192,38,0.10384068278805121,0.0015841957592038734,0.43134715025906734,2.3183183183183185,0.025860989156394225,21.465,16.535,2.130844607843137,0.43513157894736854,0.16235267368394796,0.01843040816656413,0.2801049791332308,0.28065444436629816,0.2114709482614526
