,Stability
graph_4_1_node_291,0
graph_4_1_node_680,0
graph_4_5_node_503,0
graph_4_4_node_918,0
graph_4_5_node_221,0
graph_4_5_node_564,0
graph_4_5_node_831,0
graph_4_1_node_699,0
graph_4_5_node_689,0
graph_4_4_node_654,0
graph_4_2_node_326,0
graph_4_1_node_327,0
graph_4_5_node_444,0
graph_4_2_node_631,0
graph_4_1_node_615,0
graph_4_2_node_180,0
graph_4_2_node_592,0
graph_4_3_node_322,0
graph_4_3_node_641,0
graph_4_3_node_90,0
graph_4_5_node_268,0
graph_4_1_node_483,0
graph_4_5_node_349,0
graph_4_1_node_109,0
graph_4_3_node_965,0
graph_4_5_node_261,0
graph_4_1_node_865,0
graph_4_3_node_547,0
graph_4_4_node_296,0
graph_4_2_node_452,0
graph_4_4_node_757,0
graph_4_4_node_99,0
graph_4_1_node_852,0
graph_4_5_node_321,0
graph_4_1_node_60,0
graph_4_1_node_894,0
graph_4_5_node_923,0
graph_4_4_node_726,0
graph_4_2_node_680,0
graph_4_5_node_3,0
graph_4_5_node_735,0
graph_4_5_node_198,0
graph_4_4_node_665,0
graph_4_3_node_71,0
graph_4_3_node_165,0
graph_4_4_node_372,0
graph_4_5_node_191,0
graph_4_1_node_171,0
graph_4_4_node_537,0
graph_4_2_node_351,0
graph_4_2_node_901,0
graph_4_5_node_233,0
graph_4_3_node_678,0
graph_4_4_node_491,0
graph_4_5_node_655,0
graph_4_1_node_311,0
graph_4_4_node_362,0
graph_4_1_node_851,0
graph_4_2_node_58,0
graph_4_5_node_293,0
graph_4_3_node_201,0
graph_4_1_node_709,0
graph_4_2_node_272,0
graph_4_2_node_384,0
graph_4_4_node_807,0
graph_4_5_node_337,0
graph_4_1_node_204,0
graph_4_1_node_201,0
graph_4_5_node_863,0
graph_4_5_node_807,0
graph_4_5_node_870,0
graph_4_4_node_657,0
graph_4_3_node_292,0
graph_4_2_node_702,0
graph_4_1_node_101,0
graph_4_2_node_811,0
graph_4_4_node_949,0
graph_4_3_node_516,0
graph_4_3_node_224,0
graph_4_1_node_644,0
graph_4_5_node_124,0
graph_4_4_node_425,0
graph_4_1_node_449,0
graph_4_2_node_861,0
graph_4_5_node_797,0
graph_4_4_node_94,0
graph_4_1_node_601,0
graph_4_2_node_385,0
graph_4_5_node_426,0
graph_4_1_node_964,0
graph_4_1_node_221,0
