,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_3_node_602,25,0.09,0.0006532544773730898,0.4269230769230769,2.3423423423423424,0.0224028977712424,22.648000000000003,2.352,19.046531746031746,0.09408,0.010137582156062894,0.0033946441880985875,0.05792857765414596,0.058005626476967775,0.032827671523685736
graph_3_3_node_576,23,0.09486166007905138,0.00042421103389382055,0.39991993594875896,2.5005005005005003,0.017496310056388804,21.778000000000002,1.222,18.123683333333336,0.0531304347826087,0.005172224748604979,0.0017852570998686474,0.029704863929793032,0.029744907751436664,0.032949836118839275
graph_3_1_node_160,17,0.08088235294117647,0.00025299809467893927,0.4159034138218152,2.4044044044044046,0.016687928756577118,14.918,2.082,12.694074458874463,0.12247058823529412,0.005396264410975419,0.004436621605671804,0.08101286595255484,0.08107847707368285,0.014990661032679882
graph_3_5_node_197,43,0.07973421926910297,0.0024171767863037487,0.4612188365650969,2.1681681681681684,0.03678318634252147,38.552,4.448,31.26970389581198,0.10344186046511628,0.02532403996342639,0.0073545061233037156,0.0670345305341531,0.06718235557798352,0.05600002720258082
graph_3_5_node_54,20,0.06842105263157895,0.0005472872126547026,0.4028225806451613,2.4824824824824825,0.01576062220837781,17.701,2.299,15.042155122655124,0.11494999999999997,0.01853875405410309,0.003641682176260121,0.07680049075761805,0.07687685037468496,0.024124828516435583
graph_3_3_node_457,20,0.08421052631578947,0.00045656047375831367,0.4197478991596639,2.3823823823823824,0.020218425173811456,18.257,1.743,15.531103896103895,0.08715,0.006498789378535029,0.002696576014473083,0.05403969262240752,0.0540967823590518,0.021537986766119246
graph_3_5_node_332,23,0.06324110671936757,0.0006764847687161438,0.4160766347355269,2.4034034034034035,0.018167421042243358,20.465999999999998,2.5340000000000003,18.299140900765906,0.11017391304347823,0.01683346994667243,0.0037308771595853103,0.07442456177037911,0.07450872739353663,0.02579520180682284
graph_3_5_node_987,16,0.03333333333333333,0.0003314616424383156,0.3893219017926734,2.5685685685685686,0.012323528162653651,14.164000000000001,1.8359999999999999,12.763871284271286,0.11475,0.006326316970857979,0.0032562126635647037,0.07938103024655231,0.07944200309067605,0.007948837754379347
graph_3_2_node_796,25,0.08333333333333333,0.0007023609090570024,0.4227676682183665,2.365365365365365,0.02384331551454551,21.219,3.781,16.15318561993562,0.15124,0.02986575455842375,0.004540864336535915,0.09521853737220266,0.09534335270564792,0.05432110172899572
graph_3_3_node_667,32,0.05040322580645161,0.0012333644907538438,0.43681679055531264,2.289289289289289,0.025450498252411063,28.831,3.1689999999999996,24.199084626484627,0.09903125,0.013417752029543557,0.004630073920244377,0.06155177044553186,0.06165559899714141,0.0336857903212649
graph_3_5_node_428,19,0.1695906432748538,0.0003922632345895312,0.4227676682183665,2.365365365365365,0.02885677729011799,16.86,2.14,13.839325,0.11263157894736843,0.010155019119133982,0.002829307904709855,0.06989964542816486,0.06997073692936744,0.02770808158260777
graph_3_1_node_776,17,0.11029411764705882,0.0002452910490168165,0.4238438693254137,2.3593593593593587,0.017251886436384853,15.519,1.4809999999999999,12.954496428571426,0.08711764705882352,0.0039586529465500606,0.0031576892257098718,0.0524660821751478,0.05251276443415405,0.016524440502680395
graph_3_3_node_271,24,0.08695652173913042,0.0006994800988385765,0.4206315789473684,2.3773773773773774,0.023180283452792227,21.189,2.8110000000000004,18.165621911421916,0.117125,0.011508815006078536,0.0039401584044113525,0.07666968606372311,0.07676174791202049,0.02653288228637651
graph_3_5_node_542,73,0.06012176560121765,0.006044911939641025,0.4712264150943396,2.1221221221221223,0.04689659173970299,68.21600000000001,4.784,53.22648747157894,0.06553424657534243,0.01951669498654413,0.008581890680299478,0.03827248211441588,0.038431767792574116,0.09266007259736674
graph_3_2_node_811,50,0.057142857142857134,0.0027186310228466204,0.4607933579335794,2.17017017017017,0.045781494374953255,43.196999999999996,6.803,31.821447810402532,0.13606,0.031069879102376588,0.009613954258297586,0.08369726740893743,0.08392202737697753,0.07961636173452308
graph_3_5_node_215,102,0.0683362453892448,0.01123918627591658,0.5045454545454545,1.981981981981982,0.07639810751721719,94.541,7.459,73.12770587717061,0.07312745098039215,0.04245199343940483,0.012396130943299858,0.04349774701478405,0.04374629766706116,0.1588578210419012
graph_3_1_node_204,23,0.18181818181818185,0.0004954022607868734,0.4319066147859921,2.3153153153153148,0.029727090121708637,20.614,2.386,17.083020634920636,0.1037391304347826,0.012103898157743024,0.0030705389772809678,0.06393772584318155,0.06401294177208819,0.03520603124570475
graph_3_4_node_790,29,0.10344827586206896,0.0009318753202176848,0.4238438693254137,2.3593593593593587,0.02686229118475464,24.0,5.0,18.86454072776639,0.17241379310344826,0.035559994846656534,0.006284581418309075,0.11441856303242492,0.11457959026143387,0.05467649581515605
graph_3_3_node_456,139,0.05613997423787033,0.017240202593481732,0.5288512440444679,1.8908908908908908,0.11909890799903683,128.44799999999998,10.552,103.94596706823508,0.07591366906474821,0.04364141338539464,0.014705253631112062,0.04491408453343927,0.045261206733279005,0.19431881254167832
graph_3_4_node_115,34,0.1028225806451613,0.0009067350020668293,0.4153846153846154,2.4074074074074074,0.02597628984004121,30.564,3.4360000000000004,22.599008080808087,0.10105882352941176,0.027521112107294063,0.0040906700036739355,0.0589280602289511,0.0590388025269133,0.07742142133467786
graph_3_5_node_901,31,0.07096774193548387,0.0012331401939292507,0.4385425812115891,2.2802802802802797,0.02579414351611437,27.656999999999996,3.343,22.8109002361072,0.10783870967741936,0.02264598888644189,0.005319122879489582,0.07039068318340333,0.07050175117688368,0.04313868326259093
graph_3_1_node_384,16,0.13333333333333333,0.000269885849892934,0.42601279317697227,2.3473473473473474,0.02106639216048193,14.033,1.9669999999999999,11.94694603174603,0.1229375,0.006876557121344732,0.004258972727264123,0.08031819198847684,0.0803801793569958,0.01649843481337583
graph_3_2_node_699,26,0.09846153846153846,0.0007701926748508403,0.4122988031366075,2.4254254254254253,0.022229334303462592,22.648000000000003,3.352,16.967901875901873,0.12892307692307695,0.018919267534619817,0.004508805182861717,0.07844382368284977,0.07855449583166345,0.04805335793449305
graph_3_3_node_555,26,0.09230769230769233,0.0006261394953667097,0.4016887816646562,2.4894894894894897,0.020165097428811226,23.546999999999997,2.4530000000000003,19.778796969696966,0.09434615384615384,0.020632433237944538,0.002922055441449883,0.05801115716605228,0.05809151730604984,0.05050305730166154
graph_3_3_node_459,16,0.15833333333333333,0.00026122476724143787,0.4042897612302712,2.4734734734734736,0.018849768580426415,13.815,2.185,12.127159307359307,0.1365625,0.014213719660713234,0.002770014645360999,0.093691154642459,0.09376269561893297,0.022694615092923427
graph_3_1_node_615,28,0.052910052910052914,0.0008368809347108847,0.4373905429071804,2.2862862862862863,0.02148171373467506,25.56,2.44,20.944762703962702,0.08714285714285712,0.00675086984060106,0.0050405981591607404,0.05321317654085155,0.05329010986917749,0.023756184403106992
graph_3_2_node_815,17,0.1176470588235294,0.0003115878073141671,0.3947056499407349,2.5335335335335336,0.01534160725168034,14.809000000000001,2.191,11.37171865079365,0.12888235294117648,0.009918216717355295,0.0033146831236382825,0.07859351197889575,0.07866583122529522,0.02631917868614004
graph_3_1_node_796,19,0.08187134502923976,0.00042803469483933374,0.4143508917461634,2.413413413413413,0.015770523140976055,17.102,1.8980000000000001,14.496785367410366,0.09989473684210526,0.007478460387502102,0.0035108950730321302,0.06587496088097068,0.06593477736608683,0.017812060170193954
graph_3_2_node_538,27,0.10256410256410256,0.0008673681664478893,0.432842287694974,2.31031031031031,0.028072457665665528,23.281,3.719,17.520738611388616,0.1377407407407407,0.020828056367914047,0.00486255296415205,0.08516383594920596,0.08528662064114081,0.046873975641821344
graph_3_4_node_693,34,0.1319073083778966,0.0011087074858280334,0.4280205655526992,2.3363363363363363,0.030864823762524942,29.864,4.136,22.359423282273283,0.1216470588235294,0.033081616266945085,0.0049327619048815646,0.07341095317896107,0.07354423123785915,0.0827672714172144
graph_3_3_node_284,30,0.0735632183908046,0.0009337276419357268,0.4414494034467521,2.265265265265265,0.02872708982928635,26.476999999999997,3.523,22.614581056198702,0.11743333333333332,0.014328347592494343,0.004978329304050268,0.07679567072880471,0.0769110648310933,0.03581984084069724
graph_3_4_node_97,31,0.07096774193548387,0.001149516161737668,0.43643512450851896,2.2912912912912917,0.0287372839223404,26.701999999999998,4.298,20.371281790595027,0.13864516129032256,0.018056488066619164,0.006189278855615163,0.08716265905498688,0.08730111789240917,0.03851647991468879
graph_3_5_node_581,18,0.12418300653594773,0.00039394749497685715,0.4095940959409594,2.4414414414414414,0.018995135881389808,15.504000000000001,2.496,13.037099550449552,0.13866666666666666,0.01713934647758683,0.005293121527950878,0.09389541969178472,0.0939783167703753,0.023210320626958703
graph_3_2_node_609,32,0.11693548387096775,0.0011931268384170915,0.4400881057268721,2.2722722722722724,0.032768284866692886,27.909000000000002,4.091,20.69823185703186,0.12784375,0.022895867273473758,0.0055214213469083106,0.07751355975968938,0.07764865865895823,0.06111528500697841
graph_3_4_node_316,53,0.09506531204644413,0.003093424377182204,0.4748098859315589,2.106106106106106,0.04862866112420019,44.7,8.3,34.137087834522426,0.15660377358490565,0.06588518577229527,0.009923018227474751,0.10040788528522906,0.10067537044332904,0.1164729794338704
graph_3_1_node_664,64,0.10206240084611316,0.0029236352222870524,0.4714487966021708,2.1211211211211207,0.05946084973473234,58.486000000000004,5.513999999999999,46.85798971942642,0.08615625,0.028063235143457682,0.007062173213531801,0.051149577187423835,0.051323660479416174,0.10279102963726887
graph_3_1_node_788,25,0.1422924901185771,0.00047063389442796846,0.40478119935170176,2.4704704704704703,0.015333605427633984,23.315,1.685,19.61568326118326,0.0674,0.01190380419058123,0.0025022056663647624,0.0400943218928812,0.0401474504269913,0.036035580657484335
graph_3_1_node_476,28,0.11904761904761905,0.0006812014244517045,0.4414494034467521,2.265265265265265,0.03166299409824569,24.038,3.9619999999999997,20.492222921522924,0.1415,0.0195470194090909,0.00539711063918527,0.09534828873597807,0.0954731578446244,0.036337942576888535
graph_3_1_node_79,34,0.1265597147950089,0.0010403839265673172,0.4510158013544018,2.2172172172172173,0.038954392645736434,30.38,3.62,25.00957308802309,0.10647058823529412,0.01836365529175352,0.0046859125898756505,0.0661256491223789,0.06623979554584869,0.04965813249439174
graph_3_3_node_983,24,0.09057971014492754,0.0007044795153581554,0.4181665969024697,2.391391391391392,0.02168500312945811,20.613000000000003,3.387,18.059014585414587,0.141125,0.027850361193787452,0.0041530051554349535,0.0982221843560362,0.09833308675011072,0.03572669876904168
graph_3_5_node_151,20,0.08947368421052633,0.000521045871488004,0.4220532319391635,2.369369369369369,0.017146371742570516,18.492,1.508,16.14888888888889,0.07540000000000001,0.008134889359207994,0.0024284164978393397,0.0454817216946449,0.04553182433355933,0.02550669810149357
graph_3_4_node_675,20,0.1,0.00048245944595401327,0.4211635750421585,2.374374374374374,0.020212442098402818,16.45,3.55,13.21328687978688,0.1775,0.014096757911569216,0.005268953361781502,0.12120727807982395,0.12132158150480045,0.02161084054456401
