,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_3_node_914,34,0.1140819964349376,0.001234681573872964,0.4023358840112767,2.4854854854854853,0.023450227159994307,26.584,7.416,4.061023015873016,0.21811764705882353,0.04934734727457236,0.009129239150620421,0.12299396651337975,0.1232415869229367,0.16501972857180675
graph_2_1_node_6,26,0.2553846153846154,0.0005610227602330096,0.4064279902359642,2.4604604604604603,0.019794191217092937,20.118,5.882,3.5837047619047624,0.22623076923076926,0.047413044774291174,0.006837987517547721,0.1277335655693051,0.12791387419425937,0.16677606958544972
graph_2_1_node_477,17,0.3235294117647059,0.0001406496272258278,0.4046172539489672,2.4714714714714714,0.021413074393703234,15.06,1.94,7.785,0.11411764705882353,0.006948681739705948,0.0029065434745675508,0.060625,0.06068445813411794,0.05652045426381776
graph_2_1_node_555,26,0.18461538461538463,0.0007240067075274895,0.4320934256055363,2.314314314314314,0.020607851656688374,17.432,8.568,2.4410515873015872,0.3295384615384615,0.06629234209302932,0.010089353720744952,0.19850709304221198,0.19876966970428042,0.13500322528078812
graph_2_3_node_835,19,0.07602339181286549,0.0005436707276248614,0.4070904645476773,2.4564564564564564,0.016728870992978883,11.493,7.507,1.7491011904761904,0.3951052631578946,0.04710121440886865,0.00932710848108123,0.24830491488556003,0.24855532160657937,0.06054211594687025
graph_2_5_node_980,20,0.1,0.0005070683208395799,0.41659716430358634,2.4004004004004003,0.016532258235497012,11.076,8.924,1.7089920634920637,0.44620000000000004,0.0416092586307013,0.012168853742846751,0.2927627192124595,0.29304583756826186,0.04862149521703328
graph_2_1_node_249,33,0.1534090909090909,0.0008506803097476013,0.4276541095890411,2.3383383383383385,0.03209674418121912,25.614,7.386,3.8466750000000003,0.22381818181818172,0.026968561204499964,0.010768589500994711,0.12651781557795344,0.12674429092037748,0.09267917757259408
graph_2_4_node_236,24,0.07971014492753623,0.0009873915262130517,0.41298057048367093,2.4214214214214214,0.022943406770026927,14.666,9.334,1.833828571428571,0.38891666666666674,0.0544377783853473,0.011815783501908346,0.24358542400292818,0.24390485238066215,0.07400763819497234
graph_2_5_node_761,32,0.11895161290322581,0.0008871122162949549,0.4051094890510949,2.4684684684684686,0.018838253689038152,25.666,6.334,4.93147619047619,0.1979375,0.029376104649896536,0.008651676446645424,0.1105289328486485,0.11073008858179444,0.1137040177096292
graph_2_3_node_991,17,0.11764705882352941,0.0005164059967818983,0.40120481927710844,2.4924924924924925,0.016722656209464545,9.653,7.347,1.7206996031746031,0.4321764705882354,0.04902082809646897,0.009005173681296564,0.2797862275884828,0.2800312654786062,0.051393610751290085
