,Stability
graph_5_mu_0_3_node_70,0
graph_2_mu_0_3_node_642,1
graph_1_mu_0_3_node_372,1
graph_5_mu_0_3_node_631,1
graph_1_mu_0_3_node_3,1
graph_5_mu_0_3_node_435,0
graph_2_mu_0_3_node_430,1
graph_2_mu_0_3_node_204,1
graph_5_mu_0_3_node_732,0
graph_3_mu_0_3_node_546,0
graph_5_mu_0_3_node_625,0
graph_1_mu_0_3_node_908,1
graph_4_mu_0_3_node_843,1
graph_4_mu_0_3_node_681,1
graph_2_mu_0_3_node_540,1
graph_2_mu_0_3_node_848,1
graph_3_mu_0_3_node_62,1
graph_1_mu_0_3_node_791,0
graph_1_mu_0_3_node_61,1
graph_5_mu_0_3_node_581,0
graph_4_mu_0_3_node_657,1
graph_1_mu_0_3_node_80,0
graph_3_mu_0_3_node_867,0
graph_2_mu_0_3_node_109,1
graph_4_mu_0_3_node_123,1
graph_5_mu_0_3_node_890,0
graph_5_mu_0_3_node_833,1
graph_3_mu_0_3_node_52,0
graph_2_mu_0_3_node_966,1
graph_3_mu_0_3_node_491,0
graph_5_mu_0_3_node_321,0
graph_4_mu_0_3_node_57,1
graph_1_mu_0_3_node_188,1
graph_3_mu_0_3_node_991,1
graph_5_mu_0_3_node_773,0
graph_3_mu_0_3_node_584,0
graph_1_mu_0_3_node_56,0
graph_3_mu_0_3_node_348,0
graph_3_mu_0_3_node_954,0
graph_3_mu_0_3_node_120,0
graph_4_mu_0_3_node_247,1
graph_2_mu_0_3_node_835,1
graph_2_mu_0_3_node_493,1
graph_5_mu_0_3_node_647,1
graph_1_mu_0_3_node_653,0
graph_3_mu_0_3_node_523,0
graph_2_mu_0_3_node_624,1
graph_1_mu_0_3_node_870,0
graph_3_mu_0_3_node_376,0
graph_3_mu_0_3_node_899,0
graph_3_mu_0_3_node_723,0
graph_5_mu_0_3_node_969,0
graph_5_mu_0_3_node_134,0
graph_3_mu_0_3_node_919,0
graph_4_mu_0_3_node_446,1
graph_4_mu_0_3_node_393,1
graph_3_mu_0_3_node_251,0
graph_4_mu_0_3_node_290,1
graph_5_mu_0_3_node_393,0
graph_1_mu_0_3_node_848,0
graph_2_mu_0_3_node_741,1
graph_5_mu_0_3_node_791,0
graph_5_mu_0_3_node_326,0
graph_3_mu_0_3_node_824,0
graph_4_mu_0_3_node_922,1
graph_3_mu_0_3_node_662,0
graph_5_mu_0_3_node_465,0
graph_4_mu_0_3_node_893,1
graph_2_mu_0_3_node_879,1
graph_2_mu_0_3_node_43,1
graph_1_mu_0_3_node_772,1
graph_2_mu_0_3_node_611,1
graph_1_mu_0_3_node_532,0
graph_3_mu_0_3_node_640,0
graph_1_mu_0_3_node_459,0
graph_3_mu_0_3_node_440,0
graph_5_mu_0_3_node_532,0
graph_2_mu_0_3_node_240,1
graph_5_mu_0_3_node_831,0
graph_1_mu_0_3_node_592,0
graph_3_mu_0_3_node_933,0
graph_1_mu_0_3_node_986,0
