,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_3_node_720,37,0.05105105105105105,0.0014323649831226716,0.4387351778656127,2.2792792792792795,0.029120694295246337,23.006999999999998,13.993,1.6444588744588742,0.3781891891891892,0.07203802755247986,0.017371812683776,0.2331950332821301,0.23365357987948626,0.11838270460017625
graph_3_1_node_452,21,0.09523809523809523,0.0004389872550380188,0.4074225122349103,2.454454454454454,0.01566246161393739,10.008,10.992,0.9112969696969694,0.5234285714285715,0.08712705868944583,0.012582830368154376,0.35452608748778097,0.3548724778538038,0.08716397224863237
graph_3_4_node_439,32,0.1592741935483871,0.0009315623495988008,0.4258312020460358,2.3483483483483485,0.03056759774809692,21.019000000000002,10.981,1.9163082251082255,0.34315625,0.09439039016567992,0.012434378483194251,0.2071388549513674,0.20749268173759808,0.18041433750444813
graph_3_3_node_277,25,0.16333333333333333,0.0004359095860653271,0.4222316145393069,2.3683683683683685,0.028117862981601318,16.007,8.993,1.7809027777777784,0.35972000000000004,0.06317821277109824,0.010489016346634121,0.2193168619997889,0.2196114731161016,0.11938680758251502
graph_3_2_node_303,21,0.09523809523809523,0.0005675439819332736,0.4185169669040637,2.3893893893893896,0.023724135351059758,10.006,10.994000000000002,0.9102787878787876,0.5235238095238095,0.06063894872411881,0.013433851421091008,0.35458724340175946,0.3549500459540728,0.05515263389948985
graph_3_3_node_895,16,0.125,0.0002893664698285033,0.4106041923551171,2.4354354354354357,0.01721539272806816,7.0,9.0,0.7778222222222224,0.5625,0.04364410684535641,0.011339096204994306,0.3913096179183136,0.3916042844475914,0.038784260175969185
graph_3_5_node_451,19,0.11695906432748535,0.0003932670658942084,0.4227676682183665,2.365365365365365,0.022782590257343187,11.002,7.997999999999999,1.3757916666666667,0.4209473684210525,0.06447001203407486,0.009131568294649714,0.2665875,0.2668531790192695,0.09671994342424664
graph_3_4_node_116,25,0.08333333333333333,0.0006450512277031446,0.4109419991772933,2.433433433433433,0.01972612289266524,12.011,12.989,0.9250903263403264,0.5195599999999998,0.07906862554057957,0.015547649176155172,0.3509744866323815,0.3513927449227868,0.0669752707184688
graph_3_1_node_126,27,0.10256410256410256,0.0007136415982891303,0.42728828058169377,2.3403403403403398,0.019777280262247374,15.011,11.989,1.2526590909090909,0.4440370370370372,0.1128441335202248,0.013420039260382882,0.28539734219269103,0.2857752582733439,0.15053190583563736
graph_3_2_node_648,47,0.07770582793709528,0.0020934550570977394,0.4443950177935943,2.25025025025025,0.04443983483114616,28.016,18.984,1.4763154159909573,0.4039148936170211,0.166150877275534,0.02144259794987326,0.2530790348281521,0.2537060876436495,0.2537405459559958
graph_3_3_node_325,44,0.06387921022067364,0.001829499105998436,0.4547109695038689,2.199199199199199,0.035724765325098794,25.014,18.986,1.3193747850017206,0.4314999999999999,0.09775642399530972,0.02356806545289204,0.27513281136091905,0.27575495684615736,0.10812612150306117
graph_3_2_node_453,19,0.06432748538011697,0.0005152847556492021,0.4157303370786517,2.4054054054054053,0.017994233880032538,9.013,9.987,0.9034682539682544,0.5256315789473683,0.0678009022137303,0.011716960429845266,0.3565707134911806,0.3569002742491421,0.04754226278545733
graph_3_5_node_457,20,0.11578947368421053,0.0004836913625814181,0.4079216006533279,2.4514514514514514,0.01707748064269816,9.01,10.99,0.8212121212121213,0.5494999999999999,0.10498220100888944,0.012278907045533723,0.3789046653144017,0.3792696484096447,0.0954838190989904
graph_3_4_node_998,24,0.06159420289855073,0.0007178628676846628,0.4075887392900857,2.4534534534534536,0.01668740941142503,14.012,9.988,1.4038857142857142,0.4161666666666667,0.09486501043132088,0.011169726742593549,0.2627834501826799,0.26310514590215395,0.1233991321247228
graph_3_2_node_462,26,0.07076923076923076,0.0008673451421173264,0.4172932330827068,2.3963963963963963,0.02296289270508894,12.008,13.992,0.8586285714285715,0.5381538461538462,0.1203167050750994,0.01584193236475865,0.3681604010025061,0.3686221529635455,0.1117555739672507
graph_3_5_node_736,15,0.11428571428571427,0.00028075258694088007,0.3872093023255814,2.5825825825825826,0.012592925343924024,6.001,8.999,0.6668749999999999,0.5999333333333332,0.08688835370530312,0.010042349276553064,0.4285064935064936,0.4288053147184152,0.06758311242245563
graph_3_2_node_907,19,0.08187134502923976,0.00041600226645045117,0.4157303370786517,2.4054054054054053,0.02218794791240871,8.985,10.015,0.8986154401154404,0.5271052631578947,0.05546090082585985,0.012227310159076544,0.3580322363619777,0.3583627200191181,0.054954429032983775
graph_3_1_node_197,21,0.10952380952380952,0.0004092013881045866,0.43378202344767697,2.305305305305305,0.02346921838588591,10.008,10.992,0.911397727272727,0.5234285714285715,0.07083089284162597,0.01301654442106018,0.35453099304237823,0.3548773833964916,0.05799451324102766
graph_3_4_node_764,32,0.09879032258064516,0.0009875432662710714,0.4302325581395349,2.324324324324324,0.029857229075938494,18.01,13.99,1.2881904761904759,0.4371875,0.08317384734220175,0.016823880465032262,0.2797643956043957,0.2802150465926943,0.11294719973805475
