,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_3_node_973,15,0.02857142857142857,0.00023855459934631415,0.38690937257939584,2.5845845845845847,0.011501022727940406,7.006,7.994,0.8775,0.5329333333333333,0.03876065700513883,0.010072888979875506,0.36331293706293705,0.3635746750876623,0.014552707349665317
graph_3_5_node_944,19,0.15789473684210525,0.0004044218613587989,0.4215189873417722,2.3723723723723724,0.027012125757782734,10.005,8.995,1.112505952380952,0.4734210526315791,0.04562167906871464,0.0112064316276224,0.3101292547274751,0.3104280225816954,0.05579521960876333
graph_3_3_node_55,18,0.0457516339869281,0.00041059047898433344,0.40942622950819674,2.4424424424424425,0.015618573771558657,6.004,11.996,0.5006363636363637,0.6664444444444444,0.05815577840711653,0.015116886339903896,0.4997733333333333,0.5001660269215459,0.02423603705207612
graph_3_1_node_853,20,0.09473684210526316,0.00039092108734398146,0.4300473525613431,2.325325325325325,0.019879480950461687,7.005,12.995,0.5391491841491842,0.6497500000000002,0.08366783073882766,0.015387203948472311,0.48122422915526375,0.4816336367131141,0.05112131272409211
graph_3_4_node_199,26,0.10461538461538461,0.0005694244681893789,0.42564976565828716,2.349349349349349,0.027673657259832698,17.007,8.993,1.8919841269841273,0.3458846153846153,0.05346737591929359,0.010814444338189734,0.20911596449837094,0.20940567824621298,0.10699025919496968
graph_3_1_node_659,21,0.08095238095238096,0.0004582012873733511,0.4506089309878214,2.219219219219219,0.022165640204362725,6.011,14.989,0.40129506375976975,0.7137619047619046,0.08101321095213965,0.01839589933680528,0.5549964479050796,0.555468617131754,0.037848454575299485
graph_3_4_node_484,28,0.047619047619047616,0.0009524860066193251,0.41332230037236245,2.4194194194194196,0.019128254102256093,16.011,11.989,1.3359777777777777,0.42817857142857146,0.07298333102300816,0.014350512473974255,0.2724246909427297,0.27281086018648887,0.07911416524580253
graph_3_4_node_794,24,0.12318840579710146,0.0005316076168532324,0.4128099173553719,2.4224224224224224,0.02355799586021756,16.006,7.994,2.0054285714285713,0.33308333333333323,0.04752928966928416,0.00961269607843126,0.1998373983739838,0.2000949205093783,0.09510453479888821
graph_3_3_node_75,55,0.05387205387205387,0.0035635485005603585,0.47345971563981043,2.1121121121121122,0.04325085780508158,30.976,24.024,1.289960576923077,0.4368000000000001,0.11647302215469027,0.030273227006898714,0.27944633484269515,0.280233746569448,0.14050723945452762
graph_3_2_node_891,25,0.10666666666666667,0.000726910869250619,0.43529411764705883,2.2972972972972974,0.029318815631984213,12.014,12.986,0.9261238761238763,0.5194399999999998,0.08815520352400935,0.015235439209273501,0.3508855904204743,0.35131415755934925,0.08824779457505846
