,Stability
graph_3_3_node_973,0
graph_3_5_node_944,0
graph_3_3_node_55,0
graph_3_1_node_853,1
graph_3_4_node_199,0
graph_3_1_node_659,1
graph_3_4_node_484,0
graph_3_4_node_794,0
graph_3_3_node_75,0
graph_3_2_node_891,1
graph_3_2_node_159,0
graph_3_5_node_521,0
graph_3_2_node_845,1
graph_3_5_node_659,1
graph_3_1_node_11,0
graph_3_3_node_113,0
graph_3_1_node_829,0
graph_3_3_node_960,1
graph_3_5_node_634,1
graph_3_2_node_808,1
graph_3_4_node_638,1
graph_3_3_node_444,1
graph_3_5_node_626,1
graph_3_5_node_886,1
graph_3_3_node_357,0
graph_3_2_node_351,1
graph_3_1_node_118,0
graph_3_1_node_891,1
graph_3_2_node_762,1
graph_3_4_node_398,0
graph_3_5_node_327,0
graph_3_2_node_777,1
graph_3_4_node_76,1
graph_3_3_node_634,0
graph_3_3_node_704,0
graph_3_1_node_289,0
graph_3_5_node_822,1
graph_3_2_node_994,1
graph_3_5_node_51,1
graph_3_4_node_39,0
graph_3_5_node_416,0
graph_3_4_node_577,1
graph_3_3_node_784,0
graph_3_2_node_523,1
graph_3_1_node_561,0
graph_3_5_node_670,1
graph_3_5_node_697,1
graph_3_5_node_864,0
graph_3_1_node_728,0
graph_3_5_node_600,0
graph_3_4_node_778,0
graph_3_2_node_724,0
graph_3_4_node_90,1
graph_3_1_node_842,0
graph_3_2_node_496,1
graph_3_3_node_342,0
graph_3_5_node_506,1
graph_3_2_node_120,1
graph_3_4_node_423,1
graph_3_1_node_179,0
graph_3_3_node_531,0
graph_3_2_node_199,1
graph_3_4_node_38,0
graph_3_5_node_843,0
graph_3_3_node_361,1
graph_3_4_node_224,0
graph_3_3_node_738,0
graph_3_4_node_60,1
graph_3_2_node_471,1
graph_3_4_node_797,0
graph_3_3_node_743,0
graph_3_4_node_318,1
graph_3_4_node_758,1
graph_3_3_node_928,1
graph_3_1_node_410,0
graph_3_4_node_487,0
graph_3_1_node_337,0
graph_3_5_node_12,1
graph_3_3_node_791,1
graph_3_4_node_371,1
graph_3_4_node_880,1
graph_3_5_node_421,1
graph_3_2_node_644,1
graph_3_1_node_985,1
graph_3_3_node_780,0
graph_3_1_node_743,0
graph_3_5_node_429,1
graph_3_5_node_937,0
graph_3_5_node_117,0
graph_3_5_node_65,0
graph_3_1_node_161,0
graph_3_4_node_932,0
graph_3_4_node_95,1
graph_3_5_node_358,1
graph_3_2_node_579,1
graph_3_1_node_907,0
graph_3_1_node_694,0
graph_3_5_node_505,0
graph_3_4_node_463,1
graph_3_4_node_25,1
graph_3_1_node_492,1
graph_3_2_node_954,0
graph_3_1_node_589,1
graph_3_1_node_119,0
graph_3_3_node_766,0
graph_3_1_node_915,0
graph_3_4_node_805,0
graph_3_3_node_406,0
graph_3_4_node_845,0
graph_3_2_node_549,0
graph_3_2_node_200,1
graph_3_4_node_440,1
graph_3_2_node_67,1
