,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_2_node_944,24,0.2987012987012987,0.0008311544312595057,0.37303958177744573,2.6806806806806813,0.016665433802399418,16.0,8.0,2.0,0.3333333333333333,0.4992971968929416,0.008130753568631077,0.20000000000000004,0.20029645001111696,0.9361822441742654
graph_3_3_node_749,23,0.1523809523809524,0.0011755239918448818,0.3812977099236641,2.6226226226226226,0.018730942614283437,12.012,10.988,1.0936505050505043,0.4777391304347827,0.6775628248787768,0.011172081117766172,0.3138574860574859,0.3142735883220095,0.6778706741723404
graph_3_5_node_826,27,0.10333333333333332,0.0016143244819512405,0.39315230224321135,2.543543543543544,0.023347446235370196,12.012,14.988,0.8015626373626374,0.5551111111111111,0.7819332499410067,0.015284338891882398,0.3842016885553473,0.3847650843649225,0.5737997888416093
graph_3_4_node_529,30,0.1793103448275862,0.001914460571377788,0.4008828250401284,2.4944944944944947,0.033813811526112375,17.005,12.995,1.3087237762237762,0.4331666666666669,0.33134233507033656,0.013528440630595056,0.2764649370386453,0.2769471086179845,0.4589000108478583
graph_3_2_node_66,27,0.25666666666666665,0.0011039388042979321,0.3879611650485437,2.5775775775775776,0.02654361013642149,18.005,8.995,2.001982142857143,0.3331481481481481,0.30430969242238937,0.009272677991366808,0.1998706753006476,0.20020403349749466,0.5750118485565235
graph_2_2_node_583,22,0.2554112554112554,0.0013910170127066591,0.3759879563417388,2.6596596596596602,0.017099060126648146,13.0,9.0,1.4444444444444442,0.4090909090909091,0.2307692307692308,0.009365244536940686,0.2571428571428571,0.2574901195574885,0.3589743589743588
graph_3_1_node_132,25,0.14666666666666667,0.0015233901418685981,0.3878105590062112,2.578578578578578,0.022169409786856397,12.002,12.998,0.9234265734265736,0.5199199999999998,0.760489263395717,0.013225304148118544,0.35128205128205137,0.3517672505229429,0.7605781522846059
graph_4_1_node_106,26,0.06461538461538463,0.0015377329406387975,0.4000800961153384,2.4994994994995,0.024843144055009182,8.061,17.939,0.4497852474323064,0.6899615384615383,1.150726636415029,0.018242498720812548,0.526779438793061,0.5274462707214431,0.5761937921611279
graph_3_4_node_624,33,0.11742424242424244,0.0026692071344986057,0.4046172539489672,2.4714714714714714,0.03081258266268333,13.02,19.98,0.6520166666666669,0.6054545454545455,0.944644799037879,0.02041532111710905,0.4342039130434783,0.4349448474239891,0.6619639157854129
graph_3_1_node_952,33,0.23674242424242425,0.0020246535690402914,0.4077551020408163,2.4524524524524525,0.04483968917001474,19.0,14.0,1.3571428571428577,0.42424242424242414,0.4621962775132349,0.014441057706840604,0.2692307692307692,0.26975362551998344,0.6602803964474784
graph_3_4_node_712,20,0.20915032679738566,0.0005895474106113965,0.3758465011286682,2.6606606606606613,0.01938461122666599,13.003,6.997000000000001,1.858571428571429,0.3498499999999999,0.29014990469729274,0.007171205760328119,0.2120142602495543,0.21227386036841728,0.4975290883246107
graph_4_2_node_21,27,0.056980056980056974,0.0016532402754355815,0.4018503620273532,2.4884884884884886,0.027499930213049563,7.104,19.896,0.3576652089783281,0.7368888888888888,0.9231128420331232,0.020388888904765208,0.5836006801582653,0.5843388345101328,0.3702073116522067
graph_3_1_node_832,21,0.2982456140350877,0.000743606779348414,0.3724832214765101,2.684684684684685,0.015671749473925908,13.002,7.997999999999999,1.62575,0.3808571428571429,0.5682517163425068,0.008113406972305814,0.2352235294117647,0.2355221628808257,0.8524558764005529
graph_3_2_node_543,20,0.08496732026143791,0.001007317694428003,0.3811522319725296,2.623623623623624,0.016602951268239022,9.051,10.949000000000002,0.8274949494949494,0.5474499999999998,0.6910148548800021,0.011159828920286309,0.3769684835001854,0.3773739590564077,0.5033625329282385
graph_3_1_node_776,38,0.17777777777777778,0.0024502536215560227,0.4069246435845214,2.457457457457457,0.039423452206016014,21.000999999999998,16.999000000000002,1.2354338235294111,0.4473421052631581,0.6056333738897403,0.017490829419397568,0.28811412429378536,0.2887490076473957,0.7125338612388299
graph_3_2_node_580,28,0.18253968253968253,0.00172678774813058,0.397532829287704,2.5155155155155158,0.02750951606574282,15.001,12.999,1.1540256410256406,0.4642500000000001,0.43251261004401775,0.01340255817146929,0.3022959830866807,0.302777552431838,0.5323413119093791
graph_4_1_node_925,21,0.03333333333333333,0.0010801874726704738,0.384526558891455,2.6006006006006004,0.017483460369265364,5.0969999999999995,15.902999999999999,0.32937204637467793,0.7572857142857142,0.6088255384119321,0.01645544007315194,0.6135041669942529,0.6140952240716081,0.1582490818522812
graph_4_5_node_560,18,0.0457516339869281,0.0006371982300964931,0.3812977099236641,2.6226226226226226,0.01727358721506391,5.0969999999999995,12.902999999999999,0.403184065934066,0.7168333333333332,0.4664244335460442,0.013409613422220863,0.5614454979802807,0.5619126775649028,0.16713566530989665
graph_2_3_node_102,26,0.21014492753623187,0.001931051314976813,0.383199079401611,2.6096096096096097,0.018484449421983105,15.0,11.0,1.3636363636363635,0.4230769230769231,0.6461488970588236,0.011190754184777585,0.2682926829268293,0.2687130918700741,0.8223713235294119
graph_2_3_node_859,22,0.35064935064935066,0.0008994521026190858,0.3722056631892697,2.6866866866866865,0.02361506928803019,17.000999999999998,4.999,3.4011,0.22722727272727264,0.10197283070837028,0.005256746642811371,0.12817692307692305,0.12836805289756364,0.3671543644631766
graph_4_3_node_610,25,0.1067193675889328,0.0011263518913327106,0.3894736842105263,2.5675675675675675,0.02093807736292186,10.845999999999998,14.154000000000002,0.7724163336663337,0.5661600000000001,0.9067801833608096,0.014397497751836128,0.395523189470558,0.3960405405835725,0.6152233743516239
graph_4_5_node_261,22,0.04329004329004329,0.0010480385239958695,0.3978494623655914,2.5135135135135136,0.022628964268943667,5.334,16.666,0.32165796816702386,0.7575454545454546,0.629229081787888,0.0173371010833772,0.6104311932174447,0.6110345515971807,0.2257806527540944
graph_4_4_node_128,22,0.09523809523809523,0.0009665224720046393,0.3942383583267561,2.5365365365365364,0.025008249549181526,9.097000000000001,12.902999999999999,0.7070085470085469,0.5865000000000001,0.25620335211393913,0.013607950370541487,0.4151497741031896,0.4156309645551691,0.19841451192554546
graph_3_1_node_358,29,0.11576354679802955,0.0018352777120545407,0.4021739130434783,2.4864864864864864,0.034221082159888117,15.004000000000001,13.995999999999999,1.0720659340659342,0.4826206896551723,0.33993038736154485,0.014598347037479904,0.3180646464646465,0.3185871974587111,0.38856119041832776
graph_2_3_node_453,23,0.22134387351778656,0.00193047174510369,0.3776937618147448,2.647647647647648,0.01347583522712746,12.0,11.0,1.0909090909090904,0.4782608695652175,0.6870281862745098,0.01117927407540672,0.3142857142857142,0.3147060268454177,0.8119424019607843
graph_4_5_node_151,53,0.07294117647058823,0.004958485431979725,0.4487870619946092,2.2282282282282284,0.05144517295954135,24.25,28.75,0.8444399287047563,0.5424528301886792,0.7522336907614303,0.029967800140376925,0.3722629295675777,0.3733047361524562,0.6030751091772909
