,Stability
graph_2_3_node_677,0
graph_2_3_node_644,1
graph_2_3_node_969,0
graph_2_3_node_472,0
graph_2_3_node_284,1
graph_2_3_node_121,0
graph_2_3_node_341,1
graph_2_3_node_119,1
graph_2_3_node_101,0
graph_2_3_node_905,0
graph_2_3_node_423,0
graph_2_3_node_715,0
graph_2_3_node_879,0
graph_2_3_node_704,0
graph_2_3_node_563,0
graph_2_3_node_403,1
graph_2_3_node_965,1
graph_2_3_node_196,0
graph_2_3_node_314,1
graph_2_3_node_73,0
graph_2_3_node_372,1
graph_2_3_node_158,1
graph_2_3_node_573,1
graph_2_3_node_571,0
graph_2_3_node_59,0
graph_2_3_node_898,1
graph_2_3_node_404,1
graph_2_3_node_52,1
graph_2_3_node_717,1
graph_2_3_node_176,0
graph_2_3_node_385,1
graph_2_3_node_405,1
graph_2_3_node_326,1
graph_2_3_node_23,1
graph_2_3_node_596,1
graph_2_3_node_799,0
graph_2_3_node_900,0
graph_2_3_node_8,1
graph_2_3_node_339,0
graph_2_3_node_869,0
graph_2_3_node_0,0
graph_2_3_node_934,1
graph_2_3_node_536,1
graph_2_3_node_194,0
graph_2_3_node_657,1
graph_2_3_node_330,1
graph_2_3_node_9,0
graph_2_3_node_508,0
graph_2_3_node_507,0
graph_2_3_node_457,0
graph_2_3_node_618,0
graph_2_3_node_746,0
graph_2_3_node_165,0
graph_2_3_node_719,0
graph_2_3_node_974,1
graph_2_3_node_707,0
graph_2_3_node_351,0
graph_2_3_node_307,1
graph_2_3_node_421,1
graph_2_3_node_337,1
graph_2_3_node_362,1
graph_2_3_node_377,1
graph_2_3_node_584,1
graph_2_3_node_706,0
graph_2_3_node_104,1
graph_2_3_node_499,1
graph_2_3_node_690,1
graph_2_3_node_698,1
graph_2_3_node_758,0
graph_2_3_node_535,0
graph_2_3_node_213,1
graph_2_3_node_350,1
graph_2_3_node_496,1
graph_2_3_node_492,1
graph_2_3_node_920,1
graph_2_3_node_199,1
graph_2_3_node_935,1
graph_2_3_node_12,1
graph_2_3_node_257,1
graph_2_3_node_995,1
graph_2_3_node_364,1
graph_2_3_node_478,1
graph_2_3_node_647,0
graph_2_3_node_971,0
graph_2_3_node_962,1
