,Stability
graph_3_3_node_76,1
graph_3_3_node_803,0
graph_3_3_node_884,1
graph_3_3_node_499,1
graph_3_3_node_949,0
graph_3_3_node_159,0
graph_3_3_node_912,1
graph_3_3_node_590,1
graph_3_3_node_851,0
graph_3_3_node_421,1
graph_3_3_node_643,0
graph_3_3_node_941,0
graph_3_3_node_832,1
graph_3_3_node_264,1
graph_3_3_node_318,1
graph_3_3_node_298,1
graph_3_3_node_259,1
graph_3_3_node_360,1
graph_3_3_node_792,1
graph_3_3_node_313,1
graph_3_3_node_39,0
graph_3_3_node_549,1
graph_3_3_node_192,1
graph_3_3_node_173,0
graph_3_3_node_418,1
graph_3_3_node_623,0
graph_3_3_node_219,1
graph_3_3_node_440,0
graph_3_3_node_409,1
graph_3_3_node_135,0
graph_3_3_node_756,0
graph_3_3_node_72,1
graph_3_3_node_8,1
graph_3_3_node_405,1
graph_3_3_node_877,1
graph_3_3_node_706,0
graph_3_3_node_561,0
graph_3_3_node_291,0
graph_3_3_node_804,1
graph_3_3_node_37,1
graph_3_3_node_666,1
graph_3_3_node_863,1
graph_3_3_node_575,0
graph_3_3_node_535,0
graph_3_3_node_569,1
graph_3_3_node_601,1
graph_3_3_node_202,1
graph_3_3_node_425,1
graph_3_3_node_171,0
graph_3_3_node_61,1
graph_3_3_node_374,1
graph_3_3_node_919,0
graph_3_3_node_79,0
graph_3_3_node_677,0
graph_3_3_node_78,0
graph_3_3_node_383,1
graph_3_3_node_22,0
graph_3_3_node_1,1
graph_3_3_node_184,1
graph_3_3_node_275,1
graph_3_3_node_193,1
graph_3_3_node_248,0
graph_3_3_node_335,1
graph_3_3_node_481,1
graph_3_3_node_441,1
graph_3_3_node_559,0
graph_3_3_node_855,1
graph_3_3_node_811,1
graph_3_3_node_99,1
graph_3_3_node_168,1
graph_3_3_node_632,0
graph_3_3_node_220,1
graph_3_3_node_268,1
graph_3_3_node_835,1
graph_3_3_node_406,1
graph_3_3_node_81,0
graph_3_3_node_83,1
graph_3_3_node_355,1
graph_3_3_node_384,1
graph_3_3_node_833,0
graph_3_3_node_505,0
graph_3_3_node_121,1
graph_3_3_node_963,1
graph_3_3_node_212,0
graph_3_3_node_661,0
graph_3_3_node_143,1
graph_3_3_node_402,0
graph_3_3_node_959,0
graph_3_3_node_856,1
graph_3_3_node_328,0
graph_3_3_node_250,0
graph_3_3_node_391,1
graph_3_3_node_254,0
graph_3_3_node_89,0
graph_3_3_node_69,1
graph_3_3_node_243,0
graph_3_3_node_669,0
graph_3_3_node_755,1
graph_3_3_node_592,0
graph_3_3_node_464,1
