,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_3_node_221,27,0.05413105413105413,0.0015921686693973545,0.40478119935170176,2.4704704704704703,0.025474315816190515,8.248,18.752,0.4414430072216112,0.6945185185185188,0.830518504547593,0.01928370903104139,0.5324773654533417,0.5331625372793999,0.4001514440278263
graph_4_3_node_376,27,0.09116809116809116,0.0013610247583480386,0.4104354971240756,2.4364364364364364,0.03471015809178688,10.017000000000001,16.983,0.5900805995475111,0.629,0.507207302330776,0.017579593711929055,0.4588276323128699,0.4594482889446706,0.3285374527958661
graph_4_2_node_283,22,0.07792207792207792,0.0008053876735292949,0.3996,2.5025025025025025,0.02889172129933241,8.031,13.969000000000001,0.5753168498168496,0.6349545454545455,0.4137136612219047,0.014474801020817385,0.4652206989247313,0.4657391077169729,0.26654696372490616
graph_4_4_node_111,21,0.0761904761904762,0.0008521737901813389,0.3928430987023201,2.5455455455455454,0.02634789336290775,7.729,13.270999999999999,0.5841730769230767,0.6319523809523808,0.4012619346394672,0.013731383079134723,0.462303448275862,0.4627983050810593,0.24180097082881785
graph_4_5_node_340,21,0.05238095238095238,0.0009065360111697848,0.3943939992104224,2.535535535535536,0.022357251161967743,6.141,14.859000000000002,0.41443144796380105,0.7075714285714284,0.7445659753327216,0.015198513392889218,0.5478079693486588,0.5483459761435476,0.3494864720699831
graph_4_5_node_773,41,0.11740890688259108,0.002448120013578432,0.4251063829787234,2.3523523523523524,0.04412409852088185,23.078000000000003,17.922,1.2887764171458058,0.4371219512195124,0.5376339365286128,0.018566072522388656,0.2797315372535961,0.2803811725029945,0.6590503361094819
graph_4_5_node_833,22,0.03463203463203463,0.0010392191361302393,0.3986432561851556,2.5085085085085086,0.022737469442708203,4.086,17.914,0.2287029325765395,0.8142727272727274,0.4686630585919643,0.018673013226340775,0.687072984155053,0.6877214367507539,0.10462702515832377
graph_4_1_node_340,36,0.057142857142857134,0.002539739303694125,0.4256497656582872,2.349349349349349,0.03992831353191023,14.724,21.276,0.6970659281894578,0.591,0.3390768845224579,0.022800844843237026,0.4200889267703815,0.4208800914978838,0.22520207099093054
graph_4_5_node_703,29,0.0960591133004926,0.0015973770548748801,0.4034733441033926,2.4784784784784786,0.02774165395460351,13.022,15.978,0.8151928571428572,0.5509655172413794,0.5024771797735571,0.016517886668975777,0.3802487667371389,0.3808275552407828,0.4401115759127737
graph_4_1_node_782,24,0.15584415584415584,0.0008032457202214433,0.39268867924528295,2.5465465465465464,0.03138123998909314,11.005999999999998,12.994000000000002,0.8470769230769231,0.5414166666666668,0.4025957870168284,0.013436817732059635,0.3712000000000001,0.37168321029464585,0.3098251165287608
graph_4_4_node_78,15,0.06666666666666668,0.0005258965863260244,0.3798479087452472,2.6326326326326326,0.016220419689962327,6.817,8.183,0.8371130952380952,0.5455333333333333,0.1620255441566761,0.008632740022809178,0.3755420666290231,0.3758472361246952,0.11890673870329585
graph_4_5_node_393,25,0.11,0.0011392232238562545,0.3983253588516745,2.5105105105105103,0.025712739519645103,10.167,14.833,0.6886688066835125,0.59332,0.7974251534184295,0.015174216638228662,0.4221633047290942,0.4227005265344181,0.5885804295504924
graph_4_3_node_371,23,0.15810276679841898,0.0009183504460719367,0.3961141950832672,2.5245245245245247,0.027789865987179044,11.017000000000001,11.982999999999999,0.9197797979797976,0.5209999999999999,0.3904500774449784,0.01237746305498057,0.35229244959244954,0.3527304894971545,0.3907594948072343
