,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_3_node_704,20,0.04736842105263158,0.0008671959912793811,0.3984842441164739,2.5095095095095097,0.023681974625537644,4.045,15.955,0.2538864468864469,0.7977500000000001,0.4548750919491532,0.016551665062423383,0.6637219373219373,0.6643047922783067,0.142502209650202
graph_4_3_node_684,23,0.03557312252964427,0.0012874309003534246,0.3981666002391391,2.5115115115115114,0.020264258078326953,3.342,19.658,0.17210462307730107,0.8546956521739131,0.8919225963099555,0.02018692204029247,0.7477145702252267,0.7484325639784559,0.18002170665719347
graph_4_1_node_501,23,0.20948616600790515,0.0009025219752927119,0.39595719381688466,2.5255255255255253,0.03450162843589334,11.07,11.93,0.929502525252525,0.518695652173913,0.3692691120911511,0.012344471025645667,0.3502737754561283,0.35071743785489096,0.371142282464746
graph_4_1_node_750,28,0.08615384615384615,0.0015045723992622578,0.40379951495553756,2.4764764764764764,0.02778737417331663,12.039,15.961,0.7546166666666667,0.5700357142857142,0.767661139140176,0.016314811279127654,0.3986747967479676,0.39926832137897905,0.5284861191110358
graph_4_5_node_514,23,0.09090909090909091,0.0009710121464525737,0.3943939992104224,2.5355355355355353,0.023903100457683683,10.005,12.995,0.7699679487179489,0.5649999999999998,0.3887835709618409,0.013461115777976915,0.39373440285204986,0.3942050829389898,0.3290240505907473
graph_4_5_node_428,33,0.10752688172043011,0.0018937508053396594,0.4141791044776119,2.4144144144144146,0.03349525282652202,14.06,18.94,0.742908139834881,0.573939393939394,1.007181955208412,0.019333937142494085,0.40252696827667217,0.4032130302313854,0.6905485807586697
graph_4_3_node_252,19,0.05263157894736842,0.0007156853613145556,0.3867595818815331,2.5855855855855854,0.020661223383804394,6.099,12.901,0.47560761460761464,0.679,0.5957911472445216,0.013216476493100053,0.5145540159712573,0.5150254272433693,0.3227552042876283
graph_4_3_node_585,28,0.0873015873015873,0.0015546683138977107,0.39548693586698336,2.5285285285285286,0.024368007616612508,13.188,14.812,0.8942805361305364,0.529,0.6847885425156505,0.01517491914416554,0.3599123969478504,0.360453879794462,0.6466464025293157
graph_4_1_node_206,22,0.08658008658008658,0.0010116636549493492,0.39423835832675613,2.5365365365365364,0.02567161640333479,9.345,12.655,0.7412777777777777,0.5752272727272727,0.2947649763183011,0.013227863055677939,0.40408106758832557,0.40455161822583613,0.2401790933752318
graph_4_4_node_251,23,0.09881422924901186,0.001097088924164227,0.39737470167064437,2.5165165165165164,0.02993244208699749,8.019,14.981,0.5354479853479854,0.6513478260869566,0.3641773918161559,0.015635506138285214,0.48299554007820156,0.48355413768853406,0.21875446530306875
graph_4_2_node_594,19,0.058823529411764705,0.0006089924729520998,0.37955927051671734,2.6346346346346348,0.017831331176082967,7.069,11.931,0.5941095959595959,0.6279473684210527,0.3914398720435255,0.012324311580737293,0.4579100809790466,0.4583528583219921,0.19672226866564652
graph_4_3_node_351,28,0.11375661375661375,0.0015202558632477947,0.4079216006533279,2.4514514514514514,0.031134132986731337,10.166,17.834,0.5750420060331823,0.6369285714285715,0.6376623542247385,0.01837910821085805,0.46794769181222307,0.46859943288188993,0.39360424987387593
graph_4_1_node_841,36,0.10793650793650794,0.0024603140131908363,0.41764214046822745,2.3943943943943946,0.039096228957342265,14.128,21.872,0.6478806803104018,0.6075555555555554,0.8055845722319213,0.022527563283626713,0.4365198878590429,0.43733316478258066,0.5512236064873908
graph_4_1_node_581,19,0.04093567251461988,0.0007825364215649366,0.3925343811394892,2.5475475475475475,0.020767719398564984,3.231,15.769,0.2077491433403198,0.8299473684210523,0.37766521032727896,0.01653813133063735,0.7107026463779987,0.711288649938751,0.07177098404510651
graph_4_5_node_459,23,0.06666666666666667,0.0009157806097569811,0.383199079401611,2.6096096096096097,0.017359131656834382,10.674,12.326,0.8992702031628506,0.5359130434782607,0.47530081368067334,0.012805225765009,0.3689335669607392,0.36938003869023384,0.33716899394638006
graph_4_5_node_817,20,0.021052631578947368,0.0008447802961052257,0.391304347826087,2.5555555555555554,0.020241532678885007,4.214,15.786,0.2685400237017884,0.7893000000000002,0.794233036776187,0.01622069086817936,0.6526867087823609,0.6532581805563259,0.1496262903339449
graph_4_2_node_462,33,0.16774193548387098,0.001743081912091312,0.4090909090909091,2.4444444444444446,0.035186671046945735,17.126,15.874,1.080923489010989,0.4810303030303028,0.7935521526253322,0.016216222092231718,0.3167933492700418,0.31738281077515806,0.7985553147430231
graph_4_2_node_54,36,0.10338680926916222,0.0022585356645773154,0.4153846153846154,2.4074074074074074,0.03872053283325156,15.083,20.917,0.721620256523662,0.5810277777777778,0.9070019187867463,0.02144107322346154,0.40953442872333,0.4103108933199992,0.6063948118374335
graph_4_1_node_523,29,0.03418803418803419,0.0017274158946222916,0.40217391304347827,2.4864864864864864,0.02602634486378912,10.048,18.952,0.5488703795232601,0.6535172413793103,0.6740825090583866,0.019690654532657132,0.48971784299652216,0.49042239011506694,0.28289490868938383
graph_4_2_node_747,21,0.03333333333333333,0.0009976184705478772,0.38841368584758945,2.5745745745745747,0.0204321013443041,3.422,17.578,0.19822413868381358,0.8370476190476192,0.8134851631793985,0.018029819219148573,0.7219047085431644,0.7225567388163135,0.07582315915135288
graph_4_4_node_680,20,0.02631578947368421,0.0009709395144722822,0.3867595818815331,2.5855855855855854,0.020140463469056322,5.192,14.808,0.3529560439560439,0.7404,0.8382023251436187,0.015170864889036533,0.5885794057794057,0.5891314386215692,0.33692922932296254
