,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_4_node_945,18,0.10833333333333334,0.0011780473686006348,0.3611713665943601,2.7687687687687688,0.009557319598879158,9.017000000000001,8.982999999999999,1.0044214285714286,0.4990555555555555,0.6106310562670141,0.00912936203085747,0.33253441960338503,0.33288483954549913,0.5431625917069545
graph_2_2_node_902,26,0.3723076923076923,0.0010184419774578982,0.3818807339449541,2.6186186186186187,0.032083193638823365,21.0,5.0,4.200000000000002,0.1923076923076924,0.10635235332043844,0.005246696446025285,0.1063829787234043,0.10657605128007107,0.4679503546099293
graph_2_5_node_632,18,0.35294117647058826,0.0007262510504753713,0.3618254255704455,2.763763763763764,0.007501653528703999,13.0,5.0,2.600000000000001,0.2777777777777778,0.19182051282051288,0.005134171301150928,0.16129032258064516,0.1614836788589235,0.5370974358974359
graph_2_2_node_721,16,0.3,0.0006304959872305067,0.36300872093023256,2.754754754754755,0.008818332979059526,11.001,4.999,2.200799999999999,0.3124375,0.26279609400860643,0.005096167891900486,0.1851428571428571,0.18533574213969586,0.6307527308838135
graph_2_3_node_705,24,0.3043478260869565,0.0013616804338970636,0.374859287054409,2.667667667667668,0.028669899775330226,16.0,8.0,2.0,0.3333333333333333,0.19047619047619052,0.008350730688935283,0.20000000000000004,0.20030581039755355,0.4047619047619049
graph_2_2_node_175,21,0.3380952380952381,0.0012375031703100961,0.37373737373737376,2.675675675675676,0.012526911566372059,14.0,7.0,2.0,0.3333333333333333,0.43588045454545454,0.007115067273581742,0.20000000000000004,0.20027013468143406,0.9340295454545456
graph_2_4_node_277,23,0.13333333333333333,0.0016656982572442547,0.3775510204081632,2.6486486486486487,0.022009015255719192,11.005999999999998,11.994000000000002,0.9179444444444442,0.5214782608695652,0.460377344573235,0.012315644375112136,0.3527217806041334,0.3531896750537689,0.3837984720758695
graph_2_5_node_154,28,0.3941798941798942,0.001386807630010344,0.3881118881118881,2.5765765765765765,0.020642710329603298,21.0,7.0,3.0,0.25,0.21875,0.007231404958677689,0.1428571428571428,0.14312798828178974,0.6875
graph_2_2_node_533,23,0.4571428571428571,0.0007971390593643433,0.3644655235315578,2.743743743743744,0.014551572849979032,19.0,4.0,4.75,0.1739130434782608,0.19047619047619052,0.004085801838610828,0.09523809523809527,0.09539253539253537,0.8571428571428571
graph_2_1_node_325,23,0.3142857142857143,0.0013566154560254778,0.37013708781030014,2.701701701701701,0.012857569242518687,15.001,7.999,1.8754107142857144,0.34778260869565203,0.5284898789223912,0.008123153657565238,0.21049527665317133,0.21079879797050216,0.9249021599090566
