,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_2_node_881,16,0.3,0.0006949695077343955,0.36433260393873085,2.744744744744745,0.010574792681890198,10.0,6.0,1.666666666666667,0.375,0.1875,0.006198347107438018,0.2307692307692308,0.23100071225071217,0.34375
graph_2_3_node_583,20,0.3137254901960784,0.0005144479208775233,0.3662023460410557,2.730730730730731,0.01842954745776946,16.0,4.0,4.0,0.20000000000000004,0.08873617267854553,0.004188969200978935,0.11111111111111115,0.11126403969346316,0.3327606475445458
graph_2_2_node_998,19,0.3088235294117647,0.0008616531618425436,0.35844994617868675,2.78978978978979,0.00745107172093471,13.0,6.0,2.166666666666667,0.31578947368421056,0.3514620320855614,0.006104761343108903,0.1875,0.1877315350775643,0.7029240641711229
graph_2_5_node_172,28,0.26153846153846155,0.001895935458077548,0.38601236476043277,2.5905905905905904,0.01759076437975894,18.0,10.0,1.8000000000000005,0.35714285714285704,0.332936727523684,0.010309965305394691,0.2173913043478261,0.21777809169214415,0.5659924367902628
graph_2_5_node_214,20,0.3,0.0011541703988378724,0.3734579439252336,2.6776776776776776,0.014439351327032592,14.0,6.0,2.3333333333333335,0.2999999999999999,0.20689655172413793,0.006179196704428426,0.17647058823529405,0.17670262474237128,0.5172413793103449
graph_2_5_node_925,33,0.30492424242424243,0.0021756792073198126,0.39548693586698336,2.5285285285285286,0.04115845635839967,24.001,8.999,2.6671249999999995,0.2726969696969695,0.18298866213151926,0.009465000369753748,0.15787477313974593,0.158223018212648,0.508340419501134
graph_2_1_node_190,20,0.23157894736842105,0.001342301427501339,0.37755102040816324,2.6486486486486487,0.011524259778171824,11.005,8.995,1.2236111111111108,0.4497500000000001,0.35902315018315023,0.009226503513366234,0.29012096774193546,0.2904621658055987,0.47885626373626394
graph_2_1_node_354,57,0.3265993265993266,0.004664643218981475,0.4294926913155632,2.3283283283283285,0.14458696939251278,43.0,14.0,3.0714285714285716,0.2456140350877192,0.2796976470588237,0.01473801287796537,0.14000000000000007,0.1405322384428224,0.8390929411764705
graph_2_1_node_157,25,0.41333333333333333,0.00101826324828447,0.3774083868530412,2.6496496496496498,0.02096841567266379,19.002,5.998,3.1687499999999997,0.2399200000000001,0.165712069246805,0.00622379320465773,0.1363142292490118,0.13654190921071968,0.5525311399135925
graph_2_5_node_78,21,0.2222222222222222,0.001294076091769565,0.36809137803979364,2.7167167167167166,0.014292388567284606,14.0,7.0,2.0,0.33333333333333326,0.2916666666666667,0.00717213114754098,0.20000000000000004,0.20027069878958964,0.5416666666666667
graph_2_2_node_294,19,0.34558823529411764,0.0007095866782940354,0.35987031700288186,2.7787787787787788,0.011761388497196589,14.001,4.999,2.80095,0.2631052631578947,0.26279429304486507,0.005096192470482045,0.15148128342245992,0.15167421308411622,0.6833216836557798
graph_2_3_node_690,22,0.39473684210526316,0.0009732670089565602,0.3653986832479883,2.7367367367367366,0.011777574662864684,16.0,6.0,2.666666666666666,0.2727272727272726,0.37394354838709676,0.00609809539527204,0.15789473684210528,0.158124112176611,0.9348588709677419
graph_2_2_node_745,27,0.2633333333333333,0.0018531682734720173,0.3735976065818998,2.6766766766766765,0.014202305947113822,19.0,8.0,2.375,0.2962962962962963,0.3463783783783782,0.008189641080256063,0.1739130434782608,0.1742218760909848,0.7793513513513514
