,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_2_node_790,22,0.1263157894736842,0.0009910595346596998,0.383199079401611,2.6096096096096097,0.0195005447782602,11.130999999999998,10.869000000000002,1.0310769841269842,0.4940454545454545,0.6012786435391619,0.01117703538779922,0.32847532285751563,0.3288778977365587,0.5439431083751722
graph_3_1_node_286,32,0.2116935483870968,0.0020782572721902933,0.4062627084180561,2.4614614614614614,0.034233360419327126,18.088,13.912,1.3036947052947052,0.43475,0.5235453250400414,0.01433818370212464,0.2778524386076417,0.27837197380091244,0.712406278344733
graph_4_2_node_415,32,0.09655172413793103,0.0017701144831235582,0.40478119935170176,2.4704704704704703,0.03157122878147518,27.943,4.0569999999999995,24.336159452312394,0.12678125,0.15160063716154115,0.004237220407035956,0.08561226875736516,0.08576289777418751,0.14219092318719875
graph_3_5_node_105,23,0.15810276679841898,0.0010344588968583246,0.3875096974398759,2.5805805805805804,0.025280258579683804,13.118,9.882,1.3391501984126988,0.4296521739130436,0.3058703606265182,0.010266594784832987,0.2739256571782887,0.2742972202904264,0.42970306258381
graph_4_1_node_88,44,0.06025369978858351,0.0039925326574129965,0.4319066147859921,2.3153153153153148,0.0437423884072082,38.04,5.96,33.18521354188697,0.13545454545454547,0.08712655840429827,0.006561285127863311,0.09379740173919872,0.09401908734745634,0.08597824666691707
graph_2_3_node_561,23,0.3438735177865613,0.0007882389442359117,0.3727611940298508,2.6826826826826826,0.031051887670922162,18.022000000000002,4.978,3.625300000000001,0.21643478260869567,0.10079786314749767,0.0052400615510469215,0.12136353077816495,0.12155387261640918,0.3842406305664782
graph_3_5_node_668,56,0.19916142557651992,0.005415498105276096,0.43719912472647693,2.287287287287288,0.07561504424198079,33.339,22.660999999999998,1.4764522300256988,0.4046607142857142,0.5951159068049106,0.023663988070095846,0.25378509055530896,0.2546380307421517,0.8366150159342454
graph_3_2_node_236,24,0.32608695652173914,0.0008146548134935935,0.3967434471803018,2.5205205205205203,0.04760616350433337,14.105,9.895,1.4299428571428567,0.4122916666666667,0.2471785146572185,0.010356945729161777,0.2598002172410388,0.2601668110112417,0.3735582424022376
graph_2_1_node_678,34,0.20362903225806453,0.002745594112649105,0.3908450704225352,2.558558558558558,0.015451544230571875,23.01,10.99,2.0941373737373734,0.3232352941176471,0.3629394210811166,0.011336464151987429,0.19277816399561146,0.1931953847137025,0.7262694015683511
graph_4_1_node_278,37,0.1066066066066066,0.0023526991174636753,0.4204545454545455,2.3783783783783785,0.04151326874541893,32.696,4.303999999999999,28.009739095837077,0.11632432432432432,0.08476188802306184,0.004595857312992376,0.07595035829457572,0.076110489903051,0.11633827197486225
graph_3_4_node_532,26,0.2769230769230769,0.0012019702326899323,0.3836405529953917,2.6066066066066065,0.020354622852807387,18.021,7.979,2.260059523809524,0.3068846153846153,0.3364223082679917,0.008181652084988054,0.18126895037329813,0.18156508368401614,0.8001225327453244
graph_3_1_node_243,40,0.18461538461538465,0.0027053842190930336,0.4077551020408163,2.4524524524524525,0.051407133354161264,22.158,17.842,1.2461584069525242,0.4460500000000001,0.519120473274303,0.018528476136659398,0.2871709586738404,0.2878373615147364,0.6668278407776569
graph_4_5_node_471,26,0.12307692307692307,0.0012302534610637828,0.40024038461538464,2.4984984984984986,0.02647838513487696,20.21,5.79,16.650697510822507,0.22269230769230766,0.3163355566660126,0.0059682743511881645,0.15974561018014166,0.15995530756981235,0.2317099932229321
graph_2_5_node_595,21,0.29239766081871343,0.001189043008414037,0.3652650822669104,2.7377377377377377,0.007802693385674572,14.011,6.989,2.0055,0.3328095238095237,0.4099129254283762,0.007128779978713687,0.19963333333333336,0.1999036070352474,0.7619269161585969
graph_4_5_node_207,38,0.11095305832147938,0.002535588443989625,0.4165971643035864,2.4004004004004003,0.035287981325588524,30.073,7.9270000000000005,24.26695657254794,0.20860526315789474,0.3883884891634802,0.008170823621752971,0.14580973497037075,0.1460968950949975,0.31721856217557565
graph_3_4_node_28,17,0.04411764705882353,0.0008402237180428293,0.3795592705167173,2.6346346346346348,0.017493806037307068,3.745,13.255,0.2909725746475747,0.7797058823529412,0.5123236950136875,0.013816369580334295,0.6423942410797101,0.6428855676570613,0.16604830280754188
graph_2_5_node_344,16,0.36666666666666653,0.0008096001968514533,0.3533781393703573,2.82982982982983,0.004722458274020137,11.015999999999998,4.984,2.213333333333333,0.3115,0.3028524514739691,0.0050714268111913385,0.1845108556832694,0.18470356369056395,0.727852062953348
graph_3_5_node_49,19,0.07017543859649122,0.0009433538582994004,0.38071646341463417,2.6266266266266265,0.01931361730273267,5.132000000000001,13.868,0.37399800199800187,0.7298947368421049,0.426255712232534,0.014422142290380491,0.5755027448236143,0.5760237910604002,0.18360518446563007
graph_3_3_node_462,26,0.12923076923076926,0.0019523600093357802,0.4008828250401284,2.4944944944944947,0.024754146399965843,11.081,14.919,0.7456766689450897,0.5738076923076921,0.7856921803630587,0.01526150730610946,0.4026150622994332,0.4031799017636803,0.627206870254025
graph_3_5_node_957,20,0.05263157894736842,0.0012146036194978164,0.39176470588235296,2.5525525525525525,0.02027693077973374,6.131,13.869000000000002,0.4441721415839063,0.6934499999999999,0.7033537891825158,0.014230900049368196,0.5312836268068651,0.5318047501509063,0.35164537943269464
graph_4_1_node_124,17,0.15441176470588236,0.0005158778388950416,0.3836405529953917,2.6066066066066065,0.020789998735172854,14.794,2.206,12.970513888888886,0.12976470588235292,0.057720415364523076,0.0023259951850877502,0.08766089540089539,0.08774292577474248,0.06601905961700945
