,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_5_node_384,31,0.11330049261083745,0.0016189102341410359,0.4145228215767635,2.4124124124124124,0.030297944503393986,25.076999999999998,5.922999999999999,19.918680738724785,0.19106451612903225,0.21732589435577804,0.006272616361284109,0.12979859125216045,0.13001317021031264,0.18229508375190775
graph_4_5_node_505,19,0.08187134502923976,0.0005956307354097012,0.3824655436447167,2.6146146146146148,0.021952934378796928,15.49,3.51,12.37503018925519,0.18473684210526312,0.07054493425534858,0.0037529963859551404,0.12396652576724895,0.1240936675851902,0.08100548252673491
graph_4_5_node_135,32,0.0967741935483871,0.0016946734003628664,0.4075887392900857,2.4534534534534536,0.03791399518129277,27.086,4.914,20.716122166722165,0.1535625,0.07608466337108834,0.005360459714467638,0.09714893741766108,0.09732703123508996,0.12274221827514722
graph_4_5_node_487,19,0.08771929824561403,0.0006678757924781142,0.38467462456680784,2.5995995995996,0.01895981572200357,15.05,3.95,12.280540831390828,0.20789473684210527,0.11115458152190327,0.004141855305282129,0.14517075782321331,0.14531382029161724,0.09888452967703544
graph_4_5_node_194,27,0.042735042735042736,0.001587551211695239,0.4140074595938665,2.4154154154154157,0.029968534512293206,19.058,7.942,17.135790545999967,0.29414814814814816,0.10068546294377073,0.009079110823890842,0.2469645896180876,0.2472520601947839,0.029992761717690112
graph_4_5_node_801,32,0.09475806451612903,0.0017115616056731626,0.4192194712547209,2.385385385385385,0.039051400708974435,24.795,7.205,20.43068905824138,0.22515625,0.1972309668245796,0.007606903021041005,0.16239575970653553,0.16265670817929395,0.14374111812975088
graph_4_5_node_192,32,0.10804597701149424,0.0016693698450901675,0.4067589576547232,2.4584584584584586,0.03105840094102132,25.453000000000003,6.547000000000001,20.49021198540022,0.20459375,0.2567815984933524,0.00679996120389965,0.14167278612186407,0.14190995043977586,0.2011477597900452
graph_4_5_node_362,26,0.11384615384615385,0.0011730319489633408,0.4037995149555376,2.4764764764764764,0.02745883696924393,20.185,5.815,16.64894124437654,0.22365384615384612,0.2827932596379578,0.005998275650201821,0.16076106729262238,0.16097166840544513,0.2069715660220254
graph_4_5_node_64,26,0.08923076923076922,0.0013959661103234596,0.4028225806451613,2.4824824824824825,0.02425219196640779,20.198,5.8020000000000005,16.652366796000695,0.22315384615384612,0.2662679144071839,0.006115291549468232,0.16061004568050746,0.16082017547817787,0.18901276493600808
graph_4_5_node_299,18,0.0784313725490196,0.0006669855926430098,0.3882627283326856,2.575575575575576,0.01895700416060893,13.63,4.37,11.551106693306696,0.24277777777777776,0.13751503903689188,0.004583717337527197,0.18113594000202696,0.18129418391457244,0.08607623481411426
graph_4_5_node_875,23,0.15019762845849802,0.0009101096930553994,0.3983253588516745,2.5105105105105103,0.027284814308066986,18.631,4.369,14.862804123654122,0.18995652173913044,0.14661076064254894,0.004547924051507882,0.12804134334653788,0.12819960829142946,0.1555669898200716
graph_4_5_node_144,43,0.05980066445182725,0.0037544528914370476,0.43378202344767697,2.305305305305305,0.04139713951555022,34.597,8.402999999999999,27.48257574029737,0.1954186046511628,0.1924913314804557,0.009171907560156168,0.13476788768936268,0.1350723413990461,0.16479006634943547
graph_4_5_node_709,35,0.11428571428571427,0.0022030367934683147,0.4209860935524653,2.3753753753753752,0.03662923996381506,27.801,7.199,22.38248843695148,0.20568571428571425,0.22900164667806186,0.007536150630106227,0.1429688601555736,0.14322964772786406,0.20146226027526698
graph_4_5_node_693,34,0.0926916221033868,0.00211730999906235,0.413664596273292,2.417417417417417,0.03878280317810096,28.101999999999997,5.898,21.87826675546676,0.17347058823529413,0.10315397975615404,0.006353546535278593,0.11374918315304094,0.11396290705844175,0.1303989103102897
graph_4_5_node_927,33,0.14772727272727273,0.0019520949372590823,0.4148671096345515,2.4104104104104103,0.033780923692688584,26.465,6.535,21.144698151629072,0.198030303030303,0.3397583915429484,0.006732220169516223,0.1355337824120374,0.13577052942321388,0.3196939558122668
graph_4_5_node_71,28,0.1111111111111111,0.0014123711296229605,0.4023358840112767,2.4854854854854853,0.03185138783691472,22.711,5.289,18.03030893550894,0.1888928571428571,0.1053204897258546,0.00566055681741166,0.12749810670468034,0.12768971322115746,0.11257153205593176
graph_4_5_node_588,23,0.09090909090909093,0.0010581189246716789,0.4010437575270975,2.4934934934934936,0.02601333625855839,17.272000000000002,5.728,14.694174143258701,0.2490434782608696,0.1496872409495565,0.00604994609395196,0.1885967087776688,0.18880411877334724,0.0863444242773417
graph_4_5_node_943,51,0.06717687074829932,0.004720595405726626,0.4493927125506073,2.225225225225225,0.04852643273373642,41.403999999999996,9.596,32.566239405934056,0.18815686274509805,0.24441399083547916,0.010437521177991954,0.12835995177417753,0.12870769824541367,0.20301188719039012
graph_4_5_node_841,23,0.09090909090909093,0.0009705364332694623,0.4023358840112767,2.4854854854854853,0.0275053459812659,18.39,4.61,14.843826940461499,0.20043478260869568,0.07852962911413397,0.005075264108970407,0.1392529045538374,0.13941988274213082,0.07017938136982313
graph_4_5_node_954,28,0.05026455026455026,0.001635565495050726,0.4065934065934066,2.45945945945946,0.028272869533183687,20.833000000000002,7.167000000000001,17.832943618490216,0.2559642857142857,0.1982925916818832,0.007549248325327726,0.19641804081684172,0.1966775412235353,0.10531246285307948
graph_4_5_node_9,23,0.057142857142857134,0.0009387530842907156,0.38901869158878505,2.5705705705705704,0.01952146586287954,17.88,5.12,14.7645832894187,0.22260869565217395,0.19355054883673226,0.005588715511790896,0.16065571905945933,0.16084114451028006,0.09712018559937212
graph_4_5_node_917,47,0.1202020202020202,0.0035462228976054304,0.4391208791208791,2.2772772772772774,0.04865387618948208,37.939,9.061,29.996515954733677,0.1927872340425532,0.3563462612592028,0.009408261702276292,0.13062949433156226,0.1309578407404021,0.3256449957231455
graph_4_5_node_902,32,0.13306451612903225,0.001779541138980865,0.41263940520446096,2.4234234234234235,0.03332099656085667,26.182,5.818,20.575595910590955,0.1818125,0.19535475482340167,0.0060536442382522135,0.12079040351824905,0.12100120470926505,0.22178927868277995
graph_4_5_node_419,30,0.06206896551724138,0.0017447331603251597,0.4082550061299551,2.4494494494494496,0.02983206332764132,23.2,6.8,19.170156545293228,0.22666666666666666,0.1487419179320362,0.007459649212064592,0.16478520242657738,0.16503147260508114,0.10010627376289462
graph_4_5_node_690,28,0.10317460317460317,0.0014923055718548688,0.4134933774834437,2.4184184184184185,0.03507594817762723,21.2,6.8,17.863555999384175,0.2428571428571429,0.18628420924941946,0.007179398339832111,0.1816413063740108,0.18188754415629774,0.11261950563081922
graph_4_5_node_810,22,0.13852813852813853,0.0007738928032914933,0.3855654187572366,2.5935935935935936,0.02092929168624876,18.381,3.6189999999999998,14.347659523809526,0.1645,0.1378353237510617,0.003763304540827189,0.1060500689859049,0.10618118461523562,0.189528235168324
graph_4_5_node_668,33,0.0967741935483871,0.0016474517019602118,0.4117889530090684,2.4284284284284285,0.035590926994284865,26.875,6.125,21.193485168231174,0.18560606060606066,0.16045413366872846,0.0064666575693316615,0.12437074127179025,0.12459266038619984,0.15931059232861994
graph_4_5_node_20,26,0.12681159420289856,0.0009985128084847071,0.3992805755395684,2.5045045045045047,0.026978336511546845,20.925,5.075,16.737014285714285,0.1951923076923077,0.2466251567545994,0.005247969445631394,0.13286725961244572,0.13305110059787634,0.20411879186870602
graph_4_5_node_494,15,0.01904761904761905,0.000498109426847549,0.3821729150726855,2.6166166166166165,0.01591705919024765,10.66,4.34,9.573105644355644,0.2893333333333334,0.05402948735858792,0.00494411321450595,0.24076360833495036,0.2409207311794216,0.010298577441853826
graph_4_5_node_484,29,0.04926108374384237,0.0017517424215234651,0.4095940959409594,2.4414414414414414,0.030055247300296517,20.776999999999997,8.222999999999999,18.412830548927147,0.28355172413793106,0.1949659535078892,0.008833322010471217,0.2312077623404309,0.23150542580722785,0.07281264314910584
graph_4_5_node_2,27,0.12,0.001321075892683067,0.4005613472333601,2.4964964964964964,0.02541181097122009,21.545,5.455,17.344024225774227,0.202037037037037,0.29673798056778805,0.0056258580886258255,0.13926079266734398,0.13945839137032698,0.2299474994777113
graph_4_5_node_100,47,0.1091581868640148,0.003592691451703653,0.444,2.2522522522522523,0.06072662489327368,38.353,8.647,30.03767257943243,0.1839787234042553,0.13478632913393646,0.009417128859954634,0.1230402169136884,0.1233535935604275,0.16098639943585305
graph_4_5_node_579,26,0.11692307692307692,0.001145918979677842,0.4090909090909091,2.4444444444444446,0.032175021920738,20.282,5.718,16.659616297428062,0.21992307692307692,0.13566211672090314,0.006058913622023352,0.1570448647437094,0.15725195837346234,0.10749077789488487
graph_4_5_node_586,22,0.07792207792207792,0.0008676308821284116,0.3950177935943061,2.5315315315315314,0.024727781680411436,16.979,5.021,14.114369422897365,0.2282272727272727,0.1264240689085607,0.005342822548041204,0.1658469927595312,0.16602882685128958,0.0894890877068498
graph_4_5_node_632,21,0.023809523809523808,0.0009040190252989223,0.4029850746268657,2.4814814814814814,0.024274590746492915,15.353,5.647,13.39842512854792,0.2689047619047619,0.08442336207721064,0.006436450203992079,0.21446226171438104,0.21466671011844649,0.027307319541494204
graph_4_5_node_750,17,0.05147058823529412,0.0006530819298147162,0.3829053277117669,2.6116116116116115,0.016967487715511768,12.505,4.495,10.880811988011986,0.26441176470588235,0.10641487181867347,0.004935720857986053,0.2080020576702728,0.208164808045436,0.04609473501173279
graph_4_5_node_181,15,0.01904761904761905,0.0004883680805604052,0.38071646341463417,2.6266266266266265,0.015339037723698485,10.785,4.215,9.58759448884449,0.281,0.07436198223998561,0.004682533983528651,0.2294863670452579,0.22963897005173345,0.005792091200865707
graph_4_5_node_479,21,0.09523809523809523,0.0008676696642860027,0.38962558502340094,2.5665665665665665,0.021512522996898997,15.814,5.186,13.442539524201289,0.2469523809523809,0.21871435527912572,0.0055279405981018565,0.18734125644515864,0.18752904119664265,0.1189488740166416
graph_4_5_node_577,25,0.12666666666666668,0.0012906709035354171,0.397532829287704,2.5155155155155158,0.022157736673332533,19.904,5.096,16.076273347975555,0.20384000000000002,0.2684754838697497,0.005261542649730842,0.14101961211326536,0.14120419929206407,0.23914895549718074
graph_4_5_node_569,20,0.07368421052631577,0.0007545480676084412,0.3903868698710434,2.561561561561561,0.02234628226673101,15.264000000000001,4.736000000000001,12.830467227217227,0.2368,0.11596416337909501,0.005064890470371587,0.1751844472422893,0.1753559496251146,0.07792804417159495
graph_4_5_node_538,21,0.09523809523809523,0.0007957041802405247,0.3980079681274901,2.5125125125125125,0.023336846008074303,16.232,4.768,13.499069448443713,0.22704761904761905,0.11067162774325033,0.005250641360348035,0.16661583259448862,0.16678850021253205,0.07158649880063475
graph_4_5_node_389,22,0.11255411255411256,0.0009247974305604603,0.3953304313415117,2.5295295295295297,0.0234909984307292,17.25,4.75,14.144548717948716,0.2159090909090909,0.2103967393230841,0.004907203360828021,0.15270224541429472,0.15287428038572667,0.17112692213396194
graph_4_5_node_200,20,0.11578947368421053,0.0007460001170116129,0.3911511354737666,2.5565565565565564,0.020691092184740724,16.129,3.8710000000000004,12.964434953934953,0.19355,0.08552417580638591,0.004246949861040449,0.13190878656084765,0.13204900033040193,0.08732984151077926
graph_4_5_node_152,29,0.056980056980056974,0.0016463436958860985,0.4069246435845214,2.457457457457457,0.02951531285171895,22.085,6.915,18.502350731608434,0.23844827586206896,0.15627859802047067,0.0073434531759505985,0.1763622357418369,0.17661264920507755,0.08448601849429398
graph_4_5_node_993,27,0.17663817663817666,0.0011175088326145883,0.4018503620273532,2.4884884884884886,0.035848590546487265,23.052,3.948,17.604304870129873,0.14622222222222225,0.06846965270476878,0.004258159366774033,0.09129724024227824,0.09144031357153022,0.1209409627004288
graph_4_5_node_456,36,0.08888888888888889,0.0023870831217504976,0.4252873563218391,2.3513513513513518,0.03854267612519287,28.031,7.968999999999999,22.966863177682463,0.2213611111111111,0.25286915517451464,0.008350195771549078,0.1586459178440702,0.1589345537441042,0.19027908556709355
graph_4_5_node_128,20,0.04736842105263158,0.0009259240818129099,0.3906922174423152,2.55955955955956,0.019585291673656843,14.779000000000002,5.221,12.783330241653768,0.26105,0.15639530349732714,0.005888648508135106,0.20490355810810176,0.20509259326105653,0.05740039335701772
graph_4_5_node_466,37,0.04354354354354354,0.0028078276962187733,0.4247448979591837,2.354354354354354,0.037397349684961376,27.924,9.076,23.545960252895302,0.2452972972972973,0.19231677734393166,0.010051622527972438,0.18626134013909515,0.18658997567742547,0.09049801459579523
graph_4_5_node_72,37,0.0991596638655462,0.0022850336600181613,0.4159034138218152,2.4044044044044046,0.03661929232751416,29.677,7.3229999999999995,23.66739424050322,0.1979189189189189,0.2851033794758719,0.007577618735449894,0.13532787483725156,0.13559318521708352,0.2449652287856125
graph_4_5_node_858,24,0.06926406926406926,0.001076599323332218,0.39238020424194814,2.5485485485485486,0.02030989728548901,19.495,4.505,15.51787962037962,0.1877083333333333,0.09011825676592987,0.0048881590945252275,0.1268726676116316,0.1270358609360825,0.07923321107713616
graph_4_5_node_790,27,0.11965811965811965,0.0013627430025659132,0.4026602176541717,2.483483483483484,0.02712662579948764,21.191,5.809,17.303455252835395,0.2151481481481481,0.22022818088259954,0.006046674477047297,0.15209232328799305,0.1523027228398606,0.17916978741457484
graph_4_5_node_10,42,0.04743589743589744,0.0033831267777858663,0.4238438693254137,2.3593593593593587,0.03711234004214906,33.236999999999995,8.763,26.801326817601538,0.20864285714285716,0.21311306796174445,0.009574048304467895,0.14700857262101527,0.147326018796578,0.14229660098942407
graph_4_5_node_679,22,0.07792207792207792,0.0008260325666616807,0.3891702376314765,2.5695695695695697,0.02347138216045693,18.537,3.463,14.395754761904762,0.1574090909090909,0.0761061310513694,0.0036868737895768885,0.10059071683397773,0.10071618506340643,0.11193490121832657
graph_4_5_node_940,38,0.08095238095238096,0.002394705462212984,0.41315136476426795,2.4204204204204203,0.033824796890423066,30.419,7.581,24.298915276596087,0.1995,0.2903491726569932,0.007876572316070267,0.13718242479789292,0.137457077835488,0.2373447236130384
graph_4_5_node_52,28,0.11384615384615385,0.0013087216646182483,0.4000800961153384,2.4994994994995,0.027452166821401527,22.174,5.8260000000000005,17.956432256958724,0.20807142857142852,0.3021470489123728,0.006004934124588606,0.1451086049544976,0.1453196344532469,0.22248791423075975
graph_4_5_node_931,21,0.1,0.0007753924511418331,0.3929976396538159,2.5445445445445447,0.023438598375764487,16.245,4.755,13.484560081585084,0.22642857142857145,0.15742907102229464,0.0049498917362480795,0.16347344902601887,0.16364565228055064,0.11928528977262505
graph_4_5_node_11,19,0.06432748538011697,0.0007499685155822039,0.3815889992360581,2.6206206206206204,0.01712054115203204,14.785,4.215,12.267660285547787,0.22184210526315792,0.09359937613489096,0.0047425953332023004,0.16315465053612685,0.16330729118410328,0.04921709201214661
graph_4_5_node_324,19,0.09941520467836257,0.0006486778691795332,0.3899297423887588,2.5645645645645647,0.024168310937886517,15.365,3.635,12.332922222222226,0.19131578947368424,0.05544013125686228,0.003975679672204974,0.12922430213464695,0.12935596878655767,0.06529496763635459
graph_4_5_node_142,31,0.09032258064516127,0.0018972016441699414,0.4077551020408163,2.4524524524524525,0.031348599986495175,23.445999999999998,7.553999999999999,19.7548120860041,0.2436774193548387,0.4110990242937659,0.007861250795046406,0.18258686598495866,0.1828604054784203,0.2320532448110689
graph_4_5_node_237,23,0.07905138339920949,0.0009761304132739664,0.3953304313415117,2.5295295295295297,0.024383059400680286,17.282,5.718,14.695357178360851,0.2486086956521739,0.14218163806010975,0.006089801148779789,0.1881705642409112,0.1883776125789998,0.08205551379572032
graph_4_5_node_366,21,0.0761904761904762,0.0009265862649184329,0.3863109048723898,2.5885885885885886,0.018440672420158254,16.357,4.643,13.515884973604825,0.2210952380952381,0.11453123624014475,0.0052250795101728975,0.16070540071223466,0.16087354717534486,0.07418878738858946
graph_4_5_node_432,30,0.15343915343915346,0.0014965175413533653,0.4039627982207845,2.4754754754754758,0.028068128147148742,24.898000000000003,5.102,19.36289060939061,0.17006666666666667,0.19971775610375334,0.005301906797044797,0.11055344163567372,0.11073831320874863,0.22836540518189494
graph_4_5_node_508,25,0.1,0.0010583142349362867,0.4042897612302712,2.4734734734734736,0.03176959853373742,19.975,5.025,16.087650363525363,0.201,0.09904393399360767,0.005388020505184878,0.13844920718003192,0.1386312258647851,0.0984573895278483
graph_4_5_node_410,25,0.10333333333333332,0.0012865886680167404,0.3970588235294117,2.5185185185185186,0.02437917204942904,18.881,6.119,15.966669075613927,0.24476,0.32198487176506385,0.00632446214704623,0.18379803048862647,0.18401960469080586,0.1831119055392568
graph_4_5_node_82,22,0.03463203463203463,0.001000349513956525,0.3980079681274901,2.5125125125125125,0.02526460193963456,16.99,5.01,14.119866989872873,0.2277272727272727,0.08036784357876835,0.005572291620701355,0.1660327227395146,0.1662141572851545,0.045663461400264116
graph_4_5_node_780,26,0.11692307692307692,0.0011971190952071535,0.3997599039615846,2.5015015015015014,0.02742550370985471,20.584,5.416,16.694233044733046,0.20830769230769228,0.1823857381555279,0.005635310929113448,0.14542699140655674,0.14562316486608426,0.15878545907016894
graph_4_5_node_976,35,0.07196969696969698,0.002360773713907746,0.4233050847457627,2.3623623623623624,0.03686029357560995,26.701999999999998,8.298,22.292883814334626,0.2370857142857143,0.18954466768254996,0.008796744984769284,0.17505663789852904,0.17535714083711926,0.10689325041269626
graph_4_5_node_338,33,0.11174242424242424,0.0018472497449973648,0.4124690338563171,2.4244244244244246,0.034727457105098745,26.456999999999997,6.542999999999999,21.143330779153768,0.19827272727272724,0.21987145098302396,0.0068088662326109,0.13574681352846651,0.13598384994324206,0.21338220932659535
graph_4_5_node_883,21,0.1619047619047619,0.0007735971801738129,0.3823191733639495,2.6156156156156154,0.018748010030163784,17.016,3.984,13.605555602975455,0.18971428571428567,0.2207793539726137,0.004138406073360435,0.12812660400188192,0.1282709171654276,0.2266588634505168
graph_4_5_node_947,51,0.10459183673469387,0.0037112905358316906,0.45,2.2222222222222223,0.06856580484467731,41.395,9.605,32.538670344047645,0.18833333333333332,0.14813795685396486,0.010482682513156441,0.12666746339900384,0.12701556623280902,0.15886373596107534
graph_4_5_node_465,21,0.1,0.0008588528362169856,0.3906922174423152,2.55955955955956,0.02351012765572091,16.367,4.633,13.505484390854242,0.22061904761904766,0.09990236379578288,0.004950750173995561,0.1580505110696809,0.15821830066551895,0.07873611780539076
graph_4_5_node_47,51,0.06547619047619048,0.004633842462002128,0.4504057709648332,2.22022022022022,0.05604783658463588,41.45,9.55,32.552270952136695,0.18725490196078431,0.16014808500654734,0.01054936150164367,0.12641391214004805,0.1267600153680761,0.15916693470632093
graph_4_5_node_411,27,0.059829059829059825,0.0014471048099847124,0.4018503620273532,2.4884884884884886,0.026683049809738027,20.872,6.127999999999999,17.27187057648234,0.22696296296296295,0.1718383987794038,0.006429781511311717,0.16435130492471747,0.1645732368906678,0.12265210032671099
graph_4_5_node_543,35,0.13445378151260504,0.0021281227529434546,0.4128099173553719,2.4224224224224224,0.033542699297981114,27.778000000000002,7.222,22.37993221014023,0.20634285714285716,0.3521198672550555,0.007461130392366191,0.14352626977755942,0.1437878892764123,0.3008051800828653
graph_4_5_node_406,25,0.17333333333333334,0.0009180931856007095,0.3965859468042873,2.521521521521521,0.028990451784195494,21.41,3.59,16.366470154845153,0.1436,0.08547819495758999,0.0037981306759604224,0.08935923409818572,0.0894893280797244,0.1497088085523909
graph_4_5_node_650,44,0.08773784355179702,0.0033895760996482463,0.4436056838365897,2.2542542542542536,0.05706407907594763,34.971,9.029,28.0631860880084,0.20520454545454547,0.14007402592173576,0.009845982058356477,0.14256615931795025,0.14289327501015367,0.13014984315582534
graph_4_5_node_401,36,0.11904761904761905,0.0021017389885122405,0.4160766347355269,2.4034034034034035,0.04213798320836051,30.685,5.315,23.27648481518481,0.14763888888888888,0.09255594081787788,0.0057293264643732324,0.09245592738798006,0.09264858721398736,0.15799279654376494
graph_4_5_node_808,27,0.10541310541310543,0.0012590186632272645,0.4064279902359642,2.4604604604604603,0.030634776720840813,21.343000000000004,5.657,17.323726273726272,0.2095185185185185,0.14664183383441684,0.0059739359422114535,0.14679978620306786,0.14700468832896574,0.12777004278071696
graph_4_5_node_806,28,0.13756613756613756,0.0013291386260347474,0.4064279902359642,2.4604604604604603,0.031748469367240385,22.541,5.459,17.999043356643355,0.1949642857142857,0.2141288155327067,0.0056700579256013,0.1326006485730819,0.1327984064070286,0.21527163808082195
graph_4_5_node_608,23,0.05533596837944664,0.0010991166110099829,0.4004008016032064,2.497497497497497,0.02415973471867194,16.828,6.172000000000001,14.65647217121114,0.2683478260869565,0.13325690202356846,0.006751728874212559,0.2122184094464577,0.212441866057832,0.05832448042491908
graph_4_5_node_882,19,0.10526315789473684,0.0006246497654368182,0.3878105590062112,2.578578578578578,0.021454507446524468,15.36,3.64,12.336771572871573,0.19157894736842104,0.0789663397120329,0.0038851959043678147,0.12983459249711668,0.12996643921377934,0.08583266432368708
graph_4_5_node_264,39,0.1039136302294197,0.0027795345699474804,0.4263764404609475,2.345345345345345,0.038818743648996575,30.984,8.016,24.905195259779592,0.20553846153846156,0.30451394077708005,0.00834279327728778,0.1426786118043165,0.1429690109467402,0.26730533724394
graph_4_5_node_426,28,0.047619047619047616,0.0016700660550333613,0.4095940959409594,2.4414414414414414,0.02817549196819312,21.101999999999997,6.898,17.85377423195999,0.2463571428571429,0.259963330192119,0.007190460904003905,0.1852712707885828,0.18552105130965235,0.14834456439187768
graph_4_5_node_443,33,0.1010752688172043,0.0015986915880413842,0.4133223003723625,2.41941941941942,0.04064553225498292,27.031999999999996,5.968,21.214346679056238,0.18084848484848487,0.0927052237881082,0.006503921711322318,0.12016355326455692,0.12037979372555516,0.09913438253192268
graph_4_5_node_900,30,0.04367816091954023,0.001813840589939732,0.4165971643035864,2.4004004004004003,0.032328310209876226,21.910999999999998,8.089,19.07368935056284,0.2696333333333333,0.10571484087892087,0.00912543048382938,0.21476061311885256,0.21505345294338424,0.04028901695107754
graph_4_5_node_936,22,0.07894736842105263,0.0007696909246267563,0.38690937257939584,2.5845845845845847,0.021009504270707902,18.070999999999998,3.929,14.282029365079365,0.1785909090909091,0.11057212595476758,0.004121532221145542,0.11810745564228535,0.11824978930143153,0.10803438355207463
graph_4_5_node_136,26,0.15217391304347827,0.0010428400123857972,0.3897776043698791,2.5655655655655654,0.022904005999291918,21.295,4.705,16.795650144300147,0.18096153846153845,0.24529859212750346,0.0048443804253894066,0.12011686956194342,0.1202873254442194,0.23677077533585994
graph_4_5_node_121,24,0.13405797101449274,0.0009762740007204613,0.3925343811394892,2.5475475475475475,0.0251246982721982,20.442,3.5580000000000003,15.700391341991345,0.14825,0.08441285447047311,0.003768679494260664,0.09291975080879758,0.09304867742556344,0.14092432925258566
graph_4_5_node_345,23,0.09881422924901186,0.0009698821071727123,0.3970588235294117,2.5185185185185186,0.027576042259929733,18.122,4.878,14.792222538572538,0.21208695652173912,0.07565132587005229,0.005319038741600374,0.1494323892833568,0.14960906459235332,0.06793080267454504
graph_4_5_node_702,35,0.08403361344537816,0.0021351836309917434,0.42241014799154336,2.3673673673673674,0.03841819359738263,28.412,6.587999999999999,22.446470794612733,0.1882285714285714,0.1668538844444679,0.007008652905385143,0.12686862093051052,0.12710731616541027,0.1781278802683301
graph_4_5_node_730,20,0.05789473684210526,0.0008472562530492119,0.3948616600790514,2.5325325325325325,0.02264669538612981,15.464,4.5360000000000005,12.862647019647019,0.2268,0.07421562790213514,0.005025243797855337,0.16532643542754774,0.16549070310625974,0.052897390377308035
