,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_5_node_110,29,0.1896551724137931,0.0016632168323823901,0.41263940520446096,2.4234234234234235,0.05060292410544285,13.214,15.786,0.8395984140859141,0.5443448275862071,0.3229495369815011,0.016725690742566628,0.37417217249186574,0.3747655995801543,0.28549191173342897
graph_3_5_node_104,27,0.22,0.0012732719936987714,0.3888672635266641,2.5715715715715715,0.028258955303008895,16.105,10.895,1.4825253246753245,0.4035185185185185,0.3710109666467911,0.011266685186537504,0.2528648383671059,0.2532745675953205,0.5083187952783738
graph_3_5_node_281,24,0.14130434782608695,0.0016391296800548699,0.3884136858475895,2.5745745745745747,0.02064766239006138,10.234,13.765999999999998,0.7482322011322009,0.5735833333333333,0.8459241872114582,0.014117869784032644,0.4026144402525208,0.4031318541266912,0.6699471983907155
graph_3_5_node_972,33,0.08333333333333333,0.002553048082967523,0.4122988031366075,2.4254254254254253,0.03728857973941082,15.207,17.793,0.8582126562163329,0.539181818181818,0.3503316275131261,0.018837097871305157,0.3693694647428396,0.3700383880676196,0.31339250833347576
graph_3_5_node_869,31,0.2086021505376344,0.00196158128466116,0.404126213592233,2.4744744744744747,0.031114644867646982,18.102999999999998,12.897,1.4061491841491842,0.41603225806451594,0.4123364108819571,0.013351534110566846,0.2627270926832272,0.26321214790005565,0.6063487078813536
graph_3_5_node_817,24,0.2683982683982684,0.0010044349395922358,0.3752817430503381,2.6646646646646652,0.015555876972816528,17.034000000000002,6.966,2.4564571428571425,0.29025,0.3428926507370731,0.007140876559090117,0.16990461607837073,0.17016664376763782,0.7801139609733935
graph_3_5_node_198,43,0.13658536585365855,0.003681418245843242,0.4199243379571249,2.3813813813813813,0.04339799173676519,26.156999999999996,16.843,1.5565267345399705,0.3916976744186045,0.33134486352183595,0.017835090582040972,0.2436422620586761,0.24427601521641676,0.4893171412728786
graph_3_5_node_109,30,0.15862068965517245,0.002392225084459198,0.3996,2.5025025025025025,0.025974623160154208,15.049000000000001,14.950999999999999,1.0073536463536463,0.4983666666666667,0.6842482301688809,0.01531579917035113,0.33193124280239383,0.3324933766523135,0.7308923059628009
graph_3_5_node_380,21,0.11904761904761905,0.0012232686209403215,0.3836405529953917,2.6066066066066065,0.01591235380473481,10.921,10.079,1.1004598656245717,0.479952380952381,0.5241983227317047,0.010395798321925049,0.3171934986944831,0.3175724008646471,0.5857404673122069
graph_3_5_node_716,37,0.253781512605042,0.0019971885660932005,0.4107730263157895,2.434434434434434,0.05500197820752845,22.101,14.899000000000001,1.4857426739926731,0.4026756756756757,0.39005096177728793,0.015563572459044113,0.2521549727634917,0.252715449380135,0.5482616946014877
graph_3_5_node_542,26,0.13538461538461538,0.0018161226642796624,0.3920722135007849,2.5505505505505504,0.024033633184452376,12.052999999999999,13.947000000000001,0.865462481962482,0.5364230769230769,0.6386103644824306,0.014286529701191025,0.3666070344607973,0.3671313210417467,0.5940233937398764
