,Stability
graph_3_2_node_498,0
graph_3_2_node_476,0
graph_3_2_node_683,1
graph_3_2_node_678,1
graph_3_2_node_628,1
graph_3_2_node_326,1
graph_3_2_node_176,0
graph_3_2_node_471,1
graph_3_2_node_115,0
graph_3_2_node_266,0
graph_3_2_node_694,0
graph_3_2_node_429,0
graph_3_2_node_541,0
graph_3_2_node_875,1
graph_3_2_node_270,1
graph_3_2_node_150,1
graph_3_2_node_319,0
graph_3_2_node_697,1
graph_3_2_node_285,1
graph_3_2_node_942,0
graph_3_2_node_735,0
graph_3_2_node_173,0
graph_3_2_node_106,1
graph_3_2_node_578,1
graph_3_2_node_264,1
graph_3_2_node_731,1
graph_3_2_node_22,0
graph_3_2_node_155,0
graph_3_2_node_247,1
graph_3_2_node_408,0
graph_3_2_node_674,0
graph_3_2_node_321,1
graph_3_2_node_202,0
graph_3_2_node_574,0
graph_3_2_node_457,0
graph_3_2_node_256,0
graph_3_2_node_524,0
graph_3_2_node_509,0
graph_3_2_node_479,1
graph_3_2_node_90,0
graph_3_2_node_238,1
graph_3_2_node_400,0
graph_3_2_node_42,1
graph_3_2_node_869,0
graph_3_2_node_185,1
graph_3_2_node_365,0
graph_3_2_node_777,0
graph_3_2_node_726,0
graph_3_2_node_686,1
graph_3_2_node_639,1
graph_3_2_node_325,0
graph_3_2_node_723,1
graph_3_2_node_46,1
graph_3_2_node_216,1
graph_3_2_node_292,0
graph_3_2_node_669,0
graph_3_2_node_480,1
graph_3_2_node_519,0
graph_3_2_node_640,1
graph_3_2_node_754,1
graph_3_2_node_289,0
graph_3_2_node_597,0
graph_3_2_node_407,1
graph_3_2_node_732,1
graph_3_2_node_255,1
graph_3_2_node_762,1
graph_3_2_node_827,0
graph_3_2_node_153,1
graph_3_2_node_339,0
graph_3_2_node_148,0
graph_3_2_node_501,1
graph_3_2_node_162,0
graph_3_2_node_792,1
graph_3_2_node_183,1
graph_3_2_node_911,1
graph_3_2_node_259,1
graph_3_2_node_630,0
graph_3_2_node_511,1
graph_3_2_node_818,0
graph_3_2_node_799,0
graph_3_2_node_926,1
graph_3_2_node_80,0
graph_3_2_node_363,0
graph_3_2_node_774,1
graph_3_2_node_894,1
graph_3_2_node_223,0
graph_3_2_node_649,0
graph_3_2_node_533,0
graph_3_2_node_606,0
graph_3_2_node_822,0
graph_3_2_node_26,1
graph_3_2_node_892,0
graph_3_2_node_653,1
graph_3_2_node_728,1
graph_3_2_node_576,0
graph_3_2_node_695,1
graph_3_2_node_66,1
graph_3_2_node_859,0
graph_3_2_node_39,0
graph_3_2_node_469,1
graph_3_2_node_916,1
graph_3_2_node_398,0
graph_3_2_node_483,0
graph_3_2_node_296,0
graph_3_2_node_761,0
graph_3_2_node_15,0
graph_3_2_node_450,1
graph_3_2_node_537,0
graph_3_2_node_976,0
graph_3_2_node_698,1
graph_3_2_node_655,0
graph_3_2_node_967,0
graph_3_2_node_152,0
graph_3_2_node_440,0
graph_3_2_node_999,0
graph_3_2_node_885,1
graph_3_2_node_564,0
graph_3_2_node_962,1
graph_3_2_node_727,0
graph_3_2_node_218,0
graph_3_2_node_460,1
graph_3_2_node_100,0
graph_3_2_node_652,1
graph_3_2_node_905,0
graph_3_2_node_188,1
graph_3_2_node_752,1
graph_3_2_node_616,0
graph_3_2_node_251,0
graph_3_2_node_279,0
graph_3_2_node_757,0
graph_3_2_node_856,1
graph_3_2_node_83,1
graph_3_2_node_706,0
graph_3_2_node_385,1
graph_3_2_node_364,1
graph_3_2_node_582,1
graph_3_2_node_186,0
graph_3_2_node_267,1
graph_3_2_node_661,0
graph_3_2_node_438,1
graph_3_2_node_130,1
graph_3_2_node_633,1
graph_3_2_node_257,1
graph_3_2_node_832,1
graph_3_2_node_587,1
graph_3_2_node_814,1
graph_3_2_node_790,1
graph_3_2_node_667,0
graph_3_2_node_444,0
graph_3_2_node_200,0
graph_3_2_node_908,1
graph_3_2_node_386,1
graph_3_2_node_254,0
graph_3_2_node_594,1
graph_3_2_node_180,1
graph_3_2_node_197,1
graph_3_2_node_918,0
graph_3_2_node_92,1
graph_3_2_node_503,1
graph_3_2_node_874,0
graph_3_2_node_215,0
graph_3_2_node_347,1
graph_3_2_node_109,0
graph_3_2_node_191,1
graph_3_2_node_129,1
graph_3_2_node_475,0
graph_3_2_node_853,1
graph_3_2_node_184,1
graph_3_2_node_397,1
graph_3_2_node_516,0
graph_3_2_node_141,1
graph_3_2_node_854,0
graph_3_2_node_348,0
graph_3_2_node_837,0
graph_3_2_node_5,0
graph_3_2_node_206,0
graph_3_2_node_807,1
graph_3_2_node_708,0
graph_3_2_node_120,1
graph_3_2_node_947,0
graph_3_2_node_209,1
graph_3_2_node_470,1
graph_3_2_node_896,1
graph_3_2_node_635,1
graph_3_2_node_131,1
graph_3_2_node_110,1
graph_3_2_node_332,1
graph_3_2_node_666,1
graph_3_2_node_692,0
graph_3_2_node_40,1
graph_3_2_node_504,0
graph_3_2_node_508,0
graph_3_2_node_643,0
graph_3_2_node_958,0
graph_3_2_node_346,1
graph_3_2_node_974,1
graph_3_2_node_284,1
graph_3_2_node_749,0
graph_3_2_node_938,1
graph_3_2_node_559,0
graph_3_2_node_878,1
graph_3_2_node_6,1
graph_3_2_node_965,1
graph_3_2_node_48,1
graph_3_2_node_765,1
graph_3_2_node_226,0
graph_3_2_node_646,1
graph_3_2_node_276,1
graph_3_2_node_846,0
graph_3_2_node_996,1
graph_3_2_node_2,1
graph_3_2_node_271,1
graph_3_2_node_929,0
graph_3_2_node_966,0
graph_3_2_node_431,1
graph_3_2_node_58,0
graph_3_2_node_99,1
graph_3_2_node_4,1
graph_3_2_node_187,0
graph_3_2_node_613,0
graph_3_2_node_163,1
graph_3_2_node_601,1
graph_3_2_node_550,1
graph_3_2_node_84,0
graph_3_2_node_243,0
graph_3_2_node_986,1
graph_3_2_node_127,1
graph_3_2_node_933,0
graph_3_2_node_801,1
graph_3_2_node_982,1
graph_3_2_node_333,1
graph_3_2_node_950,0
graph_3_2_node_690,1
graph_3_2_node_244,0
graph_3_2_node_783,1
graph_3_2_node_204,1
graph_3_2_node_823,1
graph_3_2_node_189,0
graph_3_2_node_593,0
graph_3_2_node_181,0
graph_3_2_node_992,1
graph_3_2_node_17,0
graph_3_2_node_291,0
graph_3_2_node_675,0
graph_3_2_node_358,0
graph_3_2_node_478,1
graph_3_2_node_684,0
graph_3_2_node_211,1
graph_3_2_node_817,0
graph_3_2_node_956,0
graph_3_2_node_214,0
graph_3_2_node_530,1
graph_3_2_node_303,0
graph_3_2_node_722,0
graph_3_2_node_145,0
graph_3_2_node_889,0
graph_3_2_node_497,0
graph_3_2_node_317,1
graph_3_2_node_779,1
graph_3_2_node_372,1
graph_3_2_node_864,1
graph_3_2_node_313,1
graph_3_2_node_771,1
graph_3_2_node_27,1
graph_3_2_node_164,0
graph_3_2_node_421,1
graph_3_2_node_250,0
graph_3_2_node_137,1
graph_3_2_node_295,0
graph_3_2_node_114,0
graph_3_2_node_763,0
graph_3_2_node_753,0
graph_3_2_node_570,0
graph_3_2_node_971,0
graph_3_2_node_638,0
graph_3_2_node_513,1
graph_3_2_node_826,0
graph_3_2_node_970,0
graph_3_2_node_742,0
graph_3_2_node_370,0
graph_3_2_node_946,1
graph_3_2_node_660,0
graph_3_2_node_802,1
graph_3_2_node_957,1
graph_3_2_node_544,0
graph_3_2_node_125,1
graph_3_2_node_47,0
graph_3_2_node_443,0
graph_3_2_node_402,0
graph_3_2_node_433,0
graph_3_2_node_310,1
graph_3_2_node_442,0
graph_3_2_node_632,0
graph_3_2_node_656,1
graph_3_2_node_329,0
graph_3_2_node_538,0
graph_3_2_node_931,1
graph_3_2_node_51,1
graph_3_2_node_44,1
graph_3_2_node_196,0
graph_3_2_node_629,1
graph_3_2_node_520,0
graph_3_2_node_528,1
graph_3_2_node_702,0
graph_3_2_node_376,1
graph_3_2_node_979,0
graph_3_2_node_796,0
graph_3_2_node_435,0
graph_3_2_node_641,1
graph_3_2_node_891,0
graph_3_2_node_25,0
graph_3_2_node_642,0
graph_3_2_node_865,1
graph_3_2_node_394,0
graph_3_2_node_730,0
graph_3_2_node_932,0
graph_3_2_node_969,0
graph_3_2_node_473,0
graph_3_2_node_417,0
graph_3_2_node_648,1
graph_3_2_node_813,1
graph_3_2_node_518,1
graph_3_2_node_995,1
graph_3_2_node_654,1
graph_3_2_node_132,0
graph_3_2_node_366,0
graph_3_2_node_984,1
graph_3_2_node_714,0
graph_3_2_node_74,0
graph_3_2_node_884,0
graph_3_2_node_165,0
graph_3_2_node_989,0
graph_3_2_node_935,1
graph_3_2_node_845,0
graph_3_2_node_844,0
graph_3_2_node_277,1
graph_3_2_node_797,1
graph_3_2_node_840,0
graph_3_2_node_239,1
graph_3_2_node_344,1
graph_3_2_node_405,1
graph_3_2_node_399,0
graph_3_2_node_273,0
graph_3_2_node_724,0
graph_3_2_node_949,0
graph_3_2_node_96,1
graph_3_2_node_489,0
graph_3_2_node_514,1
graph_3_2_node_748,1
graph_3_2_node_998,1
graph_3_2_node_770,1
graph_3_2_node_481,0
graph_3_2_node_77,0
graph_3_2_node_30,0
graph_3_2_node_590,1
graph_3_2_node_477,0
graph_3_2_node_330,1
graph_3_2_node_810,1
graph_3_2_node_588,1
graph_3_2_node_540,0
graph_3_2_node_645,1
graph_3_2_node_893,1
graph_3_2_node_174,1
graph_3_2_node_387,0
graph_3_2_node_352,0
graph_3_2_node_719,0
graph_3_2_node_12,1
graph_3_2_node_3,0
graph_3_2_node_681,0
graph_3_2_node_297,0
graph_3_2_node_688,0
graph_3_2_node_404,1
graph_3_2_node_634,0
graph_3_2_node_880,1
graph_3_2_node_786,0
graph_3_2_node_8,1
graph_3_2_node_412,1
graph_3_2_node_939,1
graph_3_2_node_561,0
graph_3_2_node_621,0
graph_3_2_node_82,0
graph_3_2_node_960,1
graph_3_2_node_619,0
graph_3_2_node_61,1
graph_3_2_node_718,1
graph_3_2_node_451,1
graph_3_2_node_909,1
graph_3_2_node_605,0
graph_3_2_node_446,1
graph_3_2_node_203,0
graph_3_2_node_712,0
graph_3_2_node_858,0
graph_3_2_node_555,0
graph_3_2_node_360,1
graph_3_2_node_133,1
graph_3_2_node_980,0
graph_3_2_node_488,1
graph_3_2_node_502,1
graph_3_2_node_75,1
graph_3_2_node_993,0
graph_3_2_node_612,1
graph_3_2_node_68,0
graph_3_2_node_79,0
graph_3_2_node_423,0
graph_3_2_node_572,0
graph_3_2_node_437,1
graph_3_2_node_167,0
graph_3_2_node_151,0
graph_3_2_node_610,0
graph_3_2_node_306,1
graph_3_2_node_60,1
graph_3_2_node_415,1
graph_3_2_node_737,1
graph_3_2_node_671,0
graph_3_2_node_62,0
graph_3_2_node_925,1
graph_3_2_node_599,1
graph_3_2_node_11,0
graph_3_2_node_709,1
graph_3_2_node_269,1
graph_3_2_node_821,1
graph_3_2_node_913,1
graph_3_2_node_529,1
graph_3_2_node_930,0
graph_3_2_node_384,1
graph_3_2_node_580,0
graph_3_2_node_788,0
graph_3_2_node_293,0
graph_3_2_node_773,1
graph_3_2_node_776,0
graph_3_2_node_721,0
graph_3_2_node_496,1
graph_3_2_node_586,0
graph_3_2_node_377,1
graph_3_2_node_808,1
graph_3_2_node_97,0
graph_3_2_node_413,1
graph_3_2_node_436,1
graph_3_2_node_581,1
graph_3_2_node_331,1
graph_3_2_node_445,0
graph_3_2_node_410,1
graph_3_2_node_549,0
graph_3_2_node_825,0
graph_3_2_node_636,0
graph_3_2_node_831,0
graph_3_2_node_371,0
graph_3_2_node_536,1
graph_3_2_node_863,1
graph_3_2_node_607,0
graph_3_2_node_566,0
graph_3_2_node_711,1
graph_3_2_node_787,0
graph_3_2_node_955,0
graph_3_2_node_105,0
graph_3_2_node_320,0
graph_3_2_node_253,1
graph_3_2_node_361,1
graph_3_2_node_207,1
graph_3_2_node_128,0
graph_3_2_node_637,0
graph_3_2_node_618,0
graph_3_2_node_736,0
graph_3_2_node_507,0
graph_3_2_node_943,0
graph_3_2_node_912,1
graph_3_2_node_914,1
graph_3_2_node_168,0
graph_3_2_node_288,0
graph_3_2_node_85,1
graph_3_2_node_428,1
graph_3_2_node_37,1
graph_3_2_node_235,1
graph_3_2_node_975,0
graph_3_2_node_392,1
