,Stability
graph_2_5_node_256,1
graph_2_5_node_949,0
graph_2_5_node_582,1
graph_2_5_node_58,1
graph_2_5_node_91,1
graph_2_5_node_108,0
graph_2_5_node_651,1
graph_2_5_node_275,1
graph_2_5_node_158,1
graph_2_5_node_620,0
graph_2_5_node_253,1
graph_2_5_node_274,0
graph_2_5_node_725,0
graph_2_5_node_368,1
graph_2_5_node_527,1
graph_2_5_node_746,1
graph_2_5_node_850,1
graph_2_5_node_6,1
graph_2_5_node_342,0
graph_2_5_node_602,1
graph_2_5_node_308,0
graph_2_5_node_812,0
graph_2_5_node_385,1
graph_2_5_node_441,1
graph_2_5_node_736,1
graph_2_5_node_500,0
graph_2_5_node_911,1
graph_2_5_node_690,1
graph_2_5_node_606,0
graph_2_5_node_104,1
graph_2_5_node_126,1
graph_2_5_node_343,1
graph_2_5_node_356,1
graph_2_5_node_177,1
graph_2_5_node_794,1
graph_2_5_node_8,1
graph_2_5_node_34,1
graph_2_5_node_783,1
graph_2_5_node_764,1
graph_2_5_node_536,1
graph_2_5_node_647,0
graph_2_5_node_103,1
graph_2_5_node_471,1
graph_2_5_node_38,1
graph_2_5_node_467,1
graph_2_5_node_377,1
graph_2_5_node_401,0
graph_2_5_node_23,1
graph_2_5_node_315,0
graph_2_5_node_661,0
graph_2_5_node_329,0
graph_2_5_node_30,0
graph_2_5_node_518,1
graph_2_5_node_767,0
graph_2_5_node_161,0
graph_2_5_node_936,1
graph_2_5_node_935,1
graph_2_5_node_422,1
graph_2_5_node_27,1
graph_2_5_node_816,0
graph_2_5_node_69,1
graph_2_5_node_310,1
graph_2_5_node_413,1
graph_2_5_node_111,1
graph_2_5_node_26,1
graph_2_5_node_960,1
graph_2_5_node_403,1
graph_2_5_node_565,1
graph_2_5_node_211,1
graph_2_5_node_938,1
graph_2_5_node_740,1
graph_2_5_node_419,0
graph_2_5_node_345,0
graph_2_5_node_300,0
graph_2_5_node_545,1
graph_2_5_node_743,1
graph_2_5_node_955,0
graph_2_5_node_112,1
graph_2_5_node_242,1
graph_2_5_node_163,1
graph_2_5_node_252,0
graph_2_5_node_605,1
graph_2_5_node_475,0
graph_2_5_node_212,0
graph_2_5_node_147,0
graph_2_5_node_707,1
graph_2_5_node_676,1
graph_2_5_node_571,0
graph_2_5_node_766,1
graph_2_5_node_840,0
graph_2_5_node_830,1
graph_2_5_node_948,0
graph_2_5_node_785,1
graph_2_5_node_827,0
graph_2_5_node_835,1
graph_2_5_node_280,0
graph_2_5_node_538,0
graph_2_5_node_634,0
graph_2_5_node_115,0
graph_2_5_node_971,0
graph_2_5_node_697,1
graph_2_5_node_834,0
graph_2_5_node_339,1
graph_2_5_node_246,0
graph_2_5_node_322,0
graph_2_5_node_482,1
graph_2_5_node_560,0
graph_2_5_node_595,1
graph_2_5_node_559,0
graph_2_5_node_458,0
graph_2_5_node_540,1
graph_2_5_node_570,0
graph_2_5_node_996,1
graph_2_5_node_170,1
graph_2_5_node_117,0
graph_2_5_node_102,1
graph_2_5_node_221,0
graph_2_5_node_530,1
graph_2_5_node_758,0
graph_2_5_node_156,0
graph_2_5_node_64,1
graph_2_5_node_387,1
graph_2_5_node_164,0
graph_2_5_node_223,0
graph_2_5_node_983,0
graph_2_5_node_894,1
graph_2_5_node_484,1
graph_2_5_node_713,1
graph_2_5_node_141,1
graph_2_5_node_720,1
graph_2_5_node_423,0
graph_2_5_node_551,0
graph_2_5_node_776,0
graph_2_5_node_216,1
graph_2_5_node_250,0
graph_2_5_node_956,0
graph_2_5_node_572,0
graph_2_5_node_393,1
graph_2_5_node_887,1
graph_2_5_node_642,0
graph_2_5_node_136,1
graph_2_5_node_320,0
graph_2_5_node_897,1
graph_2_5_node_180,1
graph_2_5_node_842,1
graph_2_5_node_837,0
graph_2_5_node_959,0
graph_2_5_node_855,1
graph_2_5_node_923,1
graph_2_5_node_269,1
graph_2_5_node_251,0
graph_2_5_node_759,0
graph_2_5_node_807,1
graph_2_5_node_509,0
graph_2_5_node_851,0
graph_2_5_node_361,1
graph_2_5_node_144,0
graph_2_5_node_49,0
graph_2_5_node_810,1
graph_2_5_node_302,1
graph_2_5_node_574,0
graph_2_5_node_904,1
graph_2_5_node_510,1
graph_2_5_node_777,0
graph_2_5_node_918,0
graph_2_5_node_846,0
graph_2_5_node_875,1
graph_2_5_node_741,1
graph_2_5_node_402,0
graph_2_5_node_592,0
graph_2_5_node_231,1
graph_2_5_node_961,1
graph_2_5_node_456,1
graph_2_5_node_352,0
graph_2_5_node_742,1
graph_2_5_node_541,0
graph_2_5_node_990,0
graph_2_5_node_430,0
graph_2_5_node_664,1
graph_2_5_node_129,1
graph_2_5_node_819,0
graph_2_5_node_59,0
graph_2_5_node_718,1
graph_2_5_node_383,1
graph_2_5_node_624,1
graph_2_5_node_898,1
graph_2_5_node_872,0
graph_2_5_node_222,1
graph_2_5_node_107,1
graph_2_5_node_814,1
graph_2_5_node_62,0
graph_2_5_node_728,1
graph_2_5_node_988,1
graph_2_5_node_306,1
graph_2_5_node_980,0
graph_2_5_node_682,0
graph_2_5_node_479,1
graph_2_5_node_431,1
graph_2_5_node_950,0
graph_2_5_node_235,1
graph_2_5_node_881,1
graph_2_5_node_353,1
graph_2_5_node_374,1
graph_2_5_node_48,1
graph_2_5_node_335,1
graph_2_5_node_992,1
graph_2_5_node_852,0
graph_2_5_node_907,1
graph_2_5_node_641,1
graph_2_5_node_21,1
graph_2_5_node_958,0
graph_2_5_node_848,1
graph_2_5_node_399,0
graph_2_5_node_284,1
graph_2_5_node_476,0
graph_2_5_node_442,0
graph_2_5_node_906,1
graph_2_5_node_316,0
graph_2_5_node_351,0
graph_2_5_node_896,1
graph_2_5_node_122,1
graph_2_5_node_70,1
graph_2_5_node_238,1
graph_2_5_node_47,0
