,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_2_node_584,38,0.1619047619047619,0.0024298689307351864,0.4024979854955681,2.4844844844844847,0.038881190102025766,24.136999999999997,13.863,1.7456765234765237,0.3648157894736841,0.3400622402579336,0.014495847761205709,0.22318380884348615,0.22369771683912165,0.5618601542681961
graph_3_4_node_88,30,0.26436781609195403,0.0014257844697631186,0.4028225806451613,2.4824824824824825,0.04262020215776308,18.102999999999998,11.897,1.5244469696969696,0.3965666666666667,0.34665075013461866,0.0123483003926285,0.2473935820482039,0.24783506644313116,0.5515932084645138
graph_3_2_node_626,31,0.2019704433497537,0.0016654795440214627,0.4016887816646562,2.4894894894894897,0.03338203820406059,18.067,12.933,1.3984112276612273,0.4171935483870966,0.39121258759783256,0.013405397672272829,0.2636222963147524,0.2641015302689163,0.5130995905911157
graph_3_4_node_464,14,0.12087912087912088,0.0005492656734770748,0.3715135738192637,2.6916916916916915,0.012518272281234831,6.1160000000000005,7.8839999999999995,0.7827681818181818,0.5631428571428571,0.4285387523802494,0.008106555405686791,0.3926735598004544,0.3929659091569578,0.37345494591319495
graph_3_5_node_235,18,0.19166666666666668,0.0006132037653515282,0.3675496688741722,2.720720720720721,0.013230873734543418,11.042,6.957999999999999,1.5911857142857149,0.3865555555555557,0.3832164207437209,0.007108745373772555,0.2396713173367233,0.2399329267643752,0.5482601167881422
graph_3_2_node_405,36,0.19073083778966127,0.00220972278414148,0.4026602176541717,2.483483483483484,0.033276224493516735,21.076999999999998,14.923,1.4149619380619378,0.4145277777777778,0.5433541430800343,0.015385228469949368,0.26155098149364936,0.2621040371584215,0.7251888884449049
graph_3_4_node_106,19,0.06432748538011697,0.0010537258049616947,0.38057142857142856,2.627627627627628,0.015457218185869403,5.063,13.937000000000001,0.3651159923409921,0.7335263157894736,0.5860980695277889,0.014350505374222038,0.5795867384825449,0.5801033858226358,0.25177238422857984
graph_3_2_node_573,25,0.08,0.0016744524683381626,0.3947056499407349,2.5335335335335336,0.024599629994876845,8.093,16.907,0.4797539592760181,0.6762799999999999,0.5075462110814157,0.017542586714386445,0.5111270495094027,0.5117529854109912,0.2703605238460841
graph_3_2_node_908,25,0.25,0.0010106102295675855,0.3950177935943061,2.5315315315315314,0.03913291047859662,17.102,7.898,2.171577380952381,0.3159200000000001,0.1489925615558311,0.008380641615690559,0.1876610792308467,0.18795377408089065,0.33800775104890696
graph_3_2_node_179,23,0.22134387351778656,0.0010278675271296065,0.38690937257939584,2.5845845845845847,0.023436669214670854,13.073,9.927,1.3206361111111111,0.431608695652174,0.36170218706848495,0.010234121823172493,0.2753278017406201,0.2756955525382449,0.507644603222598
