,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_1_node_127,20,0.07368421052631578,0.0007200451775905582,0.39361702127659576,2.5405405405405403,0.0251496802130295,17.285,2.715,15.194202020202017,0.13575,0.05309651436490969,0.0028931514095778773,0.09312402669632926,0.09322498415247267,0.05917367597206561
graph_4_3_node_332,20,0.08947368421052632,0.0008216624766290983,0.39377217185652347,2.5395395395395397,0.022702031726267075,13.619,6.381,9.509069486069485,0.31904999999999994,0.208196309430418,0.006704106000836109,0.2262588483489484,0.2264920605531579,0.162174107960332
graph_4_4_node_308,29,0.03940886699507389,0.001920582333464002,0.41263940520446096,2.4234234234234235,0.03048247134173838,23.638,5.362,21.543824876544946,0.18489655172413794,0.20645667405596682,0.005863986379876162,0.14458822484787515,0.144788117509379,0.08503654784984202
graph_4_5_node_225,24,0.19202898550724637,0.0009334952528395176,0.39176470588235296,2.5525525525525525,0.023185068358951653,19.617,4.383,15.523439294039294,0.182625,0.2127188515734957,0.004523942938612077,0.12147877520483424,0.12163755806511972,0.24204628243440932
graph_4_5_node_821,23,0.11857707509881422,0.0008651450308309728,0.3994402239104358,2.5035035035035036,0.026767152935398598,17.962,5.038,14.770128471528471,0.21904347826086956,0.1601274255039435,0.00527564928328591,0.15623017324345598,0.15641263552315535,0.12636715352581246
graph_4_2_node_786,32,0.11895161290322581,0.002228726938853941,0.4085889570552147,2.4474474474474475,0.029046915576397884,27.406,4.594,24.276258432657812,0.1435625,0.23790739419381118,0.0047215992481838215,0.10139223697461464,0.1015627639940439,0.19406046438453642
graph_4_1_node_546,53,0.125544267053701,0.004992188862806839,0.4489887640449438,2.2272272272272273,0.06460822259696697,45.889,7.111,39.91753919548717,0.13416981132075473,0.1935499703328432,0.007482374183734368,0.09169974958900798,0.0919643028177842,0.20171678035251767
graph_4_2_node_243,31,0.12688172043010754,0.0017870770460784418,0.4107730263157895,2.4344344344344346,0.03731909768761571,27.147,3.853,23.589219884282386,0.12429032258064515,0.10225164936081868,0.004042683673980042,0.0831699489319673,0.08331300776959848,0.1172596751251778
graph_4_1_node_730,46,0.08405797101449275,0.004114098494506688,0.43873517786561267,2.279279279279279,0.05138457841927111,39.945,6.055,34.68732995712635,0.1316304347826087,0.1166635742329392,0.006492665907914686,0.08961417540314855,0.08983942670363533,0.1336193917129608
graph_4_1_node_691,25,0.043333333333333335,0.0013559869279598888,0.4000800961153384,2.4994994994994997,0.025071936424556168,20.632,4.368,18.837051481112628,0.17471999999999996,0.2047527477332447,0.004616095651922675,0.13454960542061684,0.13471196955736636,0.10077232632616033
