,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_2_node_107,22,0.3157894736842105,0.001039576569564224,0.3687707641196013,2.7117117117117115,0.02084542739864942,14.032,7.968,1.7663166666666663,0.3621818181818181,0.3567545400582945,0.008155917806867708,0.2212078272604589,0.221515306621014,0.5809209900502165
graph_2_4_node_345,22,0.4526315789473685,0.0008777535985289861,0.3639344262295082,2.747747747747748,0.0112113104611452,17.016,4.984,3.417599999999999,0.2265454545454545,0.2366870420500254,0.00510003804775072,0.12775384615384616,0.1279484199386006,0.7581908593633632
graph_2_4_node_719,18,0.08333333333333333,0.0014254802547445052,0.3705489614243324,2.6986986986986987,0.009277421820292226,8.022,9.978,0.8062122877122879,0.5543333333333332,0.6395317585831785,0.010187808127125216,0.3837266678249288,0.3841158561515158,0.44570413216137295
graph_2_4_node_93,51,0.2925170068027211,0.00447012348394975,0.4094262295081968,2.4424424424424425,0.11225334361494577,37.196999999999996,13.802999999999999,2.7030409923409926,0.2706470588235294,0.2695710994671458,0.014579614118073913,0.1565536969402367,0.15709322465874662,0.7019380272253638
graph_2_1_node_256,29,0.31339031339031337,0.001775657881015732,0.3775510204081632,2.6486486486486487,0.011803264974429468,21.029,7.971,2.6429320728291312,0.2748620689655173,0.2576767137510845,0.00823366897282942,0.15939119523231432,0.15969379232679576,0.6444866619992616
graph_2_2_node_988,32,0.3004032258064516,0.002504212342161737,0.3852680293096799,2.5955955955955954,0.028270896171289937,21.076,10.924000000000001,1.93219393939394,0.341375,0.27566194023932555,0.01138471522848165,0.2058598128635865,0.20628154334111906,0.5540546989334757
graph_2_1_node_330,53,0.34823529411764703,0.004779353611564715,0.4157303370786517,2.4054054054054053,0.07814821206227557,38.111999999999995,14.888,2.5632828338328326,0.2809056603773586,0.3452629987780336,0.015578639083492078,0.16342728853123492,0.1639930559689648,0.8564893599899716
graph_2_5_node_557,29,0.2621082621082621,0.002223120715456379,0.390234375,2.5625625625625625,0.018884112047578862,20.012,8.988,2.2270555555555553,0.30993103448275866,0.38155541622503,0.009211791941257002,0.18338938775510205,0.1837370998964972,0.8059736021329522
graph_2_2_node_206,19,0.2573099415204678,0.0010140942564767696,0.366605504587156,2.727727727727728,0.011639439572900749,11.013,7.987,1.3798630952380957,0.42036842105263145,0.32753155013147456,0.008191643708334403,0.2661456989247312,0.2664538397275182,0.4917740310292692
graph_2_5_node_313,30,0.3701149425287356,0.0013529480516692206,0.3824655436447167,2.6146146146146148,0.036633636632958384,24.059,5.941,4.06,0.19803333333333334,0.11598190329703473,0.006269268139805315,0.10992063492063492,0.1101505688857864,0.4868486685146177
graph_2_5_node_391,37,0.30084033613445377,0.003024139187604088,0.39627132090440303,2.523523523523524,0.02046673973639842,26.019000000000002,10.981,2.3700272727272726,0.2967837837837837,0.35765466855470884,0.011336076356055512,0.17425446428571426,0.17467944288636594,0.8139452450627984
graph_2_4_node_9,16,0.3,0.0007870738329834026,0.3572961373390558,2.798798798798799,0.0069130218527252724,11.008,4.992,2.207466666666666,0.312,0.2562577766821565,0.0050965783922234725,0.1848523991972268,0.1850471938777724,0.6154168078722
graph_2_3_node_89,22,0.4155844155844156,0.0007113435551285015,0.3724832214765101,2.684684684684685,0.0472033265330124,16.029,5.971,2.6908666666666665,0.2714090909090908,0.14047594934659707,0.006241110468904362,0.15704561403508774,0.1572738812878306,0.3993597263008231
graph_2_3_node_752,20,0.3526315789473684,0.0011654389127661248,0.3656661786237189,2.734734734734735,0.010991014809957405,13.036,6.9639999999999995,1.8760000000000003,0.34819999999999995,0.4152983288636045,0.007095911763230626,0.2108561242678889,0.21112228221575327,0.8318963565481846
graph_2_3_node_156,23,0.36666666666666653,0.0008821849532172645,0.3667400881057269,2.7267267267267266,0.01568647419232417,18.000999999999998,4.999,3.6011500000000014,0.21734782608695652,0.18350654274869824,0.0051402702907932685,0.12192450638792107,0.12211565082484567,0.6239770840552515
graph_2_1_node_93,21,0.1619047619047619,0.0019120615540462302,0.3741573033707865,2.6726726726726726,0.008191222827771403,10.02,10.98,0.9130363636363632,0.5228571428571429,0.5664618567655084,0.011206254975159915,0.35399963343108504,0.35441606389629743,0.5668958442165496
graph_2_5_node_152,35,0.3025210084033613,0.0022066425954176397,0.3953304313415117,2.5295295295295297,0.04398370473135424,25.037,9.963,2.5150138888888893,0.28465714285714283,0.19425884503959615,0.010514233073973322,0.16596268875962156,0.1663482552175683,0.5063767159828092
graph_2_1_node_505,22,0.35497835497835495,0.001057512239523706,0.3738772455089821,2.674674674674675,0.01906064822286917,15.005,6.995,2.1454761904761903,0.3179545454545455,0.20066567577414146,0.007253244140217213,0.18903271692745371,0.1892981517324308,0.4588371124748558
graph_2_2_node_347,17,0.2058823529411765,0.001167530836310406,0.3616944243301955,2.764764764764765,0.007325428497248992,10.002,6.997999999999999,1.4308528138528136,0.4116470588235295,0.3475587585305909,0.007158927698465279,0.25924752703013565,0.2595175010575613,0.5438886109839158
graph_2_5_node_156,17,0.26666666666666666,0.0008796913951466432,0.35501066098081024,2.8168168168168166,0.00425654270823249,12.013,4.987,2.4110499999999995,0.2933529411764705,0.2763466369179792,0.005106298100102551,0.17190574712643686,0.17209858599705075,0.6085588773029079
