,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_5_node_778,20,0.07894736842105263,0.001195223952880477,0.3867595818815331,2.5855855855855854,0.019563092182857116,6.06,13.94,0.4357612387612388,0.6969999999999998,0.5216386294793894,0.014371476033621112,0.5351611019886882,0.5356848895132208,0.26160319347095284
graph_3_1_node_389,28,0.20105820105820105,0.001543228383452084,0.3928430987023201,2.5455455455455454,0.02842075101052295,16.063,11.937,1.3474606060606058,0.42632142857142863,0.4175492633392104,0.012328369054827851,0.2709661237724141,0.2714118696214083,0.592912314721926
graph_3_1_node_329,27,0.1623931623931624,0.0013857698730690273,0.3914576802507837,2.5545545545545547,0.028618356050328867,16.106,10.894,1.4835446428571426,0.4034814814814815,0.24665961928010915,0.011438118368963973,0.25285787141967936,0.2532646867189818,0.38309707030709794
graph_3_4_node_173,18,0.026143790849673203,0.0010365379578264602,0.38290532771176694,2.6116116116116115,0.01535917818541855,4.11,13.89,0.2992902847152847,0.7716666666666668,0.7200789152683196,0.01433445999728345,0.6294928564189436,0.6300077249762889,0.15349289089258683
graph_3_3_node_13,29,0.20797720797720798,0.0017270868016678695,0.3903868698710434,2.5615615615615615,0.023580638459492025,16.175,12.825,1.2709603877117033,0.44224137931034463,0.6843528241610628,0.01319633852977461,0.2842573803204243,0.28474316452252796,0.7926362796361929
graph_3_1_node_805,24,0.19913419913419914,0.0011497519253607087,0.3842307692307692,2.6026026026026026,0.019032753589088503,14.035,9.965,1.4098285714285712,0.4152083333333334,0.5507906073985377,0.010177954115574012,0.2620355090352523,0.2624075885558924,0.7168174673532157
graph_3_1_node_363,17,0.15441176470588236,0.0006500631336104434,0.37220566318926973,2.6866866866866865,0.017239020749639688,9.036,7.964,1.1367988095238095,0.46847058823529414,0.2657645262574422,0.008234941124577691,0.3059760360967257,0.3062733121860077,0.3328856492711273
graph_3_1_node_519,29,0.19950738916256158,0.0015919159499940972,0.3928430987023201,2.5455455455455454,0.026385240919757722,18.056,10.944,1.6524799783549784,0.37737931034482763,0.39637146875572454,0.011300220548556268,0.23262456348496854,0.23303330514883736,0.6862995501828802
graph_3_5_node_530,26,0.32,0.0010591749285268652,0.39361702127659576,2.5405405405405403,0.03381339163621639,17.032,8.968,1.9009603174603176,0.34492307692307683,0.28254026393672615,0.009284071485579318,0.2084289405684754,0.20876624931944218,0.56595874745992
graph_3_2_node_391,27,0.19943019943019943,0.0015284048222630492,0.3967434471803018,2.5205205205205203,0.027730828004596527,15.056,11.944,1.2622318181818182,0.44237037037037047,0.38993126878872747,0.012349935261864868,0.28408417396556923,0.2845266777540463,0.5202617768102531
