,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_1_node_637,19,0.34502923976608185,0.0009674022752943982,0.3619565217391305,2.7627627627627627,0.0059143715961249505,13.998,5.002,2.7987333333333333,0.2632631578947368,0.12205731707317075,0.005215867328883235,0.15158712121212126,0.15177692877232635,0.3659386178861789
graph_2_2_node_159,19,0.3382352941176471,0.0009991771630381893,0.3603896103896104,2.774774774774775,0.006585801954877014,13.0,6.0,2.166666666666667,0.31578947368421056,0.3742579787234042,0.00609815601566299,0.1875,0.1877315350775643,0.7485159574468084
graph_3_2_node_606,48,0.2106280193236715,0.003590932709666333,0.43586387434554974,2.2942942942942937,0.08058276910781426,29.026,18.974,1.530014447884417,0.39529166666666665,0.5291220145006543,0.019694829466837004,0.24633887631355986,0.24704237456707304,0.7805880119523045
graph_3_2_node_398,21,0.1286549707602339,0.0009393956281401592,0.3782658084059069,2.643643643643644,0.017534668130765884,10.003,10.997,0.909663636363636,0.5236666666666667,0.2382752423304029,0.0115329494929646,0.35471169354838705,0.3551189748836554,0.1949952275958427
graph_4_4_node_340,26,0.08615384615384615,0.001351596348106936,0.4052738336713996,2.4674674674674675,0.03159772627551724,10.092,15.908,0.6352095238095238,0.6118461538461538,0.4522709805398544,0.016521257051648818,0.44088319898846223,0.4414764325449645,0.3121380859076405
graph_3_3_node_745,20,0.1368421052631579,0.0009939394550139606,0.3855654187572366,2.5935935935935936,0.02830886457407772,10.031,9.969,1.0075238095238097,0.4984500000000001,0.24612918900889494,0.010395102581909113,0.3320293255131965,0.33240679727385536,0.27135111576519705
graph_2_2_node_423,18,0.2679738562091503,0.0010078688771477694,0.3653986832479883,2.736736736736737,0.008229974382796924,12.001,5.999,2.0006,0.3332777777777777,0.315549441786284,0.006115445062177082,0.19996129032258067,0.20019276896816104,0.6837232854864433
graph_2_3_node_932,31,0.37192118226600973,0.0017916048589103274,0.37883959044368604,2.63963963963964,0.018533693649665815,23.002,7.997999999999999,2.876107142857143,0.2579999999999999,0.33274358974358964,0.00819545800737393,0.1481063973063973,0.14841229501949102,0.915157692307692
graph_4_5_node_577,25,0.12666666666666668,0.0012906709035354171,0.397532829287704,2.5155155155155158,0.022157736673332533,11.685,13.315,0.8803633866133869,0.5326000000000001,0.3223566696191474,0.013912199708364176,0.3632229395387291,0.3637052621462975,0.2916190120607963
graph_2_5_node_907,20,0.1503267973856209,0.0010882842870467162,0.3709617526921649,2.695695695695696,0.011312110970100346,11.002,8.998,1.2228571428571424,0.4499000000000001,0.3745125570776256,0.009219933835091844,0.2902443792766373,0.29059223568147996,0.4161555048198884
graph_4_1_node_118,31,0.15268817204301074,0.0016729073424818445,0.4004008016032064,2.497497497497497,0.029539011969492955,15.77,15.23,1.0370917582417585,0.4912903225806453,0.4486770079929864,0.015817288741744966,0.32575297186404617,0.3263194855648082,0.4862076760907722
graph_3_5_node_289,36,0.16666666666666666,0.002590715671068064,0.4104354971240756,2.4364364364364364,0.03759171491211328,18.043,17.957,1.0053411764705882,0.4988055555555556,0.6488075384591391,0.018483889834642064,0.3323073137388926,0.33298254417402884,0.6860568773946529
graph_4_2_node_737,23,0.1976284584980237,0.0007131780218798856,0.4023358840112767,2.4854854854854853,0.03452243905901437,14.04,8.96,1.5693373015873022,0.3895652173913044,0.1709731595866026,0.00947714301674868,0.24195302184775874,0.2422857498808837,0.2860463558951169
graph_2_3_node_399,32,0.3793103448275862,0.0017850652741425524,0.384526558891455,2.6006006006006004,0.025786289737799853,23.018,8.982000000000001,2.5646984126984136,0.2806875,0.27520705128205136,0.009303023585105551,0.16326889952153106,0.16361241940756174,0.6736096153846153
graph_2_4_node_35,37,0.2882882882882883,0.0029737148232502567,0.3967434471803018,2.5205205205205203,0.0326054788939553,26.006999999999998,10.993,2.3661404040404044,0.2971081081081081,0.2681093756967138,0.011477768512539626,0.17447583180708176,0.17490519585562572,0.6584005739185014
graph_3_5_node_390,34,0.21746880570409985,0.002118442803114305,0.404126213592233,2.4744744744744747,0.03737744478770198,19.043,14.957,1.2740021978021974,0.4399117647058825,0.5405327113782198,0.01539578465515538,0.2820101645384665,0.2825726928227274,0.7223505408842448
graph_2_5_node_160,18,0.38333333333333336,0.0007935658434941869,0.3583213773314204,2.790790790790791,0.005937501693561257,13.0,5.0,2.600000000000001,0.2777777777777778,0.31234375,0.005081384801451321,0.16129032258064516,0.1614836788589235,0.749625
