,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_5_node_602,25,0.2134387351778656,0.002145395837502009,0.3784090909090909,2.6426426426426426,0.01235441028153973,15.0,10.0,1.5,0.4000000000000001,0.3441107182583825,0.010300042692120872,0.25,0.2503866976024748,0.4817550055617351
graph_2_5_node_487,36,0.3333333333333333,0.002457007483161825,0.39222614840989395,2.5495495495495497,0.028982109648952308,26.008000000000003,9.992,2.6034000000000006,0.2775555555555556,0.26083643165841874,0.010391896189742893,0.16114400921658986,0.16153072676038954,0.6525348720616143
graph_2_5_node_798,32,0.3586206896551724,0.0019333249040219176,0.3839354342813221,2.6046046046046047,0.013555443510896437,24.346,7.654,3.197714285714285,0.2391875,0.1891010977312123,0.007980552722795702,0.13591979949874686,0.1362160178123924,0.5647833060792465
graph_2_5_node_103,23,0.31620553359683795,0.0016263110444416698,0.375,2.6666666666666665,0.012740833279325604,14.008,8.992,1.5581111111111112,0.3909565217391304,0.44171942872885256,0.009184804388247866,0.2429815078236132,0.2433292131492063,0.7364827358246833
graph_2_5_node_879,22,0.3073593073593073,0.0012635440051946122,0.3710995542347697,2.694694694694695,0.015038619372131225,14.0,8.0,1.75,0.3636363636363637,0.296140350877193,0.00822225540276762,0.2222222222222223,0.2225315803042021,0.5552631578947368
graph_2_5_node_258,29,0.29064039408866993,0.0015301711169300072,0.384526558891455,2.6006006006006004,0.030047125994300167,22.000999999999998,6.999,3.14354761904762,0.24134482758620684,0.14216145082021353,0.007362579555471462,0.1372330316742081,0.13750385939144666,0.4671475447584794
graph_2_5_node_218,17,0.375,0.0009269762505923904,0.3545067423704755,2.8208208208208214,0.0045906847857659205,12.0,5.0,2.399999999999999,0.29411764705882354,0.3017665816326531,0.005087196695740975,0.17241379310344834,0.17260713442822295,0.7845931122448979
graph_2_5_node_966,16,0.18333333333333326,0.001070508297895872,0.3601297764960346,2.7767767767767766,0.008239931807029002,11.0,5.0,2.2,0.3125,0.10869565217391304,0.005241090146750523,0.1851851851851852,0.1853785115587691,0.2391304347826088
graph_2_5_node_248,15,0.1238095238095238,0.0009646417732341547,0.35678571428571426,2.8028028028028027,0.006165548554543961,7.002999999999999,7.997000000000001,0.8758035714285713,0.5331333333333332,0.17384782608695645,0.008382599580712793,0.3634584980237154,0.3637675728646815,0.1739130434782608
graph_2_5_node_948,16,0.3083333333333333,0.0008761497674892496,0.3566583363084613,2.803803803803804,0.006655946429336211,10.0,6.0,1.666666666666667,0.375,0.1967436155871644,0.006243806300387404,0.2307692307692308,0.23100119551059006,0.36069662857646795
graph_2_5_node_995,18,0.31666666666666665,0.0010045465441133397,0.3580645161290323,2.7927927927927927,0.008182079515235868,13.0,5.0,2.600000000000001,0.2777777777777778,0.16395301298930368,0.005203171916989504,0.16129032258064516,0.1614836788589235,0.3934872311743288
graph_2_5_node_885,20,0.14736842105263154,0.001608075934881209,0.3694526627218935,2.7067067067067065,0.010228603502087331,10.001,9.999,1.000222222222222,0.49995,0.34445739728252056,0.01029834048709392,0.3332903225806451,0.3336768320914222,0.3789172395748751
