,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_4_node_673,24,0.22826086956521735,0.0019011891716584066,0.3811522319725296,2.623623623623624,0.020802731240030414,14.004000000000001,9.996,1.4011999999999998,0.4165,0.4160602951039571,0.010242623396721615,0.26303157894736834,0.26342165167612336,0.624204124748491
graph_2_4_node_109,23,0.383399209486166,0.0014777482530868168,0.3680913780397936,2.716716716716717,0.011547269473349064,16.000999999999998,6.999,2.286261904761904,0.304304347826087,0.34974090909090905,0.007142138268583668,0.17945769230769226,0.17973088801020548,0.8494075757575755
graph_2_4_node_781,20,0.4509803921568628,0.0006972525272150949,0.3535031847133758,2.8288288288288284,0.007342618852882966,16.006,3.9939999999999998,4.03,0.1997,0.2216529581529582,0.004067525541017757,0.110940170940171,0.11109608914375206,0.8317554112554113
graph_2_4_node_150,19,0.18382352941176472,0.0009725564221709,0.37192851824274015,2.6886886886886887,0.014715555250236285,11.002,7.997999999999999,1.3756785714285715,0.4209473684210525,0.3328652582159624,0.008195389734426494,0.2665849462365591,0.26689700248466264,0.41611703554661306
graph_2_4_node_401,40,0.3807692307692308,0.0026489809887575585,0.3964285714285714,2.5225225225225225,0.06430241059744078,31.000999999999998,8.999,3.444999999999999,0.2249750000000001,0.20356526722797624,0.009416489190995114,0.12674491392801254,0.12709656102808442,0.7238489194925743
graph_2_4_node_166,52,0.2604081632653061,0.004996308525669283,0.4215189873417722,2.3723723723723724,0.1140090772745838,35.004,16.996,2.059670168067227,0.32684615384615384,0.3607924707973944,0.01783748676842846,0.1953488679902473,0.1960130079926394,0.7217261622149744
graph_2_4_node_968,22,0.5108225108225108,0.0006300936360836029,0.374578177727784,2.66966966966967,0.06209451388979202,18.0,4.0,4.5,0.18181818181818185,0.0849047079572542,0.004198076063241753,0.10000000000000002,0.1001561767921287,0.4032973627969574
graph_2_4_node_875,16,0.4916666666666666,0.0005111692794377707,0.3537535410764873,2.8268268268268266,0.009177199019141631,12.002,3.998,3.0039999999999996,0.249875,0.1989068513923352,0.004089645179114328,0.14278095238095234,0.14293697800023192,0.6465889336917562
graph_2_4_node_796,18,0.45,0.0005837382746219107,0.35501066098081024,2.8168168168168166,0.008976481383019494,14.0,4.0,3.5,0.2222222222222223,0.2498452380952381,0.0040651509751005645,0.125,0.12515612802498047,0.8119970238095239
graph_2_4_node_867,20,0.3790849673202614,0.0009105592242229086,0.3583213773314204,2.790790790790791,0.007938591541573317,14.001,5.999,2.334,0.29994999999999994,0.3747440476190476,0.006096682621314732,0.1764369747899159,0.1766711095407357,0.8120208333333333
