,Stability
graph_3_4_node_293,0
graph_3_4_node_800,0
graph_3_4_node_542,0
graph_3_4_node_827,0
graph_3_4_node_628,1
graph_3_4_node_574,0
graph_3_4_node_825,0
graph_3_4_node_441,1
graph_3_4_node_677,0
graph_3_4_node_445,0
graph_3_4_node_903,1
graph_3_4_node_772,1
graph_3_4_node_607,0
graph_3_4_node_101,0
graph_3_4_node_53,1
graph_3_4_node_14,0
graph_3_4_node_267,1
graph_3_4_node_964,0
graph_3_4_node_641,1
graph_3_4_node_922,0
graph_3_4_node_955,0
graph_3_4_node_659,0
graph_3_4_node_446,1
graph_3_4_node_136,1
graph_3_4_node_925,1
graph_3_4_node_139,1
graph_3_4_node_325,0
graph_3_4_node_794,1
graph_3_4_node_919,0
graph_3_4_node_965,1
graph_3_4_node_193,0
graph_3_4_node_802,1
graph_3_4_node_188,1
graph_3_4_node_693,0
graph_3_4_node_120,1
graph_3_4_node_41,0
graph_3_4_node_581,1
graph_3_4_node_701,0
graph_3_4_node_636,0
graph_3_4_node_844,0
graph_3_4_node_863,1
graph_3_4_node_985,1
graph_3_4_node_950,0
graph_3_4_node_82,0
graph_3_4_node_46,1
graph_3_4_node_117,0
graph_3_4_node_717,1
graph_3_4_node_219,1
graph_3_4_node_429,0
graph_3_4_node_142,1
graph_3_4_node_147,0
graph_3_4_node_490,1
graph_3_4_node_283,1
graph_3_4_node_315,0
graph_3_4_node_619,0
graph_3_4_node_738,1
graph_3_4_node_271,1
graph_3_4_node_377,1
graph_3_4_node_688,0
graph_3_4_node_624,0
graph_3_4_node_864,1
graph_3_4_node_173,0
graph_3_4_node_905,0
graph_3_4_node_387,0
graph_3_4_node_669,0
graph_3_4_node_282,0
graph_3_4_node_883,1
graph_3_4_node_897,1
graph_3_4_node_849,0
graph_3_4_node_762,1
graph_3_4_node_308,0
graph_3_4_node_582,1
graph_3_4_node_618,0
graph_3_4_node_395,0
graph_3_4_node_613,0
graph_3_4_node_341,1
graph_3_4_node_110,1
graph_3_4_node_224,0
graph_3_4_node_759,0
graph_3_4_node_198,0
graph_3_4_node_569,0
graph_3_4_node_675,0
graph_3_4_node_379,1
graph_3_4_node_215,0
graph_3_4_node_911,1
graph_3_4_node_245,1
graph_3_4_node_498,0
graph_3_4_node_893,1
graph_3_4_node_417,0
graph_3_4_node_973,1
graph_3_4_node_536,1
graph_3_4_node_151,0
graph_3_4_node_456,1
graph_3_4_node_393,1
graph_3_4_node_944,1
graph_3_4_node_541,0
graph_3_4_node_895,1
graph_3_4_node_673,0
graph_3_4_node_609,0
graph_3_4_node_703,1
graph_3_4_node_31,1
graph_3_4_node_453,1
graph_3_4_node_378,0
graph_3_4_node_945,1
graph_3_4_node_324,0
graph_3_4_node_901,0
graph_3_4_node_97,0
graph_3_4_node_510,1
graph_3_4_node_712,0
graph_3_4_node_778,0
graph_3_4_node_721,0
graph_3_4_node_261,0
graph_3_4_node_382,1
graph_3_4_node_817,0
graph_3_4_node_289,0
graph_3_4_node_184,1
graph_3_4_node_865,1
graph_3_4_node_592,0
graph_3_4_node_81,0
graph_3_4_node_988,0
graph_3_4_node_99,1
graph_3_4_node_10,0
graph_3_4_node_550,1
graph_3_4_node_723,1
graph_3_4_node_179,0
graph_3_4_node_29,0
graph_3_4_node_900,0
graph_3_4_node_396,1
graph_3_4_node_186,0
graph_3_4_node_22,0
graph_3_4_node_868,0
graph_3_4_node_401,0
graph_3_4_node_488,1
graph_3_4_node_653,1
graph_3_4_node_423,0
graph_3_4_node_839,0
graph_3_4_node_389,1
graph_3_4_node_64,1
graph_3_4_node_898,1
graph_3_4_node_336,0
graph_3_4_node_172,0
graph_3_4_node_507,0
graph_3_4_node_651,1
graph_3_4_node_74,0
graph_3_4_node_590,1
graph_3_4_node_450,1
graph_3_4_node_78,0
graph_3_4_node_534,0
graph_3_4_node_73,0
graph_3_4_node_593,0
graph_3_4_node_708,0
graph_3_4_node_667,0
graph_3_4_node_402,0
graph_3_4_node_540,0
graph_3_4_node_469,1
graph_3_4_node_108,0
graph_3_4_node_908,1
graph_3_4_node_343,1
graph_3_4_node_301,1
graph_3_4_node_310,1
graph_3_4_node_166,0
graph_3_4_node_246,0
graph_3_4_node_535,0
graph_3_4_node_622,0
graph_3_4_node_499,1
graph_3_4_node_455,1
graph_3_4_node_506,0
graph_3_4_node_39,0
graph_3_4_node_521,1
graph_3_4_node_733,1
graph_3_4_node_999,0
graph_3_4_node_493,1
graph_3_4_node_134,0
graph_3_4_node_274,0
graph_3_4_node_724,0
graph_3_4_node_962,1
graph_3_4_node_842,1
graph_3_4_node_33,0
graph_3_4_node_86,0
graph_3_4_node_711,1
graph_3_4_node_545,1
graph_3_4_node_409,1
graph_3_4_node_156,0
graph_3_4_node_647,0
graph_3_4_node_912,1
graph_3_4_node_568,1
graph_3_4_node_714,0
graph_3_4_node_828,1
graph_3_4_node_735,0
graph_3_4_node_50,1
