,Stability
graph_3_2_node_41,0
graph_3_2_node_859,0
graph_3_2_node_541,0
graph_3_2_node_260,0
graph_3_2_node_648,1
graph_3_2_node_298,1
graph_3_2_node_694,0
graph_3_2_node_434,0
graph_3_2_node_768,1
graph_3_2_node_251,0
graph_3_2_node_211,1
graph_3_2_node_929,0
graph_3_2_node_198,0
graph_3_2_node_802,1
graph_3_2_node_613,0
graph_3_2_node_186,1
graph_3_2_node_126,1
graph_3_2_node_706,0
graph_3_2_node_231,1
graph_3_2_node_448,0
graph_3_2_node_478,1
graph_3_2_node_730,0
graph_3_2_node_436,1
graph_3_2_node_770,1
graph_3_2_node_413,1
graph_3_2_node_122,1
graph_3_2_node_16,0
graph_3_2_node_202,1
graph_3_2_node_12,1
graph_3_2_node_737,1
graph_3_2_node_276,1
graph_3_2_node_895,1
graph_3_2_node_682,0
graph_3_2_node_674,0
graph_3_2_node_242,1
graph_3_2_node_430,0
graph_3_2_node_753,0
graph_3_2_node_373,1
graph_3_2_node_386,1
graph_3_2_node_376,1
graph_3_2_node_151,0
graph_3_2_node_658,1
graph_3_2_node_72,1
graph_3_2_node_890,1
graph_3_2_node_21,1
graph_3_2_node_214,1
graph_3_2_node_614,0
graph_3_2_node_888,0
graph_3_2_node_246,0
graph_3_2_node_343,1
graph_3_2_node_782,0
graph_3_2_node_784,1
graph_3_2_node_17,0
graph_3_2_node_963,1
graph_3_2_node_418,1
graph_3_2_node_532,1
graph_3_2_node_625,1
graph_3_2_node_750,0
graph_3_2_node_265,1
graph_3_2_node_390,1
graph_3_2_node_417,1
graph_3_2_node_79,0
graph_3_2_node_780,1
graph_3_2_node_459,0
graph_3_2_node_686,1
graph_3_2_node_451,1
graph_3_2_node_530,1
graph_3_2_node_643,0
graph_3_2_node_429,0
graph_3_2_node_823,1
graph_3_2_node_241,1
graph_3_2_node_339,1
graph_3_2_node_508,0
graph_3_2_node_425,1
graph_3_2_node_779,1
graph_3_2_node_861,1
graph_3_2_node_75,1
graph_3_2_node_681,0
graph_3_2_node_489,0
graph_3_2_node_916,1
graph_3_2_node_844,0
graph_3_2_node_982,1
graph_3_2_node_463,1
graph_3_2_node_351,0
graph_3_2_node_64,1
graph_3_2_node_358,0
graph_3_2_node_687,0
graph_3_2_node_73,0
graph_3_2_node_194,0
graph_3_2_node_57,0
graph_3_2_node_875,1
graph_3_2_node_702,1
graph_3_2_node_274,0
graph_3_2_node_791,0
graph_3_2_node_170,1
graph_3_2_node_81,0
graph_3_2_node_391,1
graph_3_2_node_439,1
graph_3_2_node_899,1
graph_3_2_node_477,0
graph_3_2_node_34,1
graph_3_2_node_995,1
graph_3_2_node_48,1
graph_3_2_node_296,1
graph_3_2_node_297,0
graph_3_2_node_989,0
graph_3_2_node_22,0
graph_3_2_node_421,1
graph_3_2_node_215,0
graph_3_2_node_683,1
graph_3_2_node_85,1
graph_3_2_node_881,1
graph_3_2_node_586,1
graph_3_2_node_236,1
graph_3_2_node_795,1
graph_3_2_node_279,0
graph_3_2_node_990,0
graph_3_2_node_562,0
graph_3_2_node_617,0
graph_3_2_node_745,0
graph_3_2_node_311,1
graph_3_2_node_764,1
graph_3_2_node_121,1
graph_3_2_node_283,1
graph_3_2_node_940,1
graph_3_2_node_987,0
graph_3_2_node_133,1
graph_3_2_node_964,1
graph_3_2_node_938,1
graph_3_2_node_847,0
graph_3_2_node_74,0
graph_3_2_node_174,1
graph_3_2_node_704,0
graph_3_2_node_375,0
graph_3_2_node_705,1
graph_3_2_node_306,1
graph_3_2_node_575,0
graph_3_2_node_116,1
graph_3_2_node_751,0
graph_3_2_node_651,1
graph_3_2_node_134,0
graph_3_2_node_54,1
graph_3_2_node_619,0
graph_3_2_node_277,1
graph_3_2_node_32,0
graph_3_2_node_685,0
graph_3_2_node_323,1
graph_3_2_node_453,1
graph_3_2_node_472,1
graph_3_2_node_446,1
graph_3_2_node_239,1
graph_3_2_node_965,1
graph_3_2_node_627,0
graph_3_2_node_915,0
graph_3_2_node_610,0
graph_3_2_node_208,1
graph_3_2_node_381,0
graph_3_2_node_754,1
graph_3_2_node_49,0
graph_3_2_node_967,0
graph_3_2_node_543,1
graph_3_2_node_148,0
graph_3_2_node_811,1
graph_3_2_node_427,1
graph_3_2_node_27,1
graph_3_2_node_293,1
graph_3_2_node_143,1
graph_3_2_node_581,1
graph_3_2_node_908,1
graph_3_2_node_132,0
graph_3_2_node_761,1
graph_3_2_node_442,0
graph_3_2_node_481,1
graph_3_2_node_13,1
graph_3_2_node_120,1
graph_3_2_node_590,1
graph_3_2_node_192,1
graph_3_2_node_431,1
graph_3_2_node_977,0
