,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_3_2_node_742,23,0.0761904761904762,0.001222078395205646,0.39161113288906313,2.5535535535535536,0.023518546002756963,8.085,14.915,0.5426597069597069,0.6484782608695654,0.792799077239766,0.0152152487801795,0.4799322458455525,0.4804844740647014,0.37100592655384446
graph_3_2_node_363,24,0.23550724637681159,0.0010753668372831615,0.39454976303317535,2.5345345345345347,0.028507045515558542,12.024,11.976,1.0045454545454544,0.499,0.4829794179770656,0.012294801981098185,0.33247795163584637,0.3329215410953873,0.523737488995107
graph_3_1_node_750,19,0.04093567251461988,0.001051218872045231,0.38571428571428573,2.5925925925925926,0.019523104111725007,5.016,13.984,0.3588131868131867,0.7359999999999998,0.3380157113422972,0.01459231049764064,0.58232,0.5828417140457661,0.14500034654315663
graph_3_3_node_209,26,0.10507246376811594,0.001725775164995349,0.39161113288906313,2.5535535535535536,0.022315328628519523,10.016,15.984,0.6267333333333334,0.6147692307692305,1.048125939769043,0.01623811593040702,0.44381981981981994,0.44442490867730394,0.5898260549795031
graph_3_4_node_105,22,0.1645021645021645,0.001249334629498044,0.3858632676709154,2.5915915915915915,0.018220963428662813,11.869,10.131,1.1737999999999997,0.46049999999999985,0.3274522526512635,0.010455119921871446,0.2992549019607843,0.2996307028235071,0.3878012844172141
graph_3_4_node_231,27,0.1623931623931624,0.0014951601620322487,0.404126213592233,2.4744744744744747,0.03128623583366531,14.007,12.993,1.0781346153846152,0.4812222222222224,0.38998469469388874,0.013445158630223065,0.3168536585365853,0.3173356487190708,0.45015174969516364
graph_3_5_node_962,30,0.08505747126436781,0.002111467599009256,0.40775510204081633,2.4524524524524525,0.033888204749241084,14.01,15.99,0.8763035714285713,0.5329999999999999,0.3486796589062237,0.016768997145419604,0.36333728590250325,0.3639384143327102,0.32705277281297146
graph_3_1_node_263,50,0.18971631205673758,0.003980283037827905,0.4300473525613431,2.325325325325325,0.07212822752832064,32.975,17.025,1.937091503267974,0.34049999999999997,0.30916529204006427,0.018022421620748248,0.2051866000587716,0.2058230229790459,0.563185951972104
graph_3_4_node_891,31,0.1053763440860215,0.0022911389908338397,0.40056134723336007,2.4964964964964964,0.027800377807123338,14.008,16.992,0.8245052170868348,0.5481290322580646,0.44629536434212597,0.017668238454456465,0.37754318275259546,0.3781734269332828,0.3939489826851158
graph_3_5_node_938,16,0.06666666666666667,0.0007800213367492277,0.3702742772424018,2.700700700700701,0.012619223469670579,7.108,8.892,0.8102158730158732,0.55575,0.20584532497444571,0.00933503624038287,0.38592410256410253,0.3862583025369821,0.18018825409656183
