,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_3_node_542,21,0.2761904761904762,0.0013913071628998026,0.37303958177744573,2.6806806806806813,0.012516869435061143,13.0,8.0,1.625,0.3809523809523811,0.3997176470588236,0.008163685731803453,0.23529411764705885,0.2355998579206964,0.6995058823529411
graph_2_3_node_149,20,0.22105263157894736,0.0014837460476230019,0.3691796008869179,2.7087087087087087,0.011151956886748028,12.0,8.0,1.5,0.4000000000000001,0.3809523809523811,0.008171603677221655,0.25,0.250305716906145,0.6190476190476188
graph_2_3_node_90,20,0.2875816993464052,0.0011465100645340564,0.3649981731823164,2.7397397397397403,0.009098533897691498,13.0,7.0,1.8571428571428577,0.3499999999999999,0.4371853070175439,0.007114130434782606,0.21212121212121207,0.2123887450850952,0.7494605263157895
graph_2_2_node_139,39,0.2147147147147147,0.00341788918185442,0.3911511354737666,2.5565565565565564,0.02154797519665085,27.002,11.998,2.250590909090909,0.3076410256410256,0.3862460883490992,0.012383387374942248,0.18178290366350067,0.18224629013613106,0.836958312195995
graph_2_5_node_790,31,0.33978494623655914,0.00195514384463545,0.3863109048723898,2.5885885885885886,0.01873705080278714,22.0,9.0,2.4444444444444438,0.29032258064516125,0.2994173257819874,0.009279308687722363,0.16981132075471705,0.1701595505864059,0.7651776103317459
graph_2_1_node_519,23,0.18181818181818185,0.0017873338520177048,0.3851195065535852,2.5965965965965965,0.012335725381362123,12.001,10.999,1.0911181818181812,0.4782173913043479,0.2683810975609757,0.011469249769863313,0.3142492063492062,0.3146664199113232,0.31721402439024393
graph_2_2_node_879,48,0.3314009661835749,0.004003096111329596,0.4092585006145023,2.443443443443444,0.06631270830345708,34.004,13.995999999999999,2.4297142857142853,0.29158333333333336,0.3680371517027863,0.014549659596869897,0.17067595818815331,0.17121676211262915,0.8677136222910216
graph_2_3_node_106,32,0.2963709677419355,0.002854238190893553,0.3920722135007849,2.5505505505505504,0.023589472938947142,22.0,10.0,2.2,0.3125,0.33321276595744675,0.010309462251598315,0.1851851851851852,0.1855675943630054,0.7663893617021279
graph_2_3_node_443,42,0.2743589743589744,0.003768081740369185,0.40478119935170176,2.4704704704704703,0.03617414520807107,30.000999999999998,11.999,2.5003181818181814,0.2856904761904761,0.3149688061840052,0.012475625910653263,0.1666506849315068,0.16710978354119352,0.7612077199675105
graph_2_3_node_927,16,0.325,0.0007963202506538361,0.3627450980392157,2.756756756756757,0.010780408165823737,10.0,6.0,1.666666666666667,0.375,0.3577676740780189,0.00611528264167437,0.2307692307692308,0.23099850092589866,0.6559074024763681
graph_2_3_node_449,18,0.475,0.0005109871485522472,0.352629721143664,2.8358358358358364,0.0095603290183944,14.0,4.0,3.5,0.2222222222222223,0.25,0.0040650406504065045,0.125,0.12515290519877675,0.8125
graph_2_5_node_406,43,0.2868217054263566,0.0035060589544868453,0.4026602176541717,2.483483483483484,0.03958309796780358,33.005,9.995,3.3025083333333325,0.2324418604651163,0.20303628974188934,0.01051412890875754,0.1315058450321608,0.13189288828634874,0.6906098768836235
graph_2_2_node_999,16,0.3,0.0006616404906178824,0.35526315789473684,2.814814814814815,0.009360507242136877,10.0,6.0,1.666666666666667,0.375,0.17142857142857135,0.006217616580310879,0.2307692307692308,0.23100071225071214,0.3142857142857142
