,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_1_node_368,38,0.050793650793650794,0.003018384963682739,0.42098609355246525,2.3753753753753752,0.03547286834811418,14.361,23.639,0.6097223579319232,0.6220789473684212,0.7731672156659382,0.02445771138785242,0.4518441941369356,0.45272313041539464,0.3934908761814755
graph_4_2_node_944,30,0.13756613756613756,0.001423505247634471,0.40314769975786924,2.4804804804804803,0.031485906324437506,15.082,14.918,1.011912087912088,0.49726666666666663,0.3476688849406535,0.015679658345814987,0.3309676225716929,0.3315215202394172,0.3271369377461732
graph_4_3_node_534,28,0.082010582010582,0.0018756120344133624,0.4046172539489672,2.4714714714714714,0.0248431516591973,10.818,17.182,0.6321923116615067,0.6136428571428572,0.6228165523545833,0.01770759748108317,0.443120714137659,0.4437486737431097,0.42048730823602165
graph_4_1_node_310,21,0.03333333333333333,0.0009628417454212066,0.39161113288906313,2.5535535535535536,0.02185911153035573,5.014,15.986,0.3220686085972851,0.7612380952380953,0.2987487727623087,0.016932250824024497,0.6180532007073385,0.6186473378845921,0.05515393556208903
graph_4_3_node_326,19,0.08187134502923976,0.0007955214432321064,0.3842307692307692,2.6026026026026026,0.01804989052543757,6.017,12.983,0.463866588966589,0.6833157894736842,0.2710142182687136,0.013653013774206767,0.519047202784444,0.51952160700028,0.14617280234371796
graph_4_4_node_862,24,0.06521739130434782,0.001244284947740328,0.4059325477448192,2.4634634634634636,0.02837960088171408,8.351,15.649,0.538590756302521,0.6520416666666667,0.29857335659082235,0.016543868385568882,0.48490848714852497,0.48549198912891445,0.15413505697740704
graph_4_5_node_665,18,0.0784313725490196,0.0006591572351878277,0.38571428571428573,2.5925925925925926,0.018273482547398214,7.725,10.275,0.755218181818182,0.5708333333333333,0.1746391129395206,0.011013773057146412,0.39987076923076936,0.40024290505286253,0.14064162517638162
graph_4_2_node_577,37,0.11411411411411411,0.0025041329217010523,0.4186923721709975,2.3883883883883885,0.04443673657398567,19.818,17.182,1.155517740429505,0.4643783783783785,0.3676672721141916,0.018067279359089864,0.3025169472483078,0.30315507613765735,0.44267942463810833
graph_4_5_node_639,26,0.11076923076923077,0.0011387835876769724,0.4034733441033926,2.4784784784784786,0.028235140873454037,10.101,15.899,0.6365833333333334,0.6114999999999998,0.7957852935543724,0.016276425875570835,0.44058008534850657,0.44115589138055494,0.5486848996214407
graph_4_3_node_266,15,0.0380952380952381,0.0005059634107468369,0.38261202604366146,2.6136136136136137,0.01682904655895331,3.824,11.176,0.34525116550116547,0.7450666666666664,0.25850808002956444,0.011713803825688977,0.5951651923927467,0.5955735284952655,0.06756941925839337
graph_4_2_node_40,16,0.016666666666666666,0.0005828583684302981,0.3791271347248577,2.6376376376376376,0.01668043970506961,2.334,13.666,0.1729017649017649,0.854125,0.3083013272876603,0.014374081187820227,0.7469540517961571,0.7474610060592366,6.224712107065048e-05
graph_4_2_node_241,36,0.09682539682539683,0.0022668559917596084,0.4220532319391635,2.369369369369369,0.04438266504545991,15.07,20.93,0.7204240601503757,0.5813888888888888,0.510005578111132,0.02185681078187004,0.40987950710037285,0.41065645325987465,0.38998407711615785
