,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_4_node_39,9,0.3888888888888889,0.004198683483160823,0.3540925266903915,2.8241206030150754,0.12625009383559285,7.0,2.0,3.5,0.2222222222222223,0.08339027870680045,0.01136312107465234,0.125,0.12621506682867561,0.3335611148272018
graph_2_2_node_161,6,0.26666666666666666,0.00503635004100034,0.3651376146788991,2.7386934673366836,0.06756622712842031,5.0,1.0,5.0,0.16666666666666663,0.03326163413894226,0.005884687062998838,0.09090909090909091,0.09151332051634165,0.19956980483365358
graph_3_1_node_176,4,0.0,0.002952808159073326,0.3390119250425894,2.949748743718593,0.027241542199853794,1.93,2.07,0.9906666666666666,0.5175,0.10527226271344796,0.012145891698655008,0.3541333333333333,0.35541080772220623,0.0
graph_2_2_node_41,8,0.10714285714285714,0.0077127011037065015,0.36247723132969034,2.758793969849246,0.05481387967967292,5.0,3.0,1.666666666666667,0.375,0.09712428998590704,0.017740703180883957,0.2307692307692308,0.2325797316744813,0.16187381664317843
graph_4_4_node_45,5,0.1,0.0033956838075142365,0.36446886446886445,2.7437185929648242,0.055820141760548114,1.806,3.194,0.6726666666666666,0.6387999999999999,0.25510991116071274,0.01743826824896361,0.48506746031746034,0.48708123264991354,0.06233826196575842
graph_2_1_node_135,6,0.2,0.003738039543955486,0.35159010600706714,2.8442211055276383,0.03400391490335843,4.0,2.0,2.0,0.33333333333333326,0.08705068803981846,0.011297983048979424,0.20000000000000004,0.20118906064209285,0.1741013760796369
graph_4_5_node_134,8,0.10714285714285714,0.005008926152573199,0.36313868613138683,2.7537688442211055,0.05448703417217033,4.366,3.634,2.0209333333333332,0.45425,0.3101763707582431,0.019727238502356387,0.3187131535131535,0.32097101740564665,0.20869895549475875
graph_3_5_node_18,10,0.08888888888888889,0.00987991664518216,0.38715953307393,2.5829145728643215,0.0933170340766645,5.013,4.987,1.0068333333333335,0.4987,0.22886515835600277,0.028024550166002502,0.3322598039215686,0.3350599635967876,0.2292218331852386
graph_3_1_node_111,6,0.13333333333333333,0.005160316882372019,0.3692022263450835,2.708542713567839,0.0605678486595525,2.095,3.905,0.5615,0.6508333333333333,0.22546378822337698,0.02212728215913554,0.48732857142857144,0.48973626689926286,0.13181038247366048
graph_2_2_node_103,7,0.09523809523809523,0.007119606457696546,0.34429065743944637,2.9045226130653266,0.03292302849038712,3.997,3.003,1.3326333333333331,0.429,0.10716678829142677,0.01746205214812766,0.27318686868686853,0.27499697573156573,0.14240016216634677
graph_2_4_node_122,8,0.17857142857142858,0.008147989370474918,0.35663082437275984,2.8040201005025125,0.07935126219926564,5.0,3.0,1.666666666666667,0.375,0.12510602564102563,0.017044296778472447,0.2307692307692308,0.2325863113264689,0.25021205128205126
graph_1_4_node_5,12,0.35555555555555557,0.01260928372976085,0.34973637961335674,2.85929648241206,0.0933432098766373,11.0,1.0,11.0,0.08333333333333331,0.04166666666666666,0.005681818181818182,0.0434782608695652,0.04411398877802041,0.41666666666666674
graph_2_2_node_10,5,0.0,0.002672725933018709,0.34429065743944637,2.9045226130653266,0.041006726339548195,3.001,1.999,1.5025,0.39980000000000004,0.0910412987012987,0.011228578303457469,0.24986111111111112,0.25106532906924417,0.0
graph_3_5_node_66,8,0.10714285714285714,0.006855695388102937,0.35855855855855856,2.7889447236180906,0.060233133301560604,5.054,2.946,1.738666666666667,0.36825,0.13023156141508316,0.01675453040899674,0.22602197802197804,0.2276780670789945,0.26525374314486794
graph_3_4_node_66,4,0.16666666666666666,0.0013852917497925068,0.3114241001564945,3.2110552763819094,0.016636912284259182,2.925,1.075,2.778666666666667,0.26875,0.09996725559138803,0.0058025603926705836,0.1616571428571428,0.1623427648109897,0.23899074736873854
graph_4_1_node_23,6,0.0,0.0015874040060128935,0.34973637961335674,2.85929648241206,0.032415457141769584,4.503,1.497,3.309,0.2495,0.11867860832635894,0.008329183222101409,0.15738181818181818,0.15824346883120516,0.0
graph_3_5_node_65,8,0.07142857142857142,0.0072915502960066245,0.37057728119180633,2.698492462311558,0.05761125956708893,5.028,2.972,1.7173333333333334,0.3715,0.13680028381652698,0.01668798221897646,0.22836630036630037,0.23003694552160361,0.18333937131009564
graph_1_3_node_22,7,0.14285714285714285,0.005723460645230812,0.3235772357723577,3.090452261306533,0.02682490375167427,6.0,1.0,6.0,0.1428571428571428,0.03448275862068966,0.005847953216374268,0.0769230769230769,0.07752152096855867,0.20689655172413793
graph_4_4_node_131,7,0.14285714285714285,0.00533882516391553,0.3592057761732852,2.7839195979899496,0.058578917591131985,2.577,4.423,0.6950166666666667,0.6318571428571428,0.5262912171205991,0.023602672086428245,0.47180233100233104,0.4745915336369779,0.3436660269840488
graph_2_3_node_103,4,0.0,0.0002626383365814576,0.2952522255192878,3.386934673366834,0.01605364646017283,3.0,1.0,3.0,0.25,0.041631666666666664,0.005682499999999999,0.1428571428571428,0.14343417690215152,0.0
graph_3_1_node_97,7,0.09523809523809523,0.008139906974370439,0.3864077669902913,2.5879396984924625,0.0716623380495389,2.991,4.009,0.7511666666666666,0.5727142857142855,0.22857248364956603,0.02225190472046318,0.40194797979797986,0.40442257670643833,0.05769013428260999
graph_1_2_node_107,5,0.2,0.00600634795827746,0.30474732006125577,3.2814070351758793,0.018735455147957606,4.0,1.0,4.0,0.20000000000000004,0.037037037037037035,0.0057803468208092465,0.11111111111111115,0.11175668890323508,0.14814814814814814
graph_1_4_node_163,8,0.13333333333333333,0.019689149124129224,0.342512908777969,2.919597989949749,0.07087761984792708,3.668,4.332,0.8722666666666666,0.5415,0.9633387096774193,0.024024443881909947,0.3739300699300699,0.3766525873298981,0.06483870967741936
graph_2_3_node_184,5,0.2,0.002259991847409255,0.3128930817610063,3.1959798994974875,0.021468725829528655,4.0,1.0,4.0,0.20000000000000004,0.03694674740329912,0.005783018188573274,0.11111111111111115,0.11168881186212204,0.14778698961319647
graph_1_1_node_82,7,0.2857142857142857,0.016486599102592946,0.314873417721519,3.1758793969849246,0.016585490188674216,5.0,2.0,2.5,0.2857142857142856,0.08333333333333331,0.011363636363636364,0.16666666666666663,0.16799645390070922,0.25
graph_3_4_node_97,5,0.0,0.0010532140529665836,0.30243161094224924,3.306532663316583,0.02190326052653377,3.757,1.243,3.3895,0.24860000000000004,0.10879477319736676,0.0068848004829196174,0.1449166666666667,0.14571031682641108,0.0
graph_3_3_node_108,6,0.06666666666666667,0.003663774465585582,0.35346358792184723,2.829145728643216,0.05131873901346812,3.958,2.042,1.982,0.34033333333333327,0.08083728060852988,0.011774931756816471,0.20643636363636367,0.2077188146769985,0.11492347134933244
graph_3_4_node_134,5,0.0,0.003282970987639136,0.32676518883415434,3.0603015075376883,0.029119998864229172,2.174,2.826,0.8391666666666665,0.5651999999999998,0.25010503530236833,0.01572669798818222,0.4010317460317461,0.40283087902423265,0.0
graph_4_5_node_144,7,0.1,0.0022242821472009404,0.34488734835355284,2.899497487437186,0.04169908624187743,4.818,2.182,2.703083333333333,0.31171428571428567,0.15941743408457404,0.011947987267394425,0.19296573426573424,0.19432440576212817,0.06882454738346057
graph_3_4_node_192,8,0.2,0.002771927667548781,0.35663082437275984,2.8040201005025125,0.0735835284241743,5.822,2.178,2.8536666666666664,0.27225,0.08614842935330164,0.012554770745614598,0.15936043956043955,0.1607539639958592,0.13978771345495272
graph_1_2_node_136,8,0.42857142857142855,0.007970292571209172,0.31587301587301586,3.1658291457286434,0.08068284630610024,7.0,1.0,7.0,0.125,0.03225806451612902,0.005917159763313611,0.06666666666666665,0.0673147548066537,0.25806451612903214
graph_1_2_node_22,7,0.0,0.014848411433283398,0.33671742808798644,2.969849246231156,0.050660572209568135,4.0,3.0,1.333333333333333,0.42857142857142855,0.11557384615384618,0.017237339901477838,0.2727272727272726,0.2746615087040619,0.0
graph_4_4_node_142,8,0.03571428571428571,0.007941557804160402,0.37832699619771865,2.64321608040201,0.07189981331107177,3.059,4.941,0.759752380952381,0.617625,0.3231180245360798,0.027771108894413296,0.45968720168720156,0.46280349350140554,0.01998108422669189
graph_1_2_node_118,5,0.1,0.005362807784971532,0.2875722543352601,3.477386934673367,0.010973361466458581,4.0,1.0,4.0,0.20000000000000004,0.037037037037037035,0.0057803468208092465,0.11111111111111115,0.11175668890323508,0.11111111111111115
