,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_4_node_54,30,0.19047619047619047,0.06262235916840506,0.37057728119180633,2.698492462311558,0.4072322440777135,26.443,3.557,8.070998626373626,0.1185666666666667,0.12648936477980616,0.020811803017823934,0.0639756232907939,0.06627547194006507,0.8528232977791562
graph_1_1_node_137,7,0.2857142857142857,0.004490591632671538,0.2913616398243045,3.4321608040201004,0.017438349158141426,6.947,0.053,6.89875,0.00757142857142857,0.0043104511385774,0.00028657890545858805,0.00482121212121212,0.0048563840418971325,0.22899672863233606
graph_3_4_node_21,6,0.2,0.006377376774549749,0.34912280701754383,2.864321608040201,0.03564087600337371,4.351,1.649,3.2705,0.2748333333333333,0.23234164133058555,0.009544918262789515,0.17671818181818186,0.1777700168649924,0.35883644615894944
graph_2_5_node_152,12,0.21212121212121213,0.01816566984361597,0.379047619047619,2.6381909547738696,0.15315300727908604,8.483,3.517,2.741714285714285,0.2930833333333333,0.08104718780299043,0.02357994377864267,0.17346164038321799,0.1756204953041447,0.19914702643534585
graph_2_3_node_53,8,0.21428571428571427,0.008925359917183366,0.36247723132969034,2.758793969849246,0.048604422612426035,4.845,3.155,1.6214000000000002,0.394375,0.14148375375668779,0.018335365691550854,0.24912400932400935,0.2509457636470794,0.22769899085536044
graph_1_1_node_165,6,0.13333333333333333,0.010573184632795144,0.2992481203007519,3.341708542713568,0.009589388163088575,4.88,1.12,4.7245,0.18666666666666662,0.06560483088946772,0.006228119200020354,0.10520303030303028,0.10594776211404965,0.19475137483992222
graph_4_3_node_153,11,0.05454545454545454,0.014943611793976068,0.3972055888223553,2.5175879396984926,0.10569696348919361,10.412,0.588,9.980815476190477,0.053454545454545456,0.031454656611944236,0.004318906674187561,0.038109074061473444,0.03846653457484209,0.039082906749172065
graph_1_5_node_139,9,0.2222222222222222,0.014630878972314245,0.30243161094224924,3.306532663316583,0.011080533832157277,6.004,2.996,2.56235,0.3328888888888889,0.3440962499051679,0.015961243833954707,0.21032173561732387,0.2120915578535155,0.5651127810595876
graph_3_2_node_71,4,0.0,0.0019025127854603193,0.33728813559322035,2.9648241206030153,0.04481307732482383,2.801,1.199,2.2966666666666664,0.29975,0.038220803183328274,0.008840508997760505,0.196,0.19670713208623922,0.0
graph_4_4_node_0,8,0.03571428571428571,0.007500450344849381,0.3540925266903915,2.8241206030150754,0.05346765443640623,7.672,0.328,7.416952380952382,0.041,0.024927562806162522,0.002277836573183393,0.027295149295149295,0.027502572340573815,0.02025000584780535
graph_4_4_node_24,9,0.05555555555555555,0.011181465515808165,0.3719626168224299,2.6884422110552766,0.06901472544093468,8.442,0.558,8.092692857142858,0.061999999999999986,0.033138072805591876,0.004027634346969655,0.04459140712228948,0.044943716834704,0.0353257013977276
graph_1_4_node_103,6,0.13333333333333333,0.00677674330690435,0.2943786982248521,3.3969849246231156,0.003649891766525722,4.427,1.573,3.5787,0.2621666666666666,0.14766928599948165,0.008552235383169855,0.15817792207792206,0.15916855668376462,0.26092987361184256
graph_2_5_node_102,4,0.0,0.0023677946006552043,0.31045241809672386,3.221105527638191,0.02122204621617456,2.18,1.82,1.4353333333333333,0.455,0.14266427545958643,0.011382549056763652,0.30859047619047625,0.30970011275404075,0.0
graph_1_3_node_174,8,0.4642857142857143,0.0021703122972368933,0.33558178752107926,2.979899497487437,0.13941435456793036,7.976,0.024,7.945,0.003,0.0018351190476190475,0.00012864349765394828,0.0017589743589743589,0.0017733198602186996,0.31086456539239476
