,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_2_node_2,7,0.38095238095238093,0.0032181926770211027,0.3075734157650695,3.251256281407035,0.10797571715678234,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326
graph_4_4_node_24,9,0.05555555555555555,0.011181465515808165,0.3719626168224299,2.6884422110552766,0.06901472544093468,3.162,5.838,0.6036607142857142,0.6486666666666666,0.2607660872110998,0.0334574526242464,0.48957402597402605,0.4932549260567647,0.13053005840546786
graph_4_1_node_61,8,0.03571428571428571,0.007214610039610129,0.3834296724470135,2.608040201005025,0.0513996237743119,3.511,4.489,0.8662285714285712,0.561125,0.27218175206719003,0.025327424252650013,0.39799533799533793,0.4005752537846305,0.02019032584657683
graph_3_1_node_177,5,0.1,0.004713126960381455,0.3579136690647482,2.7939698492462313,0.0530200565612,2.637,2.363,1.20125,0.4726,0.06660671005958949,0.014379580934034752,0.3149603174603175,0.31641950999076646,0.035284980426516815
graph_4_4_node_148,10,0.13333333333333333,0.01117487320997294,0.3797709923664122,2.6331658291457285,0.09872942775227309,5.496,4.504,1.3359880952380954,0.4504,0.1425372144583379,0.02696900563401933,0.2950833900361764,0.2979339282286804,0.1859988679812011
graph_2_3_node_33,19,0.09941520467836257,0.04095958363726018,0.40365111561866124,2.477386934673367,0.09613378239558054,11.864,7.136,1.6693793650793654,0.3755789473684209,0.33650725232052464,0.03991489991161157,0.23140860347476025,0.23555389802119145,0.5651254623713432
graph_4_1_node_152,6,0.06666666666666667,0.0029430424333085825,0.3618181818181818,2.763819095477387,0.04072273126029124,2.607,3.393,0.8212999999999999,0.5655,0.12353648690327593,0.019973869700338404,0.40238571428571424,0.4043351275649978,0.07425075790092543
graph_3_4_node_184,7,0.19047619047619047,0.005840382628612418,0.35855855855855856,2.7889447236180906,0.05015385949991103,4.837,2.163,2.9118333333333335,0.309,0.11036698729076795,0.012015144527591072,0.1887125874125874,0.19009429254182886,0.2651658569071671
graph_3_1_node_166,5,0.2,0.0022584018285696198,0.33614864864864863,2.9748743718592965,0.0340105562670968,3.808,1.192,3.534666666666667,0.23840000000000003,0.03270582994465002,0.007330641192575318,0.13863492063492067,0.1393725053659092,0.08176523755135545
graph_2_5_node_45,7,0.047619047619047616,0.006384231172313619,0.32730263157894735,3.0552763819095476,0.015698447442678076,4.939,2.061,2.4568333333333334,0.2944285714285713,0.05907916609365363,0.012508139372454274,0.17360629370629369,0.17486735683215998,0.0830258405159648
graph_4_5_node_108,21,0.04093567251461988,0.04122353393763887,0.4335511982570806,2.306532663316583,0.15127873722928892,10.593,10.407,1.053689656177156,0.49557142857142855,0.3562355493277436,0.06127748311342374,0.33194978771147066,0.33844705971948846,0.23152121405927203
graph_4_1_node_195,6,0.0,0.0029498994810776137,0.34851138353765326,2.869346733668342,0.034120062194975063,2.81,3.19,0.9395,0.5316666666666667,0.10862333704691145,0.019026679925279476,0.3680480519480519,0.3698815272550784,0.0
graph_2_2_node_18,11,0.08333333333333333,0.008607098243735335,0.3605072463768116,2.7738693467336684,0.047998793439343906,8.98,2.02,4.468833333333334,0.18363636363636363,0.0940236773382762,0.011323266131622238,0.1011964912280702,0.10242214009238933,0.23177878920390863
graph_3_3_node_159,4,0.0,0.00172914448571381,0.32463295269168024,3.080402010050251,0.025031286220324734,1.945,2.055,0.978,0.51375,0.07904152524363323,0.01185273581973043,0.34883809523809517,0.3501254694445205,0.0
graph_4_3_node_84,14,0.03296703296703297,0.02820948903168942,0.39959839357429716,2.5025125628140703,0.09133133496001362,4.925,9.075,0.5719166666666667,0.6482142857142857,0.4482103790799592,0.05163612598308174,0.48560560450378065,0.4911132852111243,0.18160404968513866
graph_1_5_node_183,10,0.15555555555555556,0.026400699922906785,0.3479020979020979,2.8743718592964824,0.0147503092594464,6.0,4.0,1.5,0.4000000000000001,0.14815384615384614,0.023121254401700878,0.25,0.2523640661938535,0.2592692307692307
graph_3_3_node_139,10,0.15555555555555556,0.012555422058929372,0.3664825046040516,2.728643216080402,0.06798477898376588,6.256,3.744,1.7145,0.37440000000000007,0.1362198660366682,0.021744440950699877,0.23121778711484592,0.2335734077667245,0.25352113409186544
graph_2_5_node_112,7,0.19047619047619047,0.0017556824236971064,0.33558178752107926,2.979899497487437,0.07477086226243962,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.16887143482406639
graph_4_4_node_162,5,0.0,0.003294635289794817,0.34488734835355284,2.899497487437186,0.0439240150400002,2.481,2.519,1.16375,0.5038,0.10187930357648622,0.014648530492213149,0.34888888888888886,0.35047903593553337,0.0
graph_1_3_node_108,13,0.3090909090909091,0.013420583597129608,0.332220367278798,3.0100502512562812,0.030286179108797485,12.0,1.0,12.0,0.0769230769230769,0.03846153846153845,0.005747126436781608,0.04,0.0406027727546715,0.4230769230769231
graph_1_5_node_28,10,0.08888888888888889,0.03207654171679298,0.36988847583643125,2.7035175879396984,0.0194279904019281,5.0,5.0,1.0,0.5,0.2380952380952381,0.02793296089385476,0.33333333333333326,0.336283185840708,0.2857142857142856
graph_2_4_node_24,11,0.2545454545454545,0.014785644736323591,0.34973637961335674,2.85929648241206,0.04662942453524743,9.002,1.998,4.511,0.18163636363636362,0.0995377995939703,0.011108485215026276,0.09989523809523812,0.1011120490944883,0.4482333966629942
graph_3_3_node_147,19,0.07352941176470588,0.03511799030513544,0.40365111561866124,2.477386934673367,0.12057898314459232,12.217,6.783,1.9252343795093796,0.357,0.26665743219495663,0.039106964788115664,0.2197082515090031,0.22399811023993105,0.33235122306139236
graph_3_5_node_53,11,0.10909090909090909,0.014025956864177146,0.3864077669902913,2.5879396984924625,0.07809661589120953,4.013,6.987,0.5913071428571427,0.6351818181818183,0.31403562316468514,0.039367392246000776,0.469090056022409,0.4730039282433679,0.181486690946701
graph_4_2_node_57,20,0.07368421052631578,0.028528230289223817,0.44124168514412415,2.2663316582914574,0.09950284664806698,9.057,10.943,0.8835714563214563,0.54715,0.4465002084157535,0.06355846758364535,0.38198580985962066,0.3876861283492889,0.3384236199532296
graph_2_1_node_129,10,0.1111111111111111,0.010531510167938064,0.3618181818181818,2.763819095477387,0.04707575537715081,7.983,2.017,3.975833333333333,0.20170000000000005,0.06743119813384323,0.011862284616155322,0.11228641456582637,0.11349124370302477,0.20027441086143158
graph_1_1_node_87,4,0.6666666666666666,0.0006532164834381346,0.30197268588770865,3.3115577889447234,0.1059075212890543,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15625
graph_1_4_node_26,5,0.3,0.009920329023507474,0.28798842257597684,3.472361809045226,0.0038807985128297222,4.0,1.0,4.0,0.20000000000000004,0.04166878787878787,0.0056817868086969205,0.11111111111111115,0.1117412308338584,0.16667515151515147
graph_4_1_node_30,9,0.1388888888888889,0.006185102310362187,0.3849129593810445,2.5979899497487438,0.07278920971711554,4.945,4.055,1.4261357142857143,0.45055555555555554,0.15055631932624963,0.023712693080719213,0.29822971440324386,0.300564224663669,0.14165064442272102
graph_3_5_node_133,4,0.0,0.001891380091130354,0.32569558101472995,3.07035175879397,0.0158422843328625,2.01,1.99,1.02,0.4975,0.08041673188922252,0.011368137474676479,0.33142857142857135,0.33254405172255647,0.0
graph_1_3_node_110,6,0.4666666666666667,0.0014472435369780325,0.30243161094224924,3.306532663316583,0.014036183447369207,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692
graph_4_2_node_58,6,0.13333333333333333,0.0025186797813882026,0.39250493096646943,2.5477386934673367,0.04429601029855397,2.47,3.53,0.7988,0.5883333333333334,0.14941902858925665,0.02041535108504064,0.42995324675324675,0.4317868873684424,0.0767094248791152
graph_2_4_node_162,13,0.11538461538461539,0.023052624944281907,0.3559928443649374,2.809045226130653,0.04119947013145908,9.98,3.02,3.3160000000000007,0.23230769230769238,0.14535590141761628,0.016859092543741135,0.13149071146245056,0.1333309505095785,0.5271710869961276
graph_4_3_node_114,13,0.05128205128205128,0.017952513627333425,0.4061224489795918,2.4623115577889445,0.12163040237666872,6.657,6.343,1.0985254689754689,0.487923076923077,0.23232567721287517,0.037046105059406476,0.32667667705942366,0.33054075359018636,0.1820991787725445
graph_3_5_node_124,7,0.14285714285714285,0.0060622262793961984,0.3692022263450835,2.708542713567839,0.06292815449789217,2.883,4.117,0.7099833333333333,0.5881428571428569,0.1634906073469366,0.02356689563869047,0.4183131313131314,0.4206203087484704,0.15442721176114196
graph_2_3_node_3,7,0.19047619047619047,0.006224062105868904,0.3479020979020979,2.8743718592964824,0.04204848570793258,5.003,1.997,2.5105,0.2852857142857142,0.08248820006080874,0.011361167022430263,0.16639743589743586,0.167551774169892,0.20651280784432965
graph_4_4_node_70,4,0.16666666666666666,0.0024004691752049865,0.3407534246575342,2.9346733668341707,0.04703530246925527,2.623,1.377,2.329,0.34425,0.059828559812757094,0.007936347024837273,0.2216095238095238,0.22247935217463607,0.08035195892352999
graph_1_2_node_132,11,0.16363636363636364,0.050855189685700825,0.3761814744801512,2.658291457286432,0.06756507356768168,7.0,4.0,1.75,0.36363636363636365,0.15441846153846148,0.02297628899835796,0.2222222222222223,0.2248095443438264,0.30883692307692295
graph_4_2_node_59,5,0.1,0.0013615126807280074,0.35855855855855856,2.7889447236180906,0.02903529624166193,2.83,2.17,1.6751666666666667,0.43400000000000005,0.08633435391263253,0.012728239784188838,0.28937301587301584,0.29050128174628004,0.09081170598636766
