,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_3_node_182,7,0.2,0.001738531621122703,0.3066255778120185,3.2613065326633164,0.02169331188678624,6.0,1.0,6.0,0.1428571428571428,0.03703703703703704,0.005780346820809249,0.0769230769230769,0.07750211571867624,0.14814814814814817
graph_4_1_node_115,20,0.06535947712418301,0.03522820029577668,0.44719101123595506,2.236180904522613,0.14802935292355862,19.0,1.0,19.0,0.04999999999999999,0.005555555555555555,0.04999999999999999,0.02564102564102564,0.026227535904955242,0.07222222222222219
graph_3_1_node_197,4,0.3333333333333333,0.0010279233431921683,0.33056478405315615,3.0251256281407035,0.043214454204703816,3.0,1.0,3.0,0.25,0.02564102564102564,0.006211180124223602,0.1428571428571428,0.14347557204700065,0.10256410256410256
graph_1_4_node_160,14,0.25274725274725274,0.026412121667828088,0.3509700176366843,2.849246231155779,0.07582829802433075,12.0,2.0,6.0,0.1428571428571428,0.08333333333333336,0.01136363636363637,0.0769230769230769,0.0781953415541202,0.5416666666666666
graph_1_1_node_86,4,0.5,0.0005918170625608745,0.28674351585014407,3.487437185929648,0.025258900627633717,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769237
graph_4_1_node_161,7,0.19047619047619047,0.004042959897700275,0.37057728119180633,2.698492462311558,0.04775250258520426,6.0,1.0,6.0,0.1428571428571428,0.005555555555555555,0.04999999999999999,0.0769230769230769,0.07750077767408789,0.033333333333333326
graph_3_4_node_88,9,0.19444444444444445,0.00874886519993129,0.3712686567164179,2.693467336683417,0.08395685930041535,7.0,2.0,3.5,0.22222222222222224,0.06896551724137931,0.011695906432748532,0.125,0.12628205128205125,0.27586206896551724
graph_4_2_node_99,8,0.03571428571428571,0.004934465890230292,0.39173228346456695,2.5527638190954773,0.050006653328799014,7.0,1.0,7.0,0.125,0.005235602094240835,0.11111111111111112,0.06666666666666665,0.06718940581982924,0.015706806282722512
graph_4_5_node_41,6,0.06666666666666667,0.0048319557776428206,0.35346358792184723,2.829145728643216,0.04023282905230913,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515147
graph_3_4_node_197,5,0.3,0.002477678955609382,0.3262295081967213,3.0653266331658293,0.0354268900664413,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947362
graph_3_4_node_45,4,0.0,0.0028852826744315344,0.334453781512605,2.9899497487437188,0.022525297180139507,2.0,2.0,1.0,0.5,0.04166666666666668,0.013157894736842101,0.3333333333333334,0.3346072186836518,0.0
graph_3_1_node_77,6,0.0,0.005706240787658767,0.35346358792184723,2.829145728643216,0.030589767656179694,3.0,3.0,1.0,0.5,0.075,0.01875,0.3333333333333334,0.3351863290096768,0.0
graph_3_3_node_153,6,0.06666666666666667,0.004769734996021471,0.33843537414965985,2.9547738693467336,0.03161282800364673,4.0,2.0,2.0,0.3333333333333334,0.06451612903225805,0.011834319526627224,0.19999999999999996,0.2012562814070351,0.09677419354838714
graph_4_4_node_0,8,0.03571428571428571,0.007500450344849381,0.3540925266903915,2.8241206030150754,0.05346765443640623,2.0,6.0,0.3333333333333334,0.75,0.6,0.03157894736842105,0.6,0.6037783375314862,0.0
graph_1_4_node_89,7,0.3333333333333333,0.0019766712293983676,0.3099688473520249,3.2261306532663316,0.016227171051336687,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334
graph_3_5_node_186,7,0.2857142857142857,0.003482085115037338,0.3671586715867159,2.7236180904522613,0.05827010707357717,6.0,1.0,6.0,0.1428571428571428,0.034482758620689655,0.005847953216374266,0.0769230769230769,0.07748645720476709,0.20689655172413798
graph_2_1_node_67,11,0.1388888888888889,0.009649470132891616,0.36247723132969034,2.758793969849246,0.060152404417634295,9.0,2.0,4.5,0.1818181818181819,0.0714285714285714,0.011627906976744184,0.09999999999999998,0.10119617224880383,0.25
graph_1_1_node_129,9,0.16666666666666666,0.019138179852383058,0.3390119250425894,2.949748743718593,0.14313361753803638,7.0,2.0,3.5,0.22222222222222224,0.0625,0.011904761904761902,0.125,0.12633333333333335,0.21875
graph_4_3_node_8,8,0.07142857142857142,0.008419790733535456,0.3692022263450835,2.708542713567839,0.054326651290126676,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.028089887640449455
graph_4_4_node_129,8,0.10714285714285714,0.006957677848577267,0.3479020979020979,2.8743718592964824,0.06343207743075029,6.0,2.0,3.0,0.25,0.02469135802469136,0.016806722689075626,0.1428571428571428,0.14412617839013778,0.06172839506172842
graph_1_4_node_108,6,0.16666666666666666,0.0008875748801940702,0.27448275862068966,3.64321608040201,0.001875261505109177,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.125
graph_1_1_node_47,5,0.0,0.004233990485172221,0.2814710042432815,3.5527638190954773,0.009753940525748229,4.0,1.0,4.0,0.19999999999999996,0.04545454545454548,0.005617977528089888,0.11111111111111112,0.11177556293835364,0.0
graph_2_4_node_71,4,0.6666666666666666,0.0001072486670352683,0.31437598736176936,3.180904522613065,0.05585080449525793,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272718
graph_4_4_node_66,10,0.06666666666666667,0.01217278674731817,0.3685185185185185,2.71356783919598,0.06617224293174877,5.0,5.0,1.0,0.5,0.38461538461538475,0.02673796791443851,0.3333333333333334,0.33649588867805186,0.23076923076923075
graph_1_2_node_129,10,0.37777777777777777,0.0037155379060639635,0.31942215088282505,3.130653266331658,0.10702664522538594,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.35483870967741926
graph_4_4_node_13,5,0.0,0.00367625104681306,0.334453781512605,2.9899497487437188,0.03052400941395074,3.0,2.0,1.5,0.3999999999999999,0.02469135802469136,0.016806722689075626,0.25,0.25126422250316055,0.0
graph_4_1_node_154,4,0.0,0.0019184690249277592,0.3184,3.14070351758794,0.013278744922189863,1.0,3.0,0.3333333333333334,0.75,1.5,0.015151515151515147,0.6,0.6017211703958693,0.0
graph_3_2_node_116,9,0.16666666666666666,0.008407948806857562,0.3692022263450835,2.708542713567839,0.06041476560282127,6.0,3.0,2.0,0.3333333333333334,0.1428571428571428,0.01675977653631285,0.19999999999999996,0.2017761989342806,0.3333333333333334
graph_4_3_node_89,7,0.0,0.004921674408996754,0.35535714285714287,2.814070351758794,0.06005699537808519,2.0,5.0,0.3999999999999999,0.714285714285714,1.25,0.025510204081632654,0.5555555555555555,0.5585876962468834,0.0
