,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_5_node_0,8,0.10714285714285714,0.022885706120125374,0.35727109515260325,2.798994974874372,0.046171556426921966,4.791,3.209,1.5834000000000001,0.401125,0.17322975434408017,0.01798612193070066,0.2558614052614053,0.25775558814887545,0.1853183443858469
graph_1_5_node_11,7,0.4,0.004395076765426903,0.31738437001594894,3.150753768844221,0.009078696805283363,5.937,1.063,5.812,0.15185714285714283,0.04756240006085236,0.006038683899696516,0.0828344988344988,0.08346369962821626,0.20344742388968545
graph_2_4_node_152,23,0.16666666666666666,0.04481276238649947,0.40040241448692154,2.4974874371859297,0.1869410816058958,17.093,5.907,3.0330851356976365,0.25682608695652176,0.26571846749959066,0.033617604690160376,0.1488178171710535,0.1524404084868583,0.6731472390621527
graph_2_4_node_54,13,0.2948717948717949,0.013113106157892402,0.36988847583643125,2.7035175879396984,0.12693377137851367,10.928,2.072,5.491673809523809,0.15938461538461532,0.08163636806203342,0.01199520884811998,0.08719539074960125,0.08845987233180626,0.44769367999835
graph_1_3_node_73,6,0.3333333333333333,0.003867470989491256,0.3109375,3.2160804020100504,0.03205455012576374,4.993,1.007,4.985,0.16783333333333328,0.044296076480455346,0.005688496504103615,0.09174545454545455,0.0923473459130855,0.2608965055027787
graph_1_3_node_80,5,0.0,0.00352445947608643,0.30335365853658536,3.2964824120603016,0.019760828921074364,3.956,1.044,3.9083333333333337,0.20880000000000004,0.0387915415004435,0.006072687370514494,0.11765873015873018,0.11828189645597854,0.0
graph_2_3_node_151,18,0.18333333333333332,0.021349569978416316,0.3768939393939394,2.6532663316582914,0.08632432316125893,13.942,4.058,3.633386363636364,0.2254444444444445,0.15705811244205473,0.023462705757737477,0.12781296255130942,0.13017965773188248,0.4761203622843668
graph_3_3_node_77,9,0.027777777777777776,0.009676635394427084,0.34912280701754383,2.864321608040201,0.04914786110182595,5.537,3.463,3.235857142857143,0.38477777777777783,0.2764850527445003,0.022748797977203406,0.27000404742316503,0.2721750855015556,0.13767313567406705
graph_1_4_node_119,8,0.2857142857142857,0.011101476651853969,0.3153724247226624,3.170854271356784,0.014571497667423224,6.546,1.454,5.940066666666667,0.18175,0.11248824398925208,0.007908961712305117,0.10637022977022977,0.10728786940319515,0.4187013180343826
graph_3_4_node_136,5,0.1,0.0045317229775686954,0.34133790737564323,2.92964824120603,0.047081870616492355,3.521,1.479,2.7473333333333336,0.29580000000000006,0.062011501714491914,0.010406022167146319,0.18739285714285717,0.18833605381736618,0.05467453116259365
