,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_2_1_node_142,8,0.21428571428571427,0.00582780139845327,0.35727109515260325,2.798994974874372,0.10390883381539581,5.0,3.0,1.666666666666667,0.375,0.09981113758553276,0.01765335560615798,0.2307692307692308,0.23255388276209216,0.1996222751710655
graph_1_2_node_171,7,0.14285714285714285,0.01883557155723857,0.3099688473520249,3.2261306532663316,0.012817380676172517,5.0,2.0,2.5,0.2857142857142856,0.09088142292490119,0.011236399415984255,0.16666666666666663,0.16795865633074936,0.27264426877470344
graph_3_2_node_158,7,0.0,0.006500104256406401,0.34668989547038326,2.8844221105527637,0.032227501717108746,4.0,3.0,1.3859499999999998,0.42857142857142855,0.13330057607905402,0.016939807684944783,0.2747989898989898,0.27657079454026845,0.0
graph_2_4_node_34,5,0.1,0.004399842768442066,0.3225283630470016,3.100502512562814,0.022249138882995224,3.011,1.989,1.5275,0.3978000000000001,0.09914227771224819,0.011058601923580758,0.24847222222222223,0.24967477360546655,0.14928325783821347
graph_1_4_node_160,14,0.25274725274725274,0.026412121667828088,0.3509700176366843,2.849246231155779,0.07582829802433075,12.0,2.0,6.0,0.1428571428571428,0.08334057971014491,0.011363507960965587,0.0769230769230769,0.07819534155412018,0.5417137681159422
graph_3_4_node_129,5,0.2,0.0021877906296047848,0.3333333333333333,3.0,0.029400277475400156,3.074,1.926,1.6866666666666665,0.38520000000000004,0.11875605342404899,0.01052529662852113,0.23976190476190476,0.24099030912487224,0.2438726487856506
graph_3_5_node_69,5,0.2,0.0011462375368819972,0.3209677419354839,3.1155778894472363,0.019960403706787047,4.99,0.01,4.99,0.002,0.0004971757602562556,5.603954087493136e-05,0.0011111111111111111,0.001116732246580476,0.20111259697491363
graph_2_5_node_173,7,0.09523809523809523,0.00548644444119212,0.3241042345276873,3.0854271356783918,0.01891789233910323,5.918,1.082,5.713,0.15457142857142853,0.030557919332544755,0.0065781416837112075,0.08428205128205127,0.08494526335955514,0.11277773823777244
graph_2_2_node_128,9,0.2222222222222222,0.01030095917542636,0.3540925266903915,2.8241206030150754,0.05148241264331701,7.0,2.0,3.503,0.2222222222222223,0.06477062313599723,0.011826563569841565,0.12500882352941176,0.12621947509189244,0.2590434120842188
graph_1_3_node_4,9,0.14285714285714285,0.010746312479909228,0.3294701986754967,3.0351758793969847,0.02907636748280535,7.0,2.0,3.5,0.2222222222222223,0.09524285714285716,0.011173122284295466,0.125,0.12619760479041917,0.23810714285714288
graph_4_4_node_183,15,0.11428571428571428,0.025451504152285354,0.41983122362869196,2.3819095477386933,0.16243342856442572,8.159,6.841,1.3793726273726274,0.4560666666666667,0.2586234337184921,0.039903145453929,0.3049351597162205,0.30927000506514346,0.29674044575045994
graph_2_4_node_158,7,0.0,0.009590799121172744,0.34608695652173915,2.8894472361809047,0.035088145690807766,3.998,3.002,1.3321666666666665,0.4288571428571429,0.12355655114799889,0.017091908122637608,0.27298181818181805,0.2747979013682952,0.0
graph_1_3_node_45,5,0.3,0.0048841720170422435,0.3015151515151515,3.3165829145728645,0.01119087558520119,4.0,1.0,4.0,0.20000000000000004,0.043492577953447506,0.005649948089764778,0.11111111111111115,0.11170812603648428,0.21746288976723765
graph_3_1_node_18,16,0.1,0.029606932371905884,0.4298056155507559,2.3266331658291457,0.17235779254987707,9.018,6.982,1.300095238095238,0.436375,0.2236488536426971,0.04141817297830516,0.27930724151965547,0.283641203828975,0.25651282886063553
graph_4_4_node_123,5,0.0,0.005916261327450794,0.33614864864864863,2.9748743718592965,0.03018037736872392,1.878,3.122,0.6933333333333334,0.6244,0.17067616245348569,0.01751286658890725,0.4675000000000001,0.46946873539662365,0.0
graph_4_2_node_65,6,0.06666666666666667,0.0024989651189004907,0.3671586715867159,2.7236180904522613,0.03706988805301011,3.088,2.912,1.2286000000000001,0.4853333333333334,0.1065327298625725,0.017165535142256765,0.3289056277056277,0.3304197175347984,0.05712982626270709
graph_4_5_node_50,8,0.0,0.007886089692096369,0.3592057761732852,2.7839195979899496,0.03713740483827801,3.661,4.339,0.9112190476190476,0.542375,0.21808564237999656,0.02456211881479703,0.3783021423021422,0.3809981208671105,0.0
graph_4_3_node_123,6,0.0,0.004228968437988324,0.3592057761732852,2.7839195979899496,0.049270844379897996,1.746,4.254,0.4364,0.709,0.18247527858464702,0.02451684436280826,0.5574285714285716,0.5600083436422656,0.0
graph_2_1_node_75,14,0.17582417582417584,0.017222378229033435,0.37335834896810505,2.678391959798995,0.1634635428094988,10.016,3.984,2.518666666666667,0.2845714285714285,0.13257439923427825,0.02344281550615205,0.16591999999999996,0.16830282672201496,0.36597417114695324
graph_3_2_node_80,17,0.047619047619047616,0.0301769352427238,0.4069529652351738,2.457286432160804,0.08022315160211943,8.076,8.924,0.9131584221334224,0.5249411764705881,0.3972469158847929,0.050378446621629665,0.35664383642122777,0.3619215414661697,0.26206460033873963
graph_2_3_node_66,5,0.3,0.001406695404615064,0.3241042345276873,3.0854271356783918,0.055557160709062386,3.999,1.001,3.9975,0.20020000000000004,0.04066508912987174,0.005708160946445876,0.11125000000000003,0.11182827645279741,0.20306457608414133
graph_2_4_node_146,18,0.08333333333333333,0.04146022053246627,0.38943248532289626,2.5678391959798996,0.068660113163581,11.969,6.031,1.9870357142857142,0.33505555555555555,0.28975710879545774,0.03366930096155681,0.20129162561576355,0.20496881645585915,0.47850743909436755
graph_1_1_node_132,6,0.2,0.013465163597650855,0.30428134556574926,3.28643216080402,0.010344534123392346,4.0,2.0,2.0,0.33333333333333326,0.09088932806324111,0.01123627245604012,0.20000000000000004,0.20132802124834004,0.22722332015810268
graph_4_5_node_18,30,0.05747126436781609,0.08671677607567571,0.4738095238095238,2.1105527638190953,0.2510281071064469,16.728,13.272,1.3042738063861028,0.4424,0.4303761277880069,0.07892791293457867,0.28616725705632556,0.29450087214950693,0.5264928162689617
graph_4_1_node_176,4,0.0,0.0016209416837049387,0.3503521126760563,2.8542713567839195,0.03010644999103695,2.613,1.387,2.2916666666666665,0.34675,0.05650561219024497,0.008077158157379779,0.22042857142857142,0.22122620559404818,0.0
graph_3_4_node_61,4,0.0,0.003851632332769069,0.35663082437275984,2.8040201005025125,0.05195455345812891,2.673,1.327,2.376666666666667,0.33175,0.048246310679295294,0.007917846090491537,0.20689523809523808,0.20774122592120847,0.0
graph_2_1_node_134,7,0.047619047619047616,0.006738806541351542,0.3338926174496644,2.9949748743718594,0.02101985005641086,4.961,2.039,2.4545,0.2912857142857142,0.08904081228656746,0.011548931747764495,0.17080303030303026,0.17201659663865546,0.1311764245833468
graph_2_2_node_59,5,0.1,0.003488948879972457,0.3128930817610063,3.1959798994974875,0.01996798173620398,2.0,3.0,0.6666666666666665,0.5999999999999998,0.09697086940777927,0.017745605555664706,0.42857142857142855,0.43037539730263713,0.07459300511411968
graph_1_5_node_139,9,0.2222222222222222,0.014630878972314245,0.30243161094224924,3.306532663316583,0.011080533832157277,7.0,2.0,3.5,0.2222222222222223,0.10195263157894738,0.011088336402701042,0.125,0.12618483412322276,0.4078105263157895
graph_4_5_node_74,6,0.0,0.005782328792701403,0.3618181818181818,2.763819095477387,0.03985295677497794,2.308,3.692,0.6843999999999999,0.6153333333333333,0.19579456941281753,0.020955841962625506,0.4540813852813852,0.45637250364618215,0.0
graph_1_5_node_183,10,0.15555555555555556,0.026400699922906785,0.3479020979020979,2.8743718592964824,0.0147503092594464,6.0,4.0,1.5,0.4000000000000001,0.14814814814814814,0.023121387283236986,0.25,0.2523640661938535,0.2592592592592592
