,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_2_node_91,5,0.1,0.002042379956154207,0.35221238938053095,2.8391959798994977,0.026183120162830437,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006
graph_3_1_node_140,9,0.08333333333333333,0.012200511958299272,0.3712686567164179,2.693467336683417,0.048998998505504265,5.0,4.0,1.25,0.4444444444444446,0.2857142857142856,0.02150537634408602,0.2857142857142856,0.2881895332390382,0.42857142857142855
graph_1_4_node_16,6,0.3333333333333333,0.00043549104551096434,0.2571059431524548,3.8894472361809047,0.0013805145805765389,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663
graph_4_3_node_148,12,0.06060606060606061,0.01682814992919517,0.39173228346456695,2.5527638190954773,0.09098563776573464,4.0,8.0,0.5,0.6666666666666665,0.6153846153846152,0.04278074866310159,0.5,0.5048543689320387,0.38461538461538475
graph_2_2_node_130,7,0.047619047619047616,0.004581410093273155,0.33166666666666667,3.0150753768844223,0.02670502937896074,6.0,1.0,6.0,0.1428571428571428,0.0357142857142857,0.005813953488372091,0.0769230769230769,0.07752803760063288,0.10714285714285714
graph_2_2_node_16,8,0.3333333333333333,0.0020887883058215997,0.3503521126760563,2.8542713567839195,0.06198297321388529,7.0,1.0,7.0,0.125,0.03448275862068966,0.005847953216374268,0.06666666666666665,0.067272360185746,0.20689655172413793
graph_3_3_node_59,9,0.14285714285714285,0.004589159503204683,0.36380255941499084,2.748743718592965,0.10244676308131202,6.0,3.0,2.0,0.33333333333333326,0.10714285714285714,0.017441860465116282,0.20000000000000004,0.20188797986154808,0.17857142857142852
graph_2_4_node_194,5,0.0,0.004082019066731865,0.319935691318328,3.1256281407035176,0.022067491267099323,3.0,2.0,1.5,0.4000000000000001,0.0869565217391304,0.011299435028248591,0.25,0.2512091898428053,0.0
graph_2_1_node_150,10,0.35555555555555557,0.004914064232922812,0.36446886446886445,2.7437185929648242,0.158108988763033,9.0,1.0,9.0,0.10000000000000002,0.033333333333333326,0.005882352941176473,0.05263157894736841,0.05323002299285017,0.33333333333333326
graph_3_5_node_160,14,0.07692307692307693,0.023546552043532065,0.38943248532289626,2.5678391959798996,0.07180198951474824,8.0,6.0,1.333333333333333,0.42857142857142855,0.31578947368421056,0.033149171270718245,0.2727272727272726,0.27610565110565105,0.4736842105263158
graph_4_1_node_148,13,0.07692307692307693,0.016256038623169326,0.41115702479338845,2.4321608040201004,0.08201649322110385,6.0,7.0,0.8571428571428571,0.5384615384615384,0.1627906976744186,0.044585987261146494,0.36842105263157887,0.3724509893040027,0.09302325581395346
graph_1_5_node_60,9,0.16666666666666666,0.015582754242483983,0.31045241809672386,3.221105527638191,0.011095312065912098,7.0,2.0,3.5,0.2222222222222223,0.10000000000000002,0.011111111111111106,0.125,0.12618483412322276,0.3499999999999999
graph_3_1_node_71,7,0.047619047619047616,0.007856157103784905,0.3747645951035782,2.6683417085427137,0.06085349654977725,6.0,1.0,6.0,0.1428571428571428,0.03030303030303029,0.00598802395209581,0.0769230769230769,0.07754380938738481,0.09090909090909091
graph_3_2_node_68,6,0.06666666666666667,0.0047511886830970355,0.3454861111111111,2.8944723618090453,0.029935944874743766,3.0,3.0,1.0,0.5,0.13043478260869562,0.016949152542372885,0.33333333333333326,0.33510324483775816,0.13043478260869562
graph_4_2_node_190,20,0.0718954248366013,0.02369531131942782,0.4335511982570806,2.306532663316583,0.11200537033869815,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.07000000000000003
graph_4_1_node_21,9,0.16666666666666666,0.005204935918268693,0.37406015037593987,2.6733668341708543,0.05743743167055836,5.0,4.0,1.25,0.4444444444444446,0.23529411764705885,0.021857923497267766,0.2857142857142856,0.2880184331797234,0.3529411764705881
graph_1_1_node_84,5,0.4,0.0008825610545826106,0.2855093256814921,3.5025125628140703,0.010073961149170916,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272726
graph_4_1_node_59,9,0.1111111111111111,0.00739354554233201,0.3797709923664122,2.6331658291457285,0.06321398110983162,5.0,4.0,1.25,0.4444444444444446,0.23529411764705885,0.021857923497267766,0.2857142857142856,0.2880184331797234,0.29411764705882354
graph_3_2_node_94,7,0.047619047619047616,0.007084689150765575,0.36988847583643125,2.7035175879396984,0.05080046391796422,5.0,2.0,2.5,0.2857142857142856,0.0869565217391304,0.011299435028248591,0.16666666666666663,0.16785009861932934,0.13043478260869562
graph_4_3_node_133,10,0.022222222222222223,0.011665087285944549,0.3761814744801512,2.658291457286432,0.07299472895905586,4.0,6.0,0.6666666666666665,0.5999999999999998,0.3529411764705881,0.03278688524590163,0.42857142857142855,0.43221662905745534,0.17647058823529405
graph_3_3_node_148,8,0.07142857142857142,0.012665072680932426,0.35472370766488415,2.819095477386935,0.03493369753415167,4.0,4.0,1.0,0.5,0.14814814814814814,0.023121387283236986,0.33333333333333326,0.3358427436219155,0.14814814814814814
graph_2_3_node_108,7,0.38095238095238093,0.006145163298051926,0.37057728119180633,2.698492462311558,0.09770695826630886,5.0,2.0,2.5,0.2857142857142856,0.08333333333333331,0.011363636363636364,0.16666666666666663,0.16782273603082845,0.25
