,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_4_node_39,13,0.18181818181818182,0.02195416443596719,0.33001658374792703,3.030150753768844,0.030495192953755024,11.822,1.178,11.597277777777778,0.09061538461538458,0.06559340099343428,0.0066059446244926875,0.04931776750253531,0.05006631111704425,0.4667903507657168
graph_1_2_node_159,6,0.13333333333333333,0.009712845755227134,0.30709876543209874,3.2562814070351758,0.014570911941620428,4.691,1.309,4.4395,0.21816666666666662,0.12384203138706243,0.007166314549872659,0.13087575757575753,0.13172055701877936,0.2695711043212596
graph_3_2_node_175,12,0.12121212121212122,0.014591707999558907,0.3768939393939394,2.6532663316582914,0.05284701603459587,9.47,2.53,6.982933333333333,0.21083333333333334,0.2031893258257738,0.017850906851787102,0.1376789025574865,0.13917597438341142,0.21986100384930188
graph_1_3_node_112,6,0.2,0.009792199071793671,0.31338582677165355,3.190954773869347,0.011935697289503649,3.971,2.029,1.9845,0.3381666666666666,0.0994404637754638,0.011326962705245943,0.20445757575757578,0.2056680589273322,0.19217625516168074
graph_1_3_node_68,6,0.0,0.012500791715384851,0.3163751987281399,3.1608040201005023,0.011614136828472614,3.995,2.005,2.0,0.3341666666666666,0.0914504467897396,0.011282217299368492,0.2007818181818182,0.20197809441565817,0.0
graph_1_4_node_123,6,0.6666666666666666,0.00027172191853252657,0.30709876543209874,3.2562814070351758,0.1282772778462747,5.971,0.029,5.951,0.004833333333333333,0.0018050297311907218,0.00015776460385646878,0.002860606060606061,0.002878873998349276,0.23515220443849733
graph_2_5_node_196,7,0.2857142857142857,0.0037304465955626353,0.33614864864864863,2.9748743718592965,0.0368610277263274,5.564,1.436,5.094783333333333,0.2051428571428571,0.11370698040847381,0.008190646398104016,0.1236974358974359,0.12457592978283884,0.3207981523099591
graph_2_4_node_65,4,0.0,0.0035017504786079047,0.319935691318328,3.1256281407035176,0.022728587981292892,1.329,2.671,0.6053333333333333,0.66775,0.26515640189470036,0.014731014045081835,0.5154857142857141,0.5170963450724433,0.0
graph_1_5_node_96,5,0.5,0.0003873646742826072,0.32045088566827695,3.120603015075377,0.0853985605199223,4.992,0.008,4.987666666666667,0.0016,0.0005173584585349291,4.437344365889078e-05,0.0010396825396825396,0.0010443974422584216,0.18846467086496585
graph_1_3_node_96,7,0.19047619047619047,0.00928954565676235,0.3225283630470016,3.100502512562814,0.09478930903617247,4.991,2.009,2.4934166666666666,0.2869999999999999,0.06986990105647699,0.01175594467568882,0.16773030303030298,0.16893038087332904,0.17234121326390311
graph_2_2_node_52,11,0.18181818181818182,0.009012950550740396,0.35855855855855856,2.7889447236180906,0.11006712236903206,8.951,2.049,4.941224999999999,0.18627272727272726,0.07211497380438593,0.01230632695601935,0.10511746154602193,0.10635985590918297,0.2935134519150659
graph_4_5_node_87,7,0.0,0.005029030046047908,0.3540925266903915,2.8241206030150754,0.04010077305146968,6.762,0.238,6.588049999999999,0.034,0.013165030977756731,0.0019645090757121463,0.0224957264957265,0.02264376446393653,0.0
graph_3_3_node_155,11,0.09090909090909091,0.018099347852905227,0.38943248532289626,2.5678391959798996,0.08674117243074728,6.752,4.248,3.6001007936507934,0.3861818181818182,0.2100470540314802,0.028972364639320375,0.2705193576890945,0.27318381430091654,0.15687083690541254
graph_1_4_node_0,10,0.28888888888888886,0.013424709525594263,0.3153724247226624,3.170854271356784,0.016882413230274524,8.574,1.426,7.674666666666666,0.14260000000000003,0.09620622575639834,0.007853191891803746,0.07965148164528968,0.08055400625288331,0.48177198949871525
graph_4_4_node_164,7,0.047619047619047616,0.005599595570927755,0.3338926174496644,2.9949748743718594,0.03476958501939926,6.604,0.396,6.37475,0.05657142857142857,0.04250389877781562,0.0026569568597205537,0.0400426184926185,0.040292636587738455,0.01903357983140976
graph_3_5_node_98,9,0.19444444444444445,0.006913823626556743,0.38715953307393,2.5829145728643215,0.09059124181722183,5.862,3.138,2.332757142857143,0.3486666666666666,0.18393271855831528,0.01882596199433608,0.2171956940118705,0.21896014165091987,0.31190536323035223
graph_4_5_node_85,5,0.0,0.0029836813233180847,0.3472949389179756,2.879396984924623,0.03953505027578942,4.795,0.205,4.690416666666666,0.041,0.01872937850428687,0.0016374704225774629,0.02771825396825397,0.027845624801305924,0.0
graph_4_4_node_66,10,0.06666666666666667,0.01217278674731817,0.3685185185185185,2.71356783919598,0.06617224293174877,9.387,0.613,8.962083333333332,0.0613,0.04621487590063521,0.004109703222673327,0.04347354434351338,0.04386075728294835,0.04304403194697672
graph_2_2_node_117,8,0.14285714285714285,0.009055130264174961,0.3664825046040516,2.728643216080402,0.05819817046115461,5.493,2.507,2.6283333333333334,0.313375,0.12784610262905666,0.01442253253740363,0.19394891774891773,0.19546206911780065,0.2189142469557881
graph_1_5_node_15,11,0.14545454545454545,0.014258869708812811,0.33277591973244147,3.0050251256281406,0.02748951258250791,8.699,2.301,4.268685714285715,0.20918181818181814,0.137977544418354,0.012788512920982573,0.12072243722050226,0.12208693086199428,0.42210563656817407
graph_1_5_node_104,8,0.17857142857142858,0.015028826805164434,0.36313868613138683,2.7537688442211055,0.04413917373019279,3.981,4.019,0.9958666666666667,0.502375,0.16889147274318245,0.02292160199308695,0.335891575091575,0.3382611426776488,0.20650550891494415
graph_3_4_node_110,8,0.07142857142857142,0.009760651317310133,0.3651376146788991,2.7386934673366836,0.05732696846503751,4.789,3.211,2.1738000000000004,0.401375,0.08761692457830461,0.02358981613040179,0.2638971028971029,0.2659458451321287,0.056069454433726046
graph_3_1_node_58,6,0.2,0.0019928061941058197,0.34488734835355284,2.899497487437186,0.06640938539738887,5.524,0.476,5.4,0.07933333333333333,0.01826025713419567,0.002958979276349402,0.0459939393939394,0.04628873147616951,0.08725486325430738
graph_2_4_node_133,8,0.35714285714285715,0.008550049295645639,0.35346358792184723,2.829145728643216,0.10614453673448632,6.063,1.937,3.203466666666667,0.242125,0.07513380615290957,0.011239701698417709,0.13893213453213452,0.1401073940828406,0.2268634551301782
graph_2_5_node_108,7,0.19047619047619047,0.007853459830872224,0.33728813559322035,2.9648241206030153,0.027988583555478112,5.382,1.618,3.7058,0.23114285714285707,0.06269869816165148,0.009469021092198006,0.13389199689199688,0.1348823968055083,0.2055230175453034
graph_4_1_node_157,10,0.1111111111111111,0.007939978275593694,0.3761814744801512,2.658291457286432,0.055119422527224786,9.834,0.166,9.6615,0.0166,0.005141166244292113,0.0012459904357335235,0.0103718733107278,0.010467630331257962,0.04128991172952126
graph_3_4_node_140,7,0.09523809523809523,0.009181167553605946,0.3712686567164179,2.693467336683417,0.04286034405251074,3.713,3.287,1.9777999999999998,0.46957142857142853,0.2862551063059248,0.022918089468260006,0.3374549728049728,0.3395482056767986,0.10677152290131134
graph_3_2_node_127,6,0.13333333333333333,0.004524683048916881,0.35727109515260325,2.798994974874372,0.03105944620422867,4.441,1.559,3.5763999999999996,0.2598333333333333,0.1084022957906908,0.01056202387656828,0.17645627705627706,0.17737591385440873,0.11438618658938988
graph_1_5_node_141,8,0.3333333333333333,0.005551838685084505,0.31587301587301586,3.1658291457286434,0.01844494997233069,6.947,1.053,6.844666666666666,0.131625,0.04017722053763031,0.006134457700787156,0.07101245421245421,0.07163647534017047,0.2093383586478761
graph_2_2_node_195,11,0.18181818181818182,0.010932255724760847,0.3797709923664122,2.6331658291457285,0.1177593262244445,7.9,3.1,2.727739285714285,0.2818181818181817,0.10483915105904865,0.01877527703520797,0.16633752641407443,0.16821416402733486,0.2658544299243302
graph_3_4_node_81,9,0.1111111111111111,0.009261354012285426,0.36380255941499084,2.748743718592965,0.060445654667814534,6.822,2.178,5.233078571428571,0.242,0.18825993928253892,0.013622516850049336,0.15498345478051356,0.15637506510453467,0.19335014706793952
graph_4_3_node_34,8,0.0,0.008349359408327981,0.3747645951035782,2.6683417085427137,0.06231521686738097,7.579,0.421,7.327676190476191,0.052625,0.040604144248153,0.002881556860466542,0.03783061383061383,0.03808639153994821,0.0
