,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_2_node_47,10,0.15555555555555556,0.017463651913331033,0.32305194805194803,3.0954773869346734,0.02041014787597995,8.999,1.001,8.995,0.10010000000000002,0.037065018315018315,0.0057863631868700655,0.05269005847953215,0.053340478303410925,0.2962124542124542
graph_3_4_node_108,8,0.10714285714285714,0.00900447741335291,0.36446886446886445,2.7437185929648242,0.07911556884306553,4.076,3.924,1.0546666666666664,0.4905,0.12601582246145415,0.023261394247362534,0.3256263736263736,0.3281291887704224,0.09645809416765004
graph_1_4_node_65,7,0.19047619047619047,0.0070630665519398,0.3138801261829653,3.185929648241206,0.013308286824492907,6.0,1.0,6.0,0.1428571428571428,0.04166666666666666,0.005681818181818182,0.0769230769230769,0.07755478886243258,0.2916666666666667
graph_1_2_node_108,7,0.38095238095238093,0.0052802788950129555,0.30709876543209874,3.2562814070351758,0.01835414707248551,6.003,0.997,6.003,0.14242857142857138,0.04341106719367588,0.005631752682028822,0.07669230769230767,0.07733761513567342,0.3048508036890646
graph_3_5_node_153,9,0.027777777777777776,0.008997289945564672,0.3618181818181818,2.763819095477387,0.049073887015997256,6.949,2.051,3.43115,0.22788888888888897,0.08986963041829743,0.011630116446857736,0.128960989010989,0.1301169650570463,0.0002868326730805508
graph_4_5_node_73,5,0.0,0.0036428263988747605,0.3579136690647482,2.7939698492462313,0.03770174502556595,1.532,3.468,0.4833333333333334,0.6935999999999999,0.16790858296899444,0.01972069320067631,0.541468253968254,0.5436187367958796,0.0
graph_3_4_node_153,7,0.23809523809523808,0.005721613852566172,0.36380255941499084,2.748743718592965,0.05062000069135331,4.953,2.047,2.45275,0.2924285714285713,0.05682113342041373,0.012593539434295245,0.17185874125874123,0.17316736788179882,0.13683972394965865
graph_4_4_node_17,9,0.027777777777777776,0.012418451176731689,0.39019607843137255,2.562814070351759,0.08753632584822839,4.541,4.459,1.0709535714285714,0.49544444444444447,0.13867923184510567,0.0267383248854984,0.33289692807192806,0.33571604422333773,0.08973542435266885
graph_2_1_node_157,8,0.21428571428571427,0.008034936477471222,0.37265917602996257,2.6834170854271355,0.07921178184239658,6.001,1.999,3.004,0.249875,0.08751739079760816,0.011284180793305775,0.14278095238095234,0.14397225261399454,0.30645670112496204
graph_2_5_node_87,9,0.1111111111111111,0.014565346136264918,0.3754716981132076,2.663316582914573,0.038837679157921294,5.0,4.0,1.25,0.4444444444444446,0.11265898875010505,0.024331867545985156,0.2857142857142856,0.2881592734893469,0.14082373593763128
graph_2_2_node_118,14,0.12087912087912088,0.016154258345847446,0.39019607843137255,2.562814070351759,0.13821907240813114,9.899,4.101,2.4302333333333337,0.2929285714285713,0.131883488362036,0.024282690392537283,0.1718083003952569,0.17429620573255802,0.31836753487106484
graph_1_5_node_60,9,0.16666666666666666,0.015582754242483983,0.31045241809672386,3.221105527638191,0.011095312065912098,6.637,2.363,2.9555,0.2625555555555556,0.12101578947368424,0.013094352363413133,0.15222500000000003,0.15362373697102868,0.3566868421052631
graph_1_2_node_5,9,0.25,0.007403081666089065,0.2935103244837758,3.407035175879397,0.015520488713633205,8.967,0.033,8.967,0.003666666666666666,0.0014962121212121213,0.0001854570990806946,0.001941176470588235,0.0019625911363896627,0.43383112648221356
graph_1_4_node_25,8,0.10714285714285714,0.010614705673515138,0.319935691318328,3.1256281407035176,0.03206696048443106,6.0,2.0,3.0,0.25,0.08333333333333331,0.011363636363636364,0.1428571428571428,0.1441197691197691,0.16666666666666663
graph_2_2_node_183,6,0.06666666666666667,0.004303548304841221,0.34429065743944637,2.9045226130653266,0.037787402046729354,3.959,2.041,1.9614,0.3401666666666666,0.07055746788933397,0.011932785624791158,0.20569523809523815,0.20692609235700263,0.10320894528683593
graph_4_2_node_62,6,0.13333333333333333,0.002305118531721997,0.3678373382624769,2.7185929648241207,0.04179568944927999,2.782,3.218,0.9415,0.5363333333333333,0.11445797369739133,0.018872377240814753,0.3723787878787878,0.3740513744092674,0.10408001055832457
graph_3_4_node_104,12,0.07575757575757576,0.023725551315666043,0.388671875,2.5728643216080402,0.08612874691634072,6.947,5.053,1.3813999999999997,0.42108333333333337,0.21403135116458952,0.028689000018819476,0.2669684210526315,0.27020088514687995,0.2527692209437636
graph_3_2_node_91,7,0.14285714285714285,0.005579749274582889,0.35985533453887886,2.778894472361809,0.0325619810355721,3.984,3.016,1.3733499999999996,0.4308571428571429,0.1671321971946293,0.01662827540621189,0.27618811188811176,0.2779693606467996,0.27013823749866633
graph_3_5_node_68,25,0.08300395256916997,0.054463865565708175,0.4298056155507559,2.3266331658291457,0.1382668962194648,16.794,8.206,2.0668208874458873,0.32824000000000003,0.38879679720919463,0.045933121885391795,0.19672633805742742,0.20138669583761004,0.6581208242517417
