,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_126,43,0.19158361018826134,0.00150158252163697,0.4534725374489333,2.205205205205205,0.0451593473034449,23.017,19.983,1.1519739766081871,0.4647209302325581,0.3803778428200653,0.02110041862730789,0.302701971426291,0.30322881099700516
node_49,34,0.1814516129032258,0.0009822697601815952,0.42728828058169377,2.34034034034034,0.022750309176371,19.006,14.994,1.2676380952380948,0.4410000000000002,0.4662482816072312,0.015496183632776656,0.28287631027253674,0.2832715863288417
node_30,38,0.12944523470839261,0.0014406543196087617,0.44321206743566993,2.2562562562562563,0.027484337540669198,18.004,19.996,0.9004222222222225,0.5262105263157894,0.5256631578947367,0.020788001188001188,0.3570492610837438,0.357576303932824
node_626,26,0.1723076923076923,0.000617976273904098,0.411619283065513,2.4294294294294296,0.017507163613702838,14.003,11.997,1.167257575757576,0.46142307692307705,0.39899647450110876,0.01237053526106892,0.2999048780487804,0.30022108792251767
node_873,36,0.17936507936507937,0.001187873341982738,0.43378202344767697,2.305305305305305,0.029198894775320786,18.016,17.984,1.0019264705882354,0.49955555555555553,0.4925589567175073,0.018679306273783308,0.3329480519480519,0.3334220890885597
node_597,33,0.11931818181818182,0.0010182356830895608,0.42893945899527697,2.3313313313313313,0.025639515901350045,15.01,17.99,0.8344791666666668,0.5451515151515149,0.30330043920837885,0.019129938693746514,0.37472500000000003,0.37519912008887357
node_856,41,0.1524966261808367,0.0014361035758062675,0.4375821287779238,2.285285285285285,0.027064952473164122,21.019,19.981,1.0521762297901618,0.4873414634146343,0.6393978453699658,0.020634198211652546,0.32218824121666867,0.3227149725651203
node_62,39,0.09176788124156546,0.0014227283628140907,0.44321206743566993,2.2562562562562563,0.03226523122524153,19.015,19.985,0.9516392543859646,0.5124358974358975,0.28373164079355906,0.02150754451107246,0.34449161214909235,0.3450183932465376
node_351,32,0.1814516129032258,0.0010548213078993333,0.421875,2.3703703703703702,0.020781609056865054,17.01,14.99,1.1349567765567763,0.4684375,0.4796183210079915,0.015480187235107665,0.30586526302828826,0.30626039206958827
node_665,38,0.2574679943100996,0.0010415834063390115,0.43415906127770537,2.3033033033033035,0.031015011224601253,24.026,13.974,1.7203185148185147,0.3677368421052631,0.38297477312857797,0.01451325628159315,0.2253101515420063,0.2256786454033986
node_333,38,0.2759601706970128,0.0011961942086132404,0.428204029147021,2.335335335335335,0.02633361481126415,23.016,14.984,1.536437362637363,0.3943157894736842,0.5116837672273499,0.015444640981959197,0.24558452213072787,0.24597961815219416
node_976,34,0.19429590017825313,0.0009375258812457124,0.4320934256055363,2.314314314314314,0.03221661577279235,21.008,12.992,1.6171678321678329,0.3821176470588236,0.18443149535064834,0.013982047946985059,0.23618778765094556,0.23653034064580578
node_291,41,0.11097560975609756,0.001501216708388396,0.4469798657718121,2.2372372372372373,0.03368876182229495,21.033,19.967,1.0537488132094945,0.4870000000000002,0.28298919676865064,0.02149073666857617,0.3218975843377053,0.32242394715788103
node_284,36,0.2015873015873016,0.0009369993977661745,0.43302990897269183,2.309309309309309,0.035286380634062815,22.021,13.979,1.5759060939060945,0.3883055555555557,0.24996309303737546,0.014822111687308976,0.24094367209282266,0.24131225881891294
node_193,27,0.07122507122507123,0.0008127500708628763,0.4300473525613431,2.325325325325325,0.02211514574399619,8.009,18.991,0.42179102167182647,0.7033703703703706,0.33196736359319245,0.020147565300931838,0.5424783783783783,0.5429786816616763
node_770,41,0.12682926829268293,0.0016716816536337885,0.44008810572687224,2.2722722722722724,0.026961698472623287,20.011,20.989,0.9534958646616541,0.5119268292682925,0.652710674364202,0.021691852785365548,0.34402655015822664,0.3445798099512231
node_94,35,0.19831932773109243,0.001200500539398576,0.42875536480686693,2.3323323323323324,0.022400797133349946,17.008,17.992,0.9454052287581701,0.5140571428571428,0.7449220701239526,0.018444165807198175,0.3459534239345559,0.34642764666204073
node_927,43,0.2469545957918051,0.0011176623183767498,0.44380275433140826,2.2532532532532534,0.04160008347488957,31.023,11.977,2.5912166666666665,0.2785348837209302,0.21424926048836263,0.012698522607667921,0.16180821242294935,0.16212417873634974
node_515,37,0.17867867867867868,0.0011060206407124372,0.42893945899527697,2.3313313313313313,0.02567474176947384,25.003,11.997,2.084230303030303,0.3242432432432434,0.21721849680558547,0.0127013385798727,0.1934921434971838,0.1938085368315627
node_573,35,0.21212121212121213,0.0010468866590785607,0.4294926913155632,2.3283283283283285,0.023360921272534217,18.006,16.994,1.059595588235294,0.48554285714285716,0.6745178658079888,0.01744108234770849,0.3206079664570231,0.3210559198426922
node_125,31,0.07526881720430108,0.0010834267997386808,0.43359375,2.3063063063063063,0.02466042617348732,8.012,22.988,0.34870324361628696,0.7415483870967743,0.764667206208426,0.023703382489307298,0.5893047359144918,0.58991027334698
node_727,32,0.13911290322580644,0.0009152992660928612,0.43586387434554974,2.294294294294294,0.030801628521285734,16.018,15.982,1.002495238095238,0.4994375,0.22351961122327907,0.01721806530304591,0.3328489795918367,0.3332702242033621
node_671,37,0.1006006006006006,0.0013076247874509546,0.43434782608695655,2.3023023023023024,0.02485042108215057,22.005,14.995,1.4676018315018309,0.4052702702702701,0.2620899926815772,0.01590846948310758,0.2541341391127166,0.2545295040300918
