,Stability
node_706,0
node_545,1
node_588,1
node_75,1
node_666,1
node_911,0
node_848,0
node_106,1
node_169,1
node_65,1
node_567,1
node_175,0
node_650,1
node_917,1
node_570,0
node_254,1
node_271,1
node_147,1
node_44,1
node_78,0
node_864,1
node_240,1
node_436,1
node_77,0
node_104,0
node_161,0
node_999,0
node_130,0
node_971,0
node_157,0
node_408,1
node_365,1
node_798,1
node_213,0
node_741,1
node_663,1
node_630,0
node_139,0
node_685,0
node_310,0
node_898,1
node_141,0
node_869,1
node_140,0
node_178,0
node_479,0
node_604,0
node_152,1
node_166,1
node_941,0
node_207,0
node_508,0
node_98,1
node_737,0
node_261,0
node_965,0
node_896,0
node_383,1
node_920,0
node_501,0
node_260,0
node_32,0
node_63,0
node_347,0
node_461,0
node_779,1
node_39,1
node_591,0
node_707,0
node_378,1
node_948,0
node_587,0
node_554,1
node_343,0
node_953,0
node_413,1
node_540,0
node_733,0
node_534,0
node_421,1
node_29,1
node_255,0
node_894,0
node_843,1
node_757,1
node_907,0
node_204,0
node_723,1
node_590,0
node_821,0
node_497,0
node_164,1
node_756,1
node_95,0
node_774,1
node_629,0
node_298,0
node_632,0
node_954,1
node_99,1
node_301,0
node_523,0
node_253,1
node_797,1
node_655,0
node_873,1
node_846,0
node_506,0
node_486,1
node_374,1
node_956,1
node_677,1
node_28,1
node_244,0
node_982,1
node_614,1
node_489,1
node_648,1
node_4,1
node_998,0
node_879,1
node_841,1
node_308,1
node_833,0
node_577,0
node_638,1
node_480,1
node_524,0
node_89,1
node_831,0
node_713,1
node_467,1
node_742,0
node_762,1
node_816,1
node_270,1
node_997,0
node_403,0
node_988,1
node_155,0
node_549,1
node_824,0
node_427,1
node_593,1
node_67,0
node_322,1
node_185,0
node_371,1
node_338,1
node_367,0
node_42,0
node_747,1
node_805,0
node_903,1
node_17,0
node_828,0
node_623,0
node_109,1
node_817,0
node_520,0
node_401,0
node_138,0
node_224,1
node_50,1
node_661,1
node_883,0
node_387,1
node_84,1
node_397,1
node_93,0
node_799,0
node_457,0
node_24,0
node_280,1
node_728,0
node_870,0
node_287,1
node_292,0
node_133,0
node_802,0
node_265,1
node_321,1
node_574,1
node_913,0
node_184,0
node_81,1
node_776,1
node_992,1
node_969,1
node_966,0
node_611,1
