,Stability
node_126,0
node_49,0
node_30,0
node_626,0
node_873,1
node_597,0
node_856,0
node_62,0
node_351,0
node_665,1
node_333,0
node_976,0
node_291,0
node_284,1
node_193,0
node_770,0
node_94,0
node_927,1
node_515,0
node_573,0
node_125,0
node_727,0
node_671,0
node_812,0
node_265,0
node_614,0
node_122,0
node_228,0
node_132,0
node_790,0
node_492,0
node_160,1
node_702,0
node_890,1
node_807,1
node_613,0
node_887,0
node_595,0
node_365,1
node_232,0
node_713,0
node_486,1
node_391,0
node_418,0
node_441,0
node_419,0
node_388,0
node_52,0
node_561,1
node_219,0
node_670,1
node_532,0
node_220,0
node_436,1
node_470,0
node_629,0
node_960,0
node_867,0
node_186,1
node_384,0
node_385,1
node_364,0
node_843,1
node_268,1
node_558,0
node_317,0
node_256,0
node_736,0
node_704,0
node_357,0
node_821,0
node_967,0
node_739,0
node_244,0
node_223,0
node_295,0
node_977,0
node_162,1
node_321,1
node_264,0
node_514,0
node_229,0
node_662,0
node_139,0
node_305,0
node_350,0
node_434,0
node_888,0
node_90,0
node_769,0
node_900,0
node_494,0
node_277,0
node_598,0
node_118,0
node_136,0
node_16,0
node_469,0
node_511,0
node_985,0
node_267,0
node_939,0
node_78,0
node_732,1
node_526,0
node_860,0
node_836,0
node_313,0
node_279,0
node_270,0
node_25,0
node_988,0
node_535,0
node_320,0
node_510,0
node_381,1
node_322,0
node_916,0
node_113,0
node_158,0
node_876,0
node_746,0
node_473,1
node_906,0
node_889,0
node_255,0
node_593,0
node_482,0
node_138,0
node_766,0
node_628,1
node_304,0
node_371,1
node_619,0
node_173,0
node_847,0
node_315,0
node_737,0
node_424,0
node_7,0
node_581,0
node_775,0
node_359,0
node_853,0
node_826,0
node_340,0
node_879,0
node_19,0
node_405,0
node_868,0
node_309,0
node_293,0
node_804,0
node_694,0
node_58,0
node_955,0
node_680,0
node_174,0
node_463,0
node_846,0
node_691,0
node_466,0
node_923,0
node_57,0
node_280,0
node_17,0
node_217,0
node_311,0
node_327,1
node_137,0
node_869,1
node_667,0
node_328,0
node_878,0
node_715,0
node_502,0
node_796,0
node_539,0
node_586,0
node_745,0
node_893,0
node_631,0
node_375,0
node_650,0
node_449,1
node_472,0
node_783,1
node_63,0
node_926,0
node_403,0
node_41,0
node_48,0
node_299,0
node_938,0
node_751,0
node_233,0
node_542,0
node_797,1
node_389,0
node_610,0
node_250,0
node_213,0
node_5,0
node_240,0
node_913,0
node_795,0
node_412,0
node_222,0
node_442,1
node_784,0
node_761,0
node_871,0
node_685,0
node_235,0
node_161,0
node_910,0
node_875,0
