,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_267,20,0.5490196078431373,4.5790050419513833e-05,0.3402674513214747,2.883248730964467,0.0035860304427043584,19.0,1.0,19.0,0.05000000000000001,0.010803618055370154,0.0011048968337989758,0.02564102564102565,0.025670988187842123
node_147,50,0.41551020408163264,0.0004768925176540368,0.44206750308919857,2.219289340101523,0.04668704062382968,43.146,6.854,7.0225493256743245,0.13708,0.01814614948377039,0.01141715617526192,0.07411233530765204,0.0743179487861145
node_652,7,0.3333333333333333,5.660066674139613e-06,0.3532015942079635,2.7776649746192894,0.004923477329682732,6.002,0.998,5.696400000000001,0.14257142857142857,0.04171712863570634,0.0010507011817091757,0.10827606837606837,0.10830593779111751
node_691,2,0.0,0.0,0.0,0.0,1.551750542397768e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_959,1,0.0,0.0,0.3160103210441426,3.1045685279187816,0.0006802980491038313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_85,39,0.26576576576576577,0.0009638445394819427,0.41226943760793006,2.379695431472081,0.018075858495855125,31.366,7.634,6.7960804271708675,0.19574358974358974,0.032719646878667075,0.011993708235297227,0.11080641577626144,0.11103524619666585
node_354,12,0.8444444444444444,1.1022877516028478e-05,0.3494971290245888,2.8071065989847717,0.0036524990821288493,10.514,1.486,7.894,0.12383333333333331,0.06629791757085018,0.0015129824632007037,0.06667984189723321,0.06672434208744465
node_813,24,0.427536231884058,0.0008069001520903854,0.3734001397809073,2.6274111675126903,0.01048452565353244,22.816,1.184,19.123761904761906,0.049333333333333326,0.0123493605130026,0.0014337442125032188,0.02599130760468233,0.026026787671980408
node_23,81,0.3427458617332035,0.003255794326109252,0.45135897326155444,2.1736040609137057,0.05850268375250012,51.225,29.775,10.983919519822125,0.3675925925925927,0.28077098135638046,0.033453518732966744,0.2358632004944082,0.23675581746103275
node_263,64,0.36488630354309887,0.0032761317310270764,0.44308095449472173,2.214213197969543,0.04407193123404886,40.73,23.27,3.8806092813065898,0.36359375,0.21492531126139539,0.026701389060291753,0.22993165983622665,0.2306291203140674
node_308,41,0.3508771929824561,0.0008406271118407859,0.4366739998883814,2.246700507614213,0.03322423659350697,19.112,21.888,1.0641960869159734,0.5338536585365854,0.19308780560634933,0.0314332924399671,0.380167026343588,0.3808223303182508
node_403,20,0.43137254901960786,0.00012732393256814506,0.38654382470119525,2.5380710659898478,0.00987388148792345,15.617,4.383,4.977555555555556,0.21915,0.037943424107976166,0.005560225333345814,0.12583942451929067,0.1259707018927389
node_389,45,0.3864894795127353,0.0012514287039880024,0.4236560989710601,2.315736040609137,0.018735124906462047,26.608,18.392,1.6096893037303255,0.4087111111111112,0.27025397354072295,0.019826061797334444,0.2579720962632728,0.25852311718486704
node_17,111,0.28593272171253825,0.005220689408697425,0.46979074465385906,2.0883248730964468,0.07584221603526323,92.184,18.816,6.093183111063976,0.16951351351351351,0.10794852953974271,0.029074761755827516,0.09929460944495673,0.09986005079322337
node_798,2,0.0,0.0,0.0,0.0,1.551750542397768e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_281,61,0.4605493863237873,0.0009033977049711626,0.4394540981141374,2.2324873096446702,0.0435009947739893,45.871,15.129,10.759359799621604,0.24801639344262294,0.13091381334469132,0.01712338564725798,0.14476687382322745,0.1452206205690676
