,Stability
node_267,0
node_147,1
node_652,1
node_691,0
node_959,0
node_85,1
node_354,0
node_813,1
node_23,0
node_263,0
node_308,1
node_403,1
node_389,0
node_17,1
node_798,0
node_281,0
node_225,1
node_789,1
node_569,0
node_223,1
node_681,1
node_565,0
node_463,1
node_72,1
node_622,1
node_478,1
node_744,0
node_125,0
node_292,1
node_435,1
node_136,0
node_187,1
node_483,1
node_824,1
node_323,0
node_594,0
node_386,0
node_915,0
node_777,0
node_98,0
node_317,1
node_505,0
node_130,1
node_392,0
node_364,1
node_726,0
node_110,1
node_91,1
node_14,1
node_439,0
node_707,0
node_843,0
node_539,1
node_22,0
node_772,0
node_144,0
node_205,1
node_752,1
node_877,1
node_890,1
node_730,1
node_719,0
node_49,1
node_672,0
node_366,1
node_194,0
node_363,1
node_522,1
node_142,1
node_30,0
node_793,1
node_240,1
node_413,1
node_981,0
node_698,0
node_297,1
node_495,0
node_133,1
node_100,0
node_294,1
node_71,1
node_782,0
node_330,1
node_429,0
node_951,0
node_295,0
node_293,0
node_536,1
node_222,1
node_827,0
node_500,0
node_795,0
node_801,1
node_458,1
node_661,0
node_415,0
node_575,1
node_266,0
node_913,0
node_270,1
node_776,1
node_614,1
node_73,1
node_1000,1
node_588,0
node_978,0
node_962,1
node_858,1
node_432,1
node_19,0
node_773,1
node_761,0
node_738,0
node_179,0
node_306,1
node_751,1
node_348,1
node_210,1
node_809,0
node_627,1
node_290,1
node_990,0
node_511,1
node_587,0
node_132,0
node_503,0
node_177,1
node_649,0
node_493,1
node_451,0
node_664,1
node_899,0
node_246,0
node_122,0
node_220,1
node_581,1
node_195,0
node_298,1
node_952,1
node_438,0
node_637,1
node_524,1
node_849,0
node_107,1
node_820,1
node_852,0
node_102,0
node_598,0
node_763,1
node_437,0
node_238,1
node_229,0
node_1003,1
node_181,0
node_379,0
node_192,0
node_371,1
node_182,0
node_103,0
node_891,1
node_257,1
node_559,1
node_704,1
node_204,1
node_174,0
node_101,0
node_16,1
node_912,0
node_900,0
node_799,1
node_62,1
node_610,1
node_163,1
node_716,1
node_803,0
node_365,1
node_988,0
node_149,0
node_699,0
node_731,0
node_209,1
node_275,1
node_600,1
node_21,0
node_563,1
node_742,1
node_397,0
node_430,0
node_854,0
node_756,1
node_184,1
node_957,0
node_945,1
node_757,1
node_583,0
node_401,1
node_79,1
node_916,0
node_315,1
node_497,1
node_1002,1
node_924,0
node_856,0
node_269,0
node_662,0
node_45,0
node_373,1
node_199,1
node_53,1
node_48,0
node_78,1
node_282,1
node_960,0
node_819,0
node_613,1
node_769,1
node_431,1
node_908,1
node_1004,0
node_546,1
node_485,0
node_673,0
node_618,0
node_153,1
node_808,0
node_872,1
node_344,0
node_941,1
node_319,1
node_515,1
node_176,1
node_943,0
node_753,0
node_134,0
node_814,0
node_606,0
node_159,1
node_271,0
node_527,0
node_314,1
node_468,1
node_709,0
node_755,0
node_745,1
node_358,0
node_411,0
node_424,1
node_279,1
node_611,1
node_521,0
node_337,0
node_543,1
node_67,1
node_770,0
node_328,1
node_645,0
node_138,0
node_851,0
node_889,1
node_157,0
node_646,0
node_518,1
node_11,0
node_806,0
node_991,0
node_396,0
node_224,1
node_436,0
node_52,0
node_57,0
node_109,1
node_660,0
node_12,0
node_932,1
node_670,0
node_654,0
node_582,1
node_245,0
node_971,0
node_260,0
node_894,1
node_766,0
node_936,1
node_869,0
node_736,1
node_440,1
node_861,1
node_384,0
node_334,0
node_939,1
node_50,1
node_390,0
node_925,0
node_256,1
node_261,0
node_350,1
node_99,0
node_217,1
node_303,1
node_382,0
node_510,0
node_68,1
node_47,0
node_92,1
node_712,0
node_779,1
node_433,1
node_561,1
node_59,0
node_853,1
node_33,0
node_106,1
node_695,1
node_904,0
node_596,1
node_9,0
node_304,0
node_634,0
node_231,1
node_368,0
node_572,1
node_682,1
node_307,1
node_658,0
node_335,0
node_996,0
node_189,1
node_687,0
node_797,1
node_126,0
node_621,1
node_75,0
node_632,0
node_970,1
node_526,1
node_884,0
node_160,1
node_467,1
node_833,0
node_955,1
node_531,1
node_461,0
node_291,1
node_768,0
node_540,1
node_525,0
node_985,0
node_162,1
node_516,0
node_552,0
node_146,1
node_685,0
node_262,0
node_818,0
node_597,1
node_656,0
node_837,1
node_296,0
node_477,1
node_690,0
node_683,0
node_760,0
node_407,0
node_999,1
node_927,1
node_790,1
node_143,1
node_832,0
node_471,1
node_729,0
node_677,1
node_329,1
node_385,0
node_577,1
node_380,0
node_214,1
node_901,0
node_593,1
node_94,1
node_692,1
node_834,1
node_252,0
node_942,1
node_821,1
node_848,1
node_211,0
node_370,0
node_265,0
node_455,0
node_405,1
node_44,0
node_285,0
node_689,1
node_80,1
node_28,0
node_519,1
node_96,0
node_243,1
node_935,0
node_997,0
node_426,1
node_34,0
node_628,0
node_781,0
node_831,1
node_508,1
node_444,0
node_86,1
node_207,1
node_326,1
node_881,0
node_105,1
node_973,0
node_362,1
node_922,0
node_244,1
node_740,1
node_865,0
node_507,1
node_409,1
node_38,0
node_309,1
node_387,0
node_595,0
node_697,0
node_679,1
node_947,0
node_871,1
node_601,1
node_305,0
node_647,1
node_589,1
node_771,1
node_124,0
node_759,1
node_83,0
node_169,1
node_498,0
node_418,1
node_845,0
node_427,0
node_325,1
node_165,0
node_968,1
node_680,0
node_667,1
node_400,0
node_234,1
node_998,1
node_921,0
node_784,0
node_95,1
node_584,1
node_202,1
node_173,0
node_644,1
node_986,0
node_807,0
node_489,1
node_895,1
node_284,1
node_141,0
node_506,0
node_528,1
node_671,1
node_568,1
node_591,1
node_43,0
node_830,0
node_60,0
node_475,1
node_321,0
node_648,0
node_377,0
node_482,1
node_399,1
node_502,0
node_353,0
node_944,1
node_844,1
node_198,1
node_529,0
node_700,0
node_29,0
node_333,1
node_693,0
node_452,0
node_32,0
node_633,0
node_548,1
node_241,1
node_168,1
node_580,0
node_626,1
node_509,1
node_914,0
node_794,0
node_183,1
node_929,0
node_976,0
node_152,0
node_58,0
node_357,1
node_117,1
node_212,1
node_288,1
node_574,1
node_140,0
node_46,0
node_313,1
node_557,1
node_513,1
node_367,0
node_825,1
node_616,1
node_280,1
node_815,0
node_928,0
node_533,1
node_723,1
node_457,1
node_517,0
node_355,1
node_643,1
node_811,1
node_492,0
node_89,0
node_216,0
node_191,1
node_949,0
node_27,0
node_253,1
node_273,0
node_608,0
node_272,0
node_995,0
node_566,0
node_850,1
node_631,1
node_972,0
node_464,1
node_607,1
node_376,0
node_804,0
node_765,0
node_966,0
node_701,1
node_534,1
node_993,0
node_434,1
node_544,1
node_115,0
node_609,0
node_870,1
node_345,1
node_221,1
node_892,1
node_416,1
node_879,1
node_343,1
node_919,0
node_512,1
node_994,0
node_113,0
node_119,0
node_590,0
node_15,0
node_118,1
node_653,0
node_154,1
node_918,1
node_180,1
node_841,0
node_259,0
node_178,1
node_82,1
node_880,0
node_69,1
node_812,0
node_984,1
node_289,1
node_114,1
node_725,0
node_946,1
node_127,0
node_746,0
node_215,1
node_277,1
node_542,1
node_636,0
node_586,0
node_128,1
node_909,1
node_775,1
node_412,0
node_420,1
node_714,1
node_896,1
node_26,0
node_172,1
node_857,1
node_476,1
node_735,0
node_375,1
node_732,0
node_1,1
node_579,0
node_860,0
node_737,0
node_702,1
node_404,1
node_758,1
node_923,1
node_374,0
node_774,0
node_6,0
node_151,0
node_193,0
node_342,1
node_201,1
node_251,0
node_39,0
node_341,1
node_555,0
node_592,0
node_713,1
node_659,0
node_227,1
node_520,0
node_822,1
node_442,0
node_665,0
node_472,1
node_66,1
node_300,1
node_545,0
node_453,1
node_391,0
node_602,0
node_917,1
node_423,0
node_624,1
node_1001,0
node_470,0
node_878,0
node_121,1
node_494,1
node_90,1
node_131,0
node_907,0
node_422,1
node_750,0
node_817,1
node_268,1
node_4,0
node_954,1
node_88,0
node_97,0
node_7,0
node_715,0
node_406,0
node_623,1
node_37,0
node_135,0
node_378,0
node_676,0
node_441,0
node_754,0
node_910,1
node_786,1
node_619,0
node_974,1
node_302,0
node_278,1
node_550,1
node_625,0
node_318,0
node_788,0
node_447,0
node_450,1
node_460,1
node_604,0
node_553,0
node_116,0
node_651,1
node_41,1
node_926,1
node_934,1
node_532,0
node_218,1
node_859,0
node_897,0
node_523,1
node_570,0
node_706,1
node_24,0
node_950,1
node_129,1
node_639,1
node_395,0
node_866,1
node_840,1
node_956,0
node_64,1
node_35,0
node_465,1
node_930,1
node_417,0
node_630,0
node_828,1
node_137,0
node_491,1
node_421,0
node_158,1
node_696,1
node_276,1
node_206,1
node_882,1
node_346,1
node_663,1
node_196,1
node_361,0
node_615,1
node_312,1
node_170,0
node_980,0
node_785,0
node_237,1
node_410,1
node_167,1
node_360,0
node_65,1
node_393,0
node_686,1
node_868,0
node_81,1
node_733,1
node_264,0
node_150,0
node_564,1
node_992,1
node_964,0
node_239,1
node_826,0
node_486,1
node_145,1
node_650,1
node_975,0
node_842,0
node_123,0
node_120,1
node_63,0
node_560,1
node_13,1
node_274,0
node_669,1
node_488,0
node_188,1
node_203,1
node_933,0
node_703,0
node_867,0
node_905,1
node_36,0
node_316,1
node_248,1
node_61,0
node_504,0
node_767,1
node_829,1
node_10,0
node_876,1
node_299,1
node_635,0
node_599,0
node_846,0
node_76,0
node_359,0
node_414,0
node_666,0
node_454,1
node_446,0
node_499,0
node_885,1
node_514,1
node_937,0
node_226,1
node_721,0
node_953,0
node_641,1
node_166,1
node_965,1
node_155,1
node_171,0
node_112,1
node_838,0
node_185,0
node_717,0
node_228,1
node_839,0
node_339,0
node_54,0
node_835,1
node_762,0
