,Stability
node_380,0
node_802,1
node_250,0
node_180,1
node_286,1
node_968,1
node_111,1
node_98,0
node_911,1
node_60,0
node_440,1
node_306,1
node_817,1
node_219,1
node_602,0
node_903,1
node_960,0
node_451,0
node_261,1
node_900,1
node_304,1
node_397,0
node_869,0
node_801,1
node_540,1
node_491,1
node_619,1
node_572,1
node_758,1
node_829,1
node_896,1
node_931,1
node_270,1
node_495,1
node_153,1
node_776,1
node_10,1
node_866,1
node_14,1
node_359,0
node_351,1
node_481,1
node_278,1
node_579,0
node_980,1
node_952,1
node_925,1
node_525,0
node_930,1
node_595,0
node_854,1
node_711,0
node_568,1
node_117,1
node_292,1
node_432,1
node_305,1
node_238,1
node_407,0
node_549,1
node_194,1
node_55,1
node_950,1
node_840,1
node_160,1
node_331,1
node_143,1
node_649,0
node_268,1
node_763,1
node_350,1
node_864,1
node_588,1
node_347,1
node_3,1
node_861,1
node_68,1
node_826,1
node_7,0
node_738,1
node_371,1
node_501,0
node_592,0
node_37,1
node_565,0
node_692,1
node_368,0
node_759,1
node_448,0
node_22,1
node_492,1
node_733,1
node_156,1
node_647,1
node_532,1
node_977,1
node_245,1
node_957,0
node_452,0
node_594,1
node_885,1
node_819,0
node_413,1
node_363,1
node_222,1
node_976,1
node_682,1
node_702,1
node_730,1
node_607,1
node_406,0
node_427,1
node_244,1
node_774,1
node_97,0
node_751,1
node_514,1
node_504,0
node_820,1
node_624,1
node_186,1
node_294,1
node_598,1
node_736,1
node_867,1
node_935,0
node_303,1
node_661,0
node_806,1
node_454,1
node_17,1
node_618,0
node_95,1
node_228,1
node_411,1
node_193,1
node_921,1
node_77,1
node_296,0
node_87,1
node_188,1
node_263,1
node_177,1
node_251,1
node_988,0
node_744,0
node_221,1
node_593,1
node_54,1
node_53,1
node_264,0
node_651,1
node_575,1
node_642,1
node_799,1
node_414,0
node_761,0
node_444,1
node_876,1
node_718,1
node_249,1
node_140,0
node_815,1
node_917,1
node_775,1
node_403,1
node_88,1
node_189,1
node_312,1
node_344,1
node_849,1
node_880,1
node_24,1
node_529,0
node_209,1
node_229,1
node_848,1
node_783,1
node_793,1
node_646,1
node_850,1
node_248,1
node_35,1
node_30,1
node_865,1
node_255,1
node_749,1
node_913,0
node_259,1
node_838,0
node_362,1
node_823,0
node_942,1
node_234,1
node_946,1
node_206,1
node_83,1
node_274,0
node_846,0
node_750,1
node_812,1
node_462,1
node_715,1
node_112,1
node_246,0
node_352,1
node_384,0
node_576,1
node_256,1
node_469,1
node_308,1
node_919,1
node_453,1
node_71,1
node_38,1
node_36,1
node_908,1
node_161,0
node_47,1
node_878,1
node_25,1
node_316,1
node_963,1
node_901,1
node_281,1
node_825,1
node_343,1
node_933,0
node_155,1
node_654,1
node_936,1
node_207,1
node_857,1
node_805,0
node_404,1
node_621,1
node_705,1
node_76,1
node_169,1
node_856,0
node_93,1
node_215,1
node_943,0
node_89,1
node_375,1
node_639,1
node_752,1
node_405,1
node_695,1
node_546,1
node_693,1
node_74,1
node_442,1
node_981,1
node_51,1
node_400,1
node_195,1
node_821,1
node_449,0
node_728,1
node_353,0
node_550,1
node_726,1
node_870,1
node_706,1
node_45,0
node_650,1
node_437,1
node_493,1
node_785,1
node_874,1
node_377,0
node_366,1
node_541,1
node_699,0
node_780,1
node_79,1
node_906,1
node_266,0
node_971,0
node_700,0
node_466,0
node_879,1
node_172,1
node_254,1
node_893,0
node_717,1
node_185,0
node_688,1
node_277,1
node_554,1
node_830,0
node_756,1
node_318,1
node_218,1
node_122,1
node_483,1
node_734,1
node_473,1
node_668,0
node_520,1
node_280,1
node_757,1
node_459,1
node_373,1
node_998,1
node_476,1
node_65,1
node_689,1
node_604,1
node_145,1
node_447,0
node_40,1
node_842,0
node_232,1
node_56,1
node_996,0
node_814,1
node_631,1
node_241,1
node_779,1
node_370,1
node_754,0
node_135,1
node_146,1
node_291,1
node_365,1
node_184,1
node_539,1
node_147,1
node_616,1
node_722,1
node_983,1
node_703,0
node_114,1
node_468,1
node_897,1
node_623,1
node_75,1
node_551,1
node_881,1
node_302,1
node_895,1
node_434,1
node_511,1
node_605,0
node_961,0
node_727,1
node_652,1
node_338,1
node_398,0
node_26,1
node_239,1
node_107,1
node_2,1
node_600,1
node_176,1
node_285,1
node_704,1
node_964,1
node_915,1
node_675,0
node_617,0
node_151,1
node_67,1
node_431,1
node_11,0
node_9,0
node_307,1
node_480,1
node_792,1
node_474,1
node_178,1
node_954,1
node_959,0
node_841,0
node_844,1
node_612,1
node_159,1
node_110,1
node_629,1
node_804,0
node_346,1
node_418,1
node_905,1
node_84,1
node_548,1
node_707,0
node_899,1
node_767,1
node_677,1
node_152,1
node_475,1
node_279,1
node_573,0
node_154,1
node_578,1
node_535,1
node_590,1
node_914,1
node_928,1
node_543,1
node_349,1
node_72,1
node_656,1
node_835,1
node_410,1
node_16,1
node_390,0
node_770,0
node_863,1
node_503,0
node_528,1
node_485,1
node_883,1
node_85,1
node_789,1
node_807,1
node_309,1
node_506,0
node_21,1
node_997,1
node_190,1
node_332,0
node_552,1
node_678,1
node_987,1
node_739,1
node_174,1
node_570,0
node_220,1
node_227,1
node_502,0
node_157,0
node_627,1
node_479,0
node_465,1
node_786,1
node_426,1
node_664,1
node_342,1
node_63,1
node_471,1
node_967,0
node_620,1
node_542,1
node_890,1
node_52,0
node_591,1
node_115,1
node_472,1
node_560,1
node_141,0
node_394,0
node_932,1
node_470,1
node_321,0
node_389,0
node_464,1
node_701,1
node_233,1
node_898,1
node_78,1
node_545,1
node_784,1
node_33,1
node_182,0
node_1002,1
node_374,0
node_637,1
node_201,1
node_615,1
node_847,1
node_993,1
node_120,1
node_210,1
node_745,1
node_962,1
node_674,0
node_297,1
node_334,0
node_70,1
node_163,1
node_795,1
node_391,0
node_698,1
node_181,0
node_20,1
node_6,1
