,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_864,33,0.14772727272727273,0.0011211761652016089,0.4334056399132321,2.3073073073073074,0.02344425471696461,15.181,17.819,0.8720279896574016,0.5399696969696968,0.5396325686695091,0.018622492035438788,0.37030636377770304,0.3707759816544325
node_665,38,0.2574679943100996,0.0010415834063390115,0.43415906127770537,2.3033033033033035,0.031015011224601253,24.168,13.832,1.7977991397491397,0.3639999999999999,0.35462069397111734,0.014203761938954873,0.22270508142716647,0.22306983342293438
node_897,38,0.18776671408250356,0.001403290993771131,0.43719912472647704,2.2872872872872874,0.027259741644814577,20.187,17.813,1.1581965129641598,0.4687631578947369,0.5396196883104637,0.01861148035680395,0.3064579725974725,0.3069275562630954
node_145,37,0.20270270270270271,0.0013058962418101303,0.43302990897269183,2.309309309309309,0.026446949386994,18.467,18.533,1.0214964054091764,0.5008918918918918,0.6175030867698442,0.019527796873796667,0.33488076026304675,0.33536926893291114
node_369,43,0.12926829268292683,0.0016108026593679616,0.4536784741144414,2.204204204204204,0.03456429446489338,19.345,23.655,0.8634331699734883,0.5501162790697676,0.6419922120927931,0.024832239525186404,0.38001272823973353,0.3806361928339572
node_793,39,0.13963963963963963,0.0013988126229703606,0.4293081220455522,2.329329329329329,0.023447057699972882,19.724,19.276,1.0972742037245518,0.49425641025641026,0.6557280499776664,0.020330568018307637,0.3295686591770997,0.3300767723498395
node_41,35,0.17803030303030304,0.0010617428750246097,0.42098609355246525,2.3753753753753752,0.022075027248620805,19.173,15.827,1.2537692307692307,0.45220000000000005,0.47961638987446414,0.016517284643168508,0.29249686210342796,0.29291409060848
node_277,38,0.1593172119487909,0.0012903543375349423,0.4402820625826355,2.2712712712712713,0.02853816113071863,22.344,15.656,1.4881893523143523,0.41199999999999987,0.24340612458807226,0.016954259379419894,0.25997566104251035,0.26038845082880085
node_370,40,0.19487179487179487,0.0012294816737952192,0.4459821428571429,2.2422422422422423,0.043522688235371046,22.206,17.794,1.2540487738955228,0.4448500000000001,0.30910415343032444,0.01903547763962363,0.28623458453872735,0.2867037182774478
node_329,35,0.07899159663865546,0.0012448637195101946,0.43434782608695655,2.3023023023023024,0.027527199243839912,16.337,18.663,0.9077876535659041,0.5332285714285713,0.2894337922378282,0.020235788012562716,0.364326760593951,0.3648186393737004
node_467,39,0.20107962213225372,0.0012514822579400204,0.43873517786561267,2.279279279279279,0.03206252478762198,20.226,18.774,1.122601462211679,0.48138461538461536,0.4810711904357717,0.01927667720219715,0.31738111006478353,0.3178760155653834
node_468,34,0.14616755793226383,0.0010366019156863144,0.43796580447172295,2.2832832832832834,0.03139243587982431,18.458,15.542,1.2375210095460094,0.4571176470588235,0.19064355566666175,0.01715635861423852,0.2968497292163646,0.2972594312259325
