,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_300,36,0.27936507936507937,0.0008051317417878585,0.43397046046915727,2.304304304304304,0.035727216188157856,25.195,10.805,2.38388051948052,0.3001388888888888,0.17747962001836384,0.01163919233070582,0.17674397893991375,0.17702894659833004
node_689,40,0.13086770981507823,0.0014692521618406241,0.43989431968295906,2.2732732732732734,0.02766114720629709,21.297,18.703,1.1847011351221877,0.46757499999999985,0.4523020118113221,0.01973914973266155,0.305635305874339,0.3061283674414226
node_482,28,0.1455026455026455,0.0007133677897351784,0.4145228215767635,2.4124124124124124,0.02142216737617398,16.19,11.81,1.405710101010101,0.4217857142857143,0.1830338754914749,0.012822280754784386,0.2676828027958584,0.2679941197151262
node_843,44,0.17019027484143764,0.0016167009860370463,0.44858554108666365,2.229229229229229,0.04037346553161064,24.369,19.631,1.296219378763651,0.4461590909090908,0.3226213400306124,0.021158168529342773,0.28759484589124557,0.28811244301889793
node_605,35,0.10420168067226891,0.0013483443054544179,0.4389279437609842,2.2782782782782784,0.024321858725781596,14.282,20.718,0.7122761226919507,0.591942857142857,0.5984867600125169,0.021737434642789398,0.4211976056055615,0.42174355766834937
node_361,31,0.14193548387096774,0.0008400765529795199,0.43434782608695655,2.3023023023023024,0.029473621035188812,15.352,15.648,1.0248346472971472,0.5047741935483869,0.20120419006191065,0.017164860974220694,0.3383919828439377,0.33880441022884483
node_426,40,0.12233285917496443,0.0011775659519644257,0.44008810572687224,2.2722722722722724,0.03418441633066537,24.498,15.502,1.636656066156066,0.38755000000000006,0.19041018463203888,0.01712858545490176,0.24075217377393585,0.24116095172432167
node_190,39,0.16869095816464239,0.0012110272056336641,0.4334056399132321,2.3073073073073074,0.029811744855250802,25.309,13.691,1.8900479437229436,0.351051282051282,0.2129332325530529,0.014850017781207911,0.21320310355790392,0.21356415957391295
node_90,29,0.15763546798029557,0.0006307285574378852,0.43302990897269183,2.309309309309309,0.029584946069167825,16.329,12.671,1.329085975135975,0.4369310344827585,0.1551303816787008,0.01399640689572201,0.27996718202652515,0.2803011902177229
node_28,33,0.125,0.0011614785133883272,0.4375821287779238,2.285285285285285,0.02367766127936345,14.568,18.432,0.8396593256330871,0.5585454545454547,0.6240228605250508,0.019488574830332117,0.38886204980645517,0.3893477963967295
node_232,39,0.15384615384615385,0.0013826130051315941,0.43567378979502835,2.295295295295295,0.024758157443320043,22.44,16.56,1.424503517148486,0.42461538461538473,0.42544287222221716,0.017568107757701235,0.2702833762797262,0.27071999160069005
node_852,40,0.07051282051282051,0.0017298250676940883,0.45224083295608875,2.2112112112112112,0.031600388598953526,14.561,25.439,0.6009230273413338,0.6359750000000002,0.437908544427362,0.02748901956226504,0.46770621526876127,0.46837649645640905
node_532,33,0.21935483870967742,0.0008539519678286437,0.4258312020460358,2.3483483483483485,0.02414273781820975,18.302,14.698,1.2720538461538458,0.4453939393939393,0.5238224273934534,0.015472896936796926,0.28697867074240546,0.2873661299821604
node_141,41,0.06477732793522267,0.0016852660937210957,0.45203619909502263,2.2122122122122123,0.03049093013112038,12.695,28.305,0.47980479849639834,0.6903658536585364,0.7354791519361729,0.030129900611804674,0.5294371884762905,0.5301828523006997
node_512,33,0.07765151515151515,0.0013098316118567075,0.4385425812115891,2.28028028028028,0.022959204408444164,11.496,21.504,0.5764379184608185,0.6516363636363637,0.5631946118403994,0.017950024203667283,0.4850286168747563,0.48559518410395436
node_923,37,0.33277310924369746,0.0008396014313774584,0.4274711168164313,2.339339339339339,0.025799440349845486,24.315,12.685,1.9675822954822957,0.34283783783783794,0.42209314560154826,0.013339262127774016,0.20712851486336967,0.20746303269438043
node_229,36,0.22063492063492063,0.0009501344358946919,0.44125441696113077,2.2662662662662663,0.040643838514739246,21.213,14.787,1.4422815684315684,0.41075000000000006,0.2571998964207327,0.01581853276204539,0.2586355835420146,0.2590254490749345
node_0,49,0.10459183673469388,0.0022787254695071533,0.46725912067352665,2.14014014014014,0.04407253025134639,24.578,24.422,1.061561176820704,0.4984081632653061,0.2987473986927407,0.027001921371372462,0.3324403760887078,0.33308421991266024
node_674,32,0.07459677419354839,0.0010892153396089557,0.4274711168164313,2.339339339339339,0.0218902660488217,14.377,17.623,0.8694489659635173,0.55071875,0.2771427912829266,0.019166195345794116,0.38136412843318285,0.38182856024668993
node_111,32,0.08870967741935484,0.001192745047811327,0.42564976565828716,2.349349349349349,0.021225529020288215,11.351,20.649,0.586131936862587,0.64528125,0.538399817802996,0.0173179100967623,0.47753875055885475,0.4780828008433705
node_365,41,0.11219512195121951,0.001653782191095066,0.451627486437613,2.214214214214214,0.0362814327782871,19.413,21.587,0.946383624141596,0.5265121951219515,0.3546658981419774,0.023266882062959533,0.35794088803180546,0.3585098799804359
node_464,40,0.14487179487179488,0.001507409898353975,0.4495949594959496,2.224224224224224,0.028253049757261554,19.317,20.683,0.98914984104303,0.5170750000000001,0.49999510635273875,0.021786524105709554,0.3493370450665361,0.34988221914684015
node_735,56,0.14805194805194805,0.002584930492519221,0.4646511627906977,2.1521521521521523,0.04077896249858249,33.429,22.571,1.5481366028028296,0.4030535714285714,0.35011747568459384,0.024462582975647164,0.2527162908957192,0.2533116429788155
node_61,31,0.1032258064516129,0.0009433132301141573,0.4300473525613431,2.325325325325325,0.024550260893757853,15.332,15.668,1.027522243034743,0.5054193548387095,0.20432075951771003,0.017184072324388407,0.3390212630575828,0.33943421667916973
node_789,34,0.09090909090909091,0.0009979067672560567,0.43134715025906734,2.3183183183183185,0.028138828735311188,18.497,15.503,1.2410745476745475,0.4559705882352942,0.19037767858136995,0.0171308848666128,0.2959391729719855,0.29634784793325847
node_384,30,0.15873015873015872,0.0006844357699279777,0.41555740432612315,2.4064064064064064,0.02260178653321987,18.216,11.784,1.5869635364635364,0.3928000000000001,0.19979963396863237,0.012672523680357772,0.24475547313247475,0.24506613811545463
node_772,34,0.21774193548387097,0.0009382291004557142,0.4247448979591837,2.354354354354354,0.021202884355221895,20.318,13.682,1.5475088744588743,0.4024117647058824,0.48902729920573745,0.014346785016679358,0.25234861220960303,0.25270933588599537
node_241,34,0.13903743315508021,0.0009863468310665232,0.43378202344767697,2.305305305305305,0.03168323869809215,18.297,15.703,1.1871417554667556,0.46185294117647063,0.20144016944204787,0.017280817513387225,0.30066909769254113,0.301083039461711
node_119,37,0.21771771771771772,0.0010610843853266357,0.43321769297484825,2.3083083083083085,0.03309842103740873,23.294,13.706,1.748497344322344,0.3704324324324324,0.22530241535129983,0.014761228338242624,0.22759475640433482,0.22795616997151477
node_215,29,0.12807881773399016,0.0008307974511922601,0.4215189873417722,2.3723723723723724,0.021017623775352864,14.406,14.594,1.0242233330395094,0.503241379310345,0.3742855932835051,0.015526880682243779,0.33725407992812767,0.3376387184461939
node_356,45,0.15353535353535352,0.001634363539946666,0.45491803278688525,2.1981981981981984,0.04114710795618496,25.633,19.367,1.3855214578378277,0.43037777777777786,0.23789185072160304,0.021393979614467484,0.2747775512340302,0.2752882238918859
node_760,31,0.15268817204301074,0.00084648314440229,0.4269230769230769,2.3423423423423424,0.02375872958297771,16.288,14.712,1.149995339382839,0.4745806451612905,0.24940128247101975,0.015806803540860333,0.3116568332509763,0.3120446202980689
node_574,38,0.26173541963015645,0.001025160141110373,0.4393139841688654,2.2762762762762763,0.03274759154008031,23.194,14.806,1.609246353646354,0.3896315789473684,0.37963181757414716,0.015189621548135317,0.24217465304955743,0.24256505959435226
node_822,66,0.0873015873015873,0.004023849226121957,0.47959673547767645,2.085085085085085,0.049885125827798686,36.657,29.343,1.295254375197351,0.4445909090909089,0.3826253309682454,0.03223368227162601,0.2863570103797307,0.2871309764152778
node_180,45,0.21483942414174972,0.0012895083800317747,0.44498886414253896,2.2472472472472473,0.04217065833170968,28.379,16.621,1.788503019039784,0.3693555555555556,0.27390232662203867,0.017876017436127562,0.2269176050352293,0.2273559662177498
node_832,41,0.26951219512195124,0.0010854880879041654,0.44047619047619047,2.27027027027027,0.04601628905133493,26.297,14.703,1.817409233903352,0.358609756097561,0.2564973526240204,0.015705719426963895,0.21870906038352161,0.21909681515051624
node_83,33,0.2196969696969697,0.0009128938171598675,0.42098609355246525,2.3753753753753752,0.02570263119211511,18.153,14.847,1.2593350732600732,0.44990909090909076,0.38000755335559483,0.015253631788019199,0.29052368147093416,0.2909150648576631
node_544,38,0.22475106685633,0.0012004277993529148,0.4334056399132321,2.3073073073073074,0.029020727521793972,21.274,16.726,1.3242837822308406,0.4401578947368422,0.45472119706029873,0.017525361406676203,0.2826519809803237,0.2830929460539659
node_477,26,0.18461538461538463,0.0006632028748709586,0.40976210008203445,2.4404404404404403,0.01705548080601869,14.262,11.738,1.2649793035395978,0.4514615384615386,0.30011089507182337,0.012465546730706493,0.2923085393659406,0.2926179267846746
node_567,37,0.18319327731092436,0.0011988069852966925,0.43529411764705883,2.2972972972972974,0.025658284730112654,18.499,18.501,1.0522370135583374,0.500027027027027,0.6170201085047513,0.01942962979085415,0.3341462009930631,0.33463386716238835
node_89,39,0.11336032388663968,0.0014846538750545393,0.4467799642218247,2.2382382382382384,0.03404295789997863,18.411,20.589,0.9182197376797611,0.5279230769230769,0.26422672663780644,0.02264355261161241,0.35925413162827274,0.35979680404163406
node_675,33,0.1893939393939394,0.0007539777575546027,0.42045454545454547,2.3783783783783785,0.025718137940246785,23.273,9.727,2.457815476190476,0.2947575757575758,0.12710012388263095,0.010666106690868482,0.17308343676840254,0.1733399546360489
node_487,33,0.10984848484848485,0.001096514395835108,0.43246753246753245,2.3123123123123124,0.0234032030214638,16.385,16.615,1.050244413919414,0.5034848484848486,0.2872931220418382,0.017874580181770267,0.33738709942988715,0.33782502533881403
node_913,40,0.18717948717948718,0.0015515766282543822,0.4391208791208791,2.2772772772772774,0.026421331806544653,21.313,18.687,1.2137024172344977,0.46717499999999984,0.5413924106197485,0.019542406949586512,0.3054274549297385,0.305920094442686
node_238,37,0.2957957957957958,0.0009669138639265795,0.4294926913155632,2.3283283283283285,0.02851424059787241,24.252,12.748,1.959076642801643,0.3445405405405406,0.3476648679592273,0.013404041620265624,0.20838511778193952,0.20872129521324376
node_51,37,0.16816816816816818,0.0011592479748455458,0.43700787401574803,2.2882882882882885,0.033588608390634225,21.46,15.54,1.4361652777777778,0.42,0.19062658003590213,0.0171536798208447,0.2663115810622856,0.26672129502092934
node_234,62,0.2175141242937853,0.0024584126684246434,0.4707822808671065,2.124124124124124,0.06813884878600122,38.291,23.709,1.6250101056462616,0.38240322580645153,0.41209331643856384,0.025355157641206945,0.23656091262364423,0.2371864254098195
node_454,32,0.11088709677419355,0.001124367613546906,0.4274711168164313,2.339339339339339,0.020301912496550542,14.437,17.563,0.8678710654326756,0.54884375,0.02907291955187351,-0.0037942350197690327,0.37934544010927945,0.3798082938117058
node_21,43,0.14728682170542637,0.0014531583492694367,0.44717994628469115,2.2362362362362362,0.03422605112981594,28.31,14.69,1.97036830946831,0.3416279069767442,0.1915121293840956,0.01615623787208041,0.20628429235486023,0.20667174476619363
node_255,34,0.1408199643493761,0.0011641828263226448,0.436435124508519,2.2912912912912913,0.02434765845191599,14.42,19.58,0.7622870026172657,0.5758823529411764,0.6755836562995872,0.0197652114589099,0.4053561889043103,0.4058721713287492
node_54,37,0.18768768768768768,0.0009703951425620421,0.4383501535761299,2.2812812812812813,0.03475112924215523,24.288,12.712,1.9738332112332113,0.3435675675675677,0.16354255045722146,0.013959891331611619,0.20774855298927436,0.20808378149188586
