,Stability
node_864,0
node_665,0
node_897,0
node_145,1
node_369,0
node_793,1
node_41,0
node_277,0
node_370,0
node_329,0
node_467,0
node_468,1
node_34,1
node_748,0
node_536,1
node_413,1
node_245,1
node_148,0
node_149,1
node_575,0
node_68,0
node_617,1
node_859,0
node_259,0
node_670,0
node_9,1
node_825,1
node_779,0
node_626,1
node_791,1
node_761,0
node_698,0
node_79,0
node_590,0
node_194,0
node_131,1
node_855,0
node_714,1
node_349,0
node_719,0
node_272,1
node_271,0
node_482,0
node_400,1
node_629,0
node_107,1
node_151,1
node_407,0
node_621,0
node_396,1
node_561,0
node_188,1
node_59,0
node_189,1
node_462,1
node_678,0
node_175,0
node_443,0
node_485,1
node_588,1
node_958,0
node_842,0
node_471,0
node_702,1
node_161,1
node_392,0
node_968,1
node_824,0
node_112,1
node_85,1
node_100,1
node_843,0
node_319,0
node_970,1
node_944,0
node_881,1
node_709,0
node_469,0
node_164,0
node_43,0
node_473,0
node_637,1
node_594,1
node_984,1
node_130,0
node_157,1
node_160,0
node_97,1
node_401,0
node_979,0
node_56,1
node_300,0
node_242,1
node_409,1
node_823,0
node_253,0
node_874,1
node_643,1
node_176,1
node_625,0
node_679,0
node_38,1
node_478,0
node_2,0
node_404,1
node_694,1
node_250,1
node_327,0
node_274,0
node_754,1
node_437,0
node_492,1
node_289,0
node_415,0
node_896,1
node_921,1
node_122,0
node_146,1
node_631,0
node_663,1
node_975,1
node_931,1
node_227,1
node_725,1
node_936,1
node_29,1
node_717,0
node_606,1
node_993,1
node_40,0
node_61,1
node_418,1
node_587,0
node_4,1
node_109,0
node_260,1
node_939,1
node_304,0
node_316,0
node_464,0
node_788,0
node_608,1
node_684,0
node_479,1
node_688,1
node_996,0
node_313,1
node_872,0
node_505,1
node_346,0
node_496,1
node_765,0
node_548,1
node_707,0
node_132,1
node_332,0
node_649,0
node_62,1
node_248,0
node_957,0
node_497,0
node_790,1
node_583,1
node_991,1
node_671,1
node_240,1
node_90,1
node_892,1
node_926,1
node_937,1
node_641,0
node_865,0
node_598,0
node_667,0
node_362,0
node_487,0
node_303,0
node_66,1
node_805,1
node_969,1
node_268,0
node_282,1
node_877,1
node_808,1
node_732,0
node_870,0
node_827,0
node_238,0
node_121,1
node_414,0
node_417,0
node_153,0
node_780,0
node_421,0
node_914,1
node_472,0
node_223,0
node_466,1
node_581,1
node_431,1
node_88,0
node_129,0
node_330,0
node_976,1
node_923,1
node_309,1
