,Stability
node_300,0
node_689,0
node_482,1
node_843,0
node_605,0
node_361,1
node_426,1
node_190,1
node_90,1
node_28,1
node_232,1
node_852,1
node_532,1
node_141,1
node_512,1
node_923,1
node_229,0
node_0,1
node_674,1
node_111,1
node_365,0
node_464,0
node_735,1
node_61,1
node_789,1
node_384,0
node_772,1
node_241,1
node_119,0
node_215,1
node_356,1
node_760,0
node_574,0
node_822,1
node_180,0
node_832,0
node_83,0
node_544,0
node_477,1
node_567,1
node_89,1
node_675,1
node_487,1
node_913,0
node_238,0
node_51,1
node_234,0
node_454,1
node_21,1
node_255,1
node_54,1
node_785,0
node_49,0
node_918,1
node_660,1
node_751,1
node_984,1
node_810,0
node_372,1
node_20,0
node_956,1
node_276,1
node_706,1
node_648,0
node_606,1
node_559,0
node_486,0
node_812,1
node_970,1
node_216,0
node_414,0
node_316,0
node_191,1
node_684,0
node_657,1
node_556,1
node_112,1
node_159,1
node_38,1
node_123,0
node_640,1
node_883,1
node_968,1
node_307,1
node_949,0
node_708,1
node_393,1
node_836,0
node_101,1
node_889,1
node_775,1
node_237,0
node_920,1
node_358,0
node_133,1
node_749,0
node_235,0
node_434,1
node_495,1
node_667,0
node_550,0
node_95,1
node_419,1
node_747,1
node_592,1
node_474,1
node_510,1
node_979,1
node_627,0
node_164,0
node_230,1
node_342,0
node_961,0
node_941,1
node_680,1
node_331,1
node_47,0
node_618,0
node_511,1
node_687,0
node_453,1
node_492,1
node_250,1
node_259,0
node_311,1
node_367,1
node_81,1
node_26,0
node_79,1
node_196,1
node_960,1
node_44,1
node_396,1
node_390,0
node_908,0
node_142,1
node_423,0
node_306,1
node_424,1
node_623,1
node_612,0
node_413,1
node_549,1
node_863,0
node_702,1
node_946,1
node_899,1
node_319,1
node_893,0
node_209,0
node_719,1
node_397,0
node_709,0
node_586,1
node_198,1
node_151,1
node_521,1
node_987,1
node_1,0
node_12,1
node_263,1
node_406,1
node_135,0
node_614,1
node_163,1
node_737,1
node_515,0
node_626,1
node_181,1
node_128,0
node_480,0
node_569,1
node_866,0
node_616,0
node_57,1
node_840,1
node_245,1
node_186,0
node_343,1
node_294,1
node_986,1
node_56,1
node_496,1
node_59,1
node_540,1
node_829,1
node_845,1
node_17,1
node_359,1
node_211,1
node_267,0
node_848,1
node_228,1
node_842,1
node_279,1
node_531,0
node_922,1
node_663,1
node_105,1
node_70,0
node_337,1
node_323,0
node_120,1
node_281,0
node_844,1
node_497,0
node_485,1
node_783,0
node_322,1
node_659,1
node_456,0
node_794,1
node_24,0
node_296,1
node_85,1
node_596,0
