,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_757,5,0.3333333333333333,5.193238274358284e-06,0.31694311635060285,3.095431472081218,0.0011815899347883275,4.998,0.002,4.9965,0.0004,4.842615012106538e-06,3.3783783783783788e-06,0.00025,0.00025005986590038315
node_852,6,0.0,2.638481144855193e-05,0.3190358407900257,3.0751269035532993,0.0009332875523198293,5.94,0.06,5.94,0.01,6.489841990918269e-05,0.0010889316432164393,0.005454545454545455,0.005456341700391636
node_931,17,0.5142857142857142,9.962423165045784e-05,0.36729743890269406,2.671065989847716,0.005757295485852913,16.997,0.003,16.987666666666666,0.00017647058823529413,7.263922518159807e-06,5.067567567567568e-06,9.67741935483871e-05,9.686404888130109e-05
node_606,1,0.0,0.0,0.3118294810432359,3.146192893401015,0.0007997653072160178,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_888,1,0.0,0.0,0.2972499420956592,3.300507614213198,0.00046609210810007645,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_550,27,0.5584045584045584,6.524108990230821e-05,0.4216228454419669,2.326903553299492,0.02675398733654781,26.995,0.005,26.977400000000003,0.00018518518518518518,1.2106537530266343e-05,8.445945945945946e-06,0.00010204081632653062,0.00010219063803869315
node_726,20,0.49019607843137253,4.1377567980514076e-05,0.410169593273764,2.3918781725888323,0.01864978845687181,19.997,0.003,19.985666666666663,0.00015,7.263922518159807e-06,5.067567567567568e-06,8.108108108108109e-05,8.117095256485929e-05
node_122,27,0.3333333333333333,0.0002984518452202655,0.3739781585731378,2.6233502538071067,0.008585777536702663,26.999,0.001,26.999,3.7037037037037037e-05,1.8148820326678766e-06,2.2026431718061677e-06,1.8867924528301885e-05,1.8897899648951746e-05
node_799,7,0.19047619047619047,7.939040648132326e-05,0.3843912337919602,2.552284263959391,0.005086523469103412,6.998,0.002,6.9955,0.0002857142857142857,4.842615012106538e-06,3.3783783783783788e-06,0.00016666666666666666,0.00016672653973576017
node_322,28,0.5784615384615385,0.0016016303436137236,0.3792619944085511,2.5868020304568526,0.008899688663662853,27.998,0.002,27.985,7.142857142857142e-05,4.842615012106538e-06,3.3783783783783788e-06,3.7037037037037037e-05,3.70969854813749e-05
node_706,12,0.30303030303030304,0.0005104561558574729,0.3686988026527997,2.660913705583756,0.005016866931177211,11.998,0.002,11.993,0.00016666666666666666,3.6297640653357532e-06,4.4052863436123355e-06,9.090909090909092e-05,9.096898190747385e-05
node_13,180,0.11089951120421507,0.023564989570690153,0.503050266399265,1.950253807106599,0.0856933490779659,179.227,0.773,155.56664705882352,0.0042944444444444445,0.0009152187523575637,0.006304535338718891,0.0022128597167664975,0.0022362268681259934
node_874,3,1.0,0.0,0.3205172675797639,3.0609137055837565,0.0011044275888812286,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
node_282,137,0.24452554744525548,0.0071875088295410994,0.49103636267936385,1.9979695431472082,0.0979210920373059,136.787,0.213,136.68791428571427,0.0015547445255474452,0.00028464964248932074,0.0016139263030606403,0.0007984581666590034,0.0008048820105071164
node_733,15,0.28205128205128205,0.00044439469601193507,0.3641143789574182,2.6944162436548225,0.004484409220061725,14.994,0.006,14.9865,0.0004,1.0889292196007258e-05,1.3215859030837005e-05,0.00025,0.00025017964071856285
node_60,55,0.4020319303338171,0.0006586527259581002,0.405352165164844,2.4203045685279188,0.02069570533902065,54.995,0.005,54.955,9.090909090909092e-05,9.074410163339384e-06,1.1013215859030838e-05,4.7619047619047614e-05,4.7769121155080275e-05
node_31,50,0.4122340425531915,0.0003986822881947071,0.418156452511029,2.3461928934010152,0.03398780913953709,49.984,0.016,49.952125,0.00032,2.9038112522686026e-05,3.5242290748898684e-05,0.00019047619047619045,0.0001909558067831449
node_431,25,0.4268774703557312,0.00014817668689232777,0.41191797176171696,2.381725888324873,0.019054670024011344,24.817,0.183,24.802333333333337,0.00732,0.00020940494156003773,0.0015778917295260668,0.003737299174989144,0.0037427839482728096
node_33,30,0.5793650793650794,0.0002306047334583447,0.39346887693525573,2.4934010152284265,0.015698973867314593,29.998,0.002,29.984,6.666666666666667e-05,3.6297640653357532e-06,4.4052863436123355e-06,3.4482758620689657e-05,3.454271425352136e-05
node_954,7,0.8571428571428571,7.293437262709156e-07,0.36356642654363736,2.698477157360406,0.0076611817939037504,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
node_465,17,0.20952380952380953,8.450973856413578e-05,0.38030679329121925,2.5796954314720812,0.0068503305220745546,16.814,0.186,16.804833333333335,0.010941176470588235,0.00021666886407819755,0.0015829592970936343,0.005668831168831169,0.00567440312009286
node_543,43,0.3,0.003851217497910848,0.41617552185744533,2.3573604060913707,0.027453960519453192,42.848,0.152,42.81958333333333,0.0035348837209302326,0.0001791251996881033,0.0012420348611054761,0.001809220985691574,0.0018137812224285903
node_670,2,0.0,0.0,0.0,0.0,1.551750542397768e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_368,47,0.3838383838383838,0.0012538170767905643,0.4312180105992807,2.2751269035532995,0.02422312490454956,46.987,0.013,46.955615384615385,0.0002765957446808511,2.3593466424682398e-05,2.8634361233480178e-05,0.00016049382716049382,0.00016088355045695333
node_752,5,0.5,4.260223858833963e-06,0.37572300223677607,2.6111675126903555,0.006522484211081455,4.999,0.001,4.999,0.0002,2.421307506053269e-06,1.6891891891891894e-06,0.0001111111111111111,0.00011114104674948858
node_59,53,0.52,0.0006158344070768875,0.41456866656069846,2.366497461928934,0.024823497492379613,52.992,0.008,52.952625,0.00015094339622641508,1.4519056261343013e-05,1.7621145374449342e-05,8.163265306122448e-05,8.187267706362472e-05
node_455,64,0.3532522474881015,0.0011544906210704704,0.40791876815237993,2.4050761421319797,0.029876506170327825,63.997,0.003,63.95633333333333,4.6875e-05,5.444646098003629e-06,6.607929515418502e-06,2.4e-05,2.4090109031928635e-05
node_815,19,0.6323529411764706,2.8987796073115795e-05,0.37354447690490455,2.6263959390862945,0.00983801708799579,18.996,0.004,18.98475,0.00021052631578947367,7.2595281306715064e-06,8.810572687224671e-06,0.00011764705882352942,0.00011776686952262484
node_178,36,0.31016042780748665,0.000733484835818732,0.3910803568405456,2.5086294416243655,0.010778729829086143,35.818,0.182,35.801,0.005055555555555555,0.00020577078310721365,0.0015772294483021117,0.0025637826961770623,0.002569241107839732
node_486,74,0.2762128325508607,0.0020004555487390845,0.460829547807815,2.1289340101522845,0.05109377611735298,73.983,0.017,73.92935294117648,0.00022972972972972974,3.08529945553539e-05,3.7444933920704846e-05,0.00012977099236641222,0.0001302812730207721
