,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_907,14,0.5,0.0001348379976349086,0.3425592207561106,2.863959390862944,0.0035535515206980427,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
node_580,2,0.0,0.0,0.0,0.0,1.551750542397768e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_272,49,0.25809435707678074,0.0018460110459629668,0.42070507694949416,2.331979695431472,0.021570874511547784,48.989,0.011,48.954454545454546,0.00022448979591836734,2.6634382566585957e-05,1.8581081081081082e-05,0.00012643678160919542,0.0001267666463646457
node_837,3,0.0,0.0,0.34159051316825306,2.872081218274112,0.001836290067606,2.0,1.0,2.0,0.33333333333333326,1.0,0.0009960159362549796,0.20000000000000004,0.20002993205423678
node_321,57,0.35622895622895623,0.004344900879161331,0.43179605082796607,2.2720812182741117,0.019687980506284064,56.933,0.067,56.890125,0.0011754385964912282,7.760259413785782e-05,0.0011043501454190824,0.0005975955919185172,0.0005996073921132805
node_617,6,0.6666666666666666,1.6607898225454595e-05,0.32363012784761824,3.0314720812182743,0.0017126475779720139,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
node_600,13,0.5454545454545454,3.816103480068494e-05,0.35540991605479516,2.7604060913705584,0.006239957976301982,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
node_952,8,0.5333333333333333,6.040843377627248e-06,0.3344962138293486,2.932994923857868,0.0034222798825685277,7.999,0.001,7.999,0.000125,2.421307506053269e-06,1.6891891891891894e-06,6.666666666666667e-05,6.669660768286476e-05
node_436,3,1.0,0.0,0.33004083393203143,2.9725888324873098,0.002164286578170927,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
node_562,32,0.36551724137931035,0.0005442378652056958,0.42199107500130484,2.3248730964467006,0.016013079466895935,31.818,0.182,31.803,0.0056875,0.00020577078310721365,0.0015772294483021117,0.0028894009216589864,0.0028948580239980927
node_658,2,0.0,0.0,0.0,0.0,1.551750542397768e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_441,55,0.3367003367003367,0.0018372345103298627,0.43766284499682434,2.2416243654822336,0.037206894475029686,50.261,4.739,45.24453006447744,0.08616363636363636,0.060110514810246644,0.005560717926069431,0.05655417273489563,0.056696141425890315
node_164,48,0.33816425120772947,0.0018375154341104495,0.4253343141518433,2.3065989847715738,0.025028007862098856,47.985,0.015,47.9542,0.0003125,3.6319612590799026e-05,2.533783783783784e-05,0.00018518518518518518,0.0001856348119949331
node_259,31,0.270935960591133,0.00048107987221949924,0.39751524547634226,2.468020304568528,0.013673002612591655,30.995,0.005,30.9742,0.00016129032258064516,1.2106537530266343e-05,8.445945945945946e-06,8.771929824561403e-05,8.786915588086054e-05
node_502,25,0.5731225296442688,0.00012342164461440826,0.35698543101329444,2.748223350253807,0.005450086386676107,24.624,0.376,22.5065,0.015040000000000001,0.004835981853305404,0.00040657244960428106,0.007852854971775944,0.007864123134221577
node_396,14,0.9120879120879121,3.0780526785653893e-06,0.35153130656711096,2.7908629441624364,0.0049694838795395855,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
node_458,49,0.37465309898242366,0.001073138935181759,0.442675016836,2.216243654822335,0.036711880878658884,48.99,0.01,48.9549,0.00020408163265306123,1.8148820326678767e-05,2.2026431718061676e-05,0.00011363636363636364,0.00011393626766707381
node_968,4,1.0,0.0,0.31487766756369767,3.115736040609137,0.000940379956178892,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
node_74,93,0.22808302808302808,0.004400969136447462,0.45199231139054635,2.170558375634518,0.051138447657645233,92.803,0.197,92.7314705882353,0.002118279569892473,0.00024330324664478348,0.0016015403781747155,0.0010735646889493044,0.0010794925073777484
node_981,27,0.7666666666666667,4.074871349319185e-05,0.3617969156694077,2.7116751269035535,0.010344703868878194,26.999,0.001,26.999,3.7037037037037037e-05,1.8148820326678766e-06,2.2026431718061677e-06,1.8867924528301885e-05,1.8897899648951746e-05
node_680,1,0.0,0.0,0.2915111800159843,3.3654822335025383,0.00019849275661010607,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_975,1,0.0,0.0,0.30532687575133904,3.213197969543147,0.00034881254132071427,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
