,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
node_757,5,0.3333333333333333,5.193238274358284e-06,0.31694311635060285,3.095431472081218,0.0011815899347883275,4.998,0.002,4.9965,0.0004,4.842615012106539e-06,3.3783783783783788e-06,0.00025,0.00025005986590038315,0.0031675422219609073
node_852,6,0.0,2.638481144855193e-05,0.3190358407900257,3.0751269035532998,0.0009332875523198293,5.94,0.06,5.94,0.01,6.489841990918269e-05,0.0010889316432164393,0.005454545454545455,0.005456341700391636,0.0
node_931,17,0.5142857142857142,9.962423165045784e-05,0.3672974389026941,2.671065989847716,0.005757295485852913,16.997,0.003,16.987666666666666,0.00017647058823529413,7.263922518159807e-06,5.067567567567568e-06,9.67741935483871e-05,9.686404888130108e-05,0.016893558517124842
node_606,1,0.0,0.0,0.3118294810432359,3.1461928934010155,0.0007997653072160177,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
node_888,1,0.0,0.0,0.2972499420956592,3.3005076142131986,0.00046609210810007645,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
node_550,27,0.5584045584045584,6.524108990230822e-05,0.4216228454419669,2.3269035532994917,0.02675398733654781,26.995,0.005,26.977400000000006,0.0001851851851851852,1.2106537530266345e-05,8.445945945945946e-06,0.00010204081632653062,0.00010219063803869316,0.029563727404968477
node_726,20,0.4901960784313725,4.137756798051408e-05,0.41016959327376395,2.3918781725888323,0.018649788456871808,19.997,0.003,19.985666666666663,0.00015,7.263922518159807e-06,5.067567567567568e-06,8.108108108108109e-05,8.117095256485929e-05,0.02006110073908575
node_122,27,0.3333333333333333,0.0002984518452202655,0.3739781585731378,2.6233502538071067,0.008585777536702663,26.999000000000002,0.001,26.999000000000002,3.703703703703704e-05,1.8148820326678768e-06,2.202643171806168e-06,1.8867924528301885e-05,1.8897899648951746e-05,0.027452032590327878
node_799,7,0.19047619047619047,7.939040648132325e-05,0.3843912337919602,2.552284263959391,0.005086523469103411,6.997999999999999,0.002,6.9955,0.0002857142857142857,4.842615012106539e-06,3.3783783783783788e-06,0.00016666666666666666,0.00016672653973576014,0.005279237036601515
node_322,28,0.5784615384615385,0.0016016303436137233,0.3792619944085511,2.5868020304568526,0.008899688663662853,27.998,0.002,27.985,7.142857142857142e-05,4.842615012106539e-06,3.3783783783783788e-06,3.703703703703704e-05,3.7096985481374895e-05,0.028507879997648165
node_706,12,0.30303030303030304,0.0005104561558574728,0.3686988026527997,2.660913705583756,0.005016866931177211,11.998,0.002,11.993,0.00016666666666666666,3.629764065335753e-06,4.405286343612336e-06,9.090909090909092e-05,9.096898190747384e-05,0.011614321480523332
node_13,180,0.11089951120421508,0.023564989570690156,0.503050266399265,1.9502538071065991,0.0856933490779659,179.227,0.773,155.56664705882352,0.004294444444444445,0.0009152187523575637,0.006304535338718891,0.0022128597167664975,0.0022362268681259934,0.18782859258712328
node_874,3,1.0,0.0,0.3205172675797639,3.0609137055837565,0.0011044275888812288,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.004223389629281211
node_282,137,0.2445255474452555,0.007187508829541099,0.4910363626793639,1.997969543147208,0.0979210920373059,136.787,0.213,136.68791428571427,0.0015547445255474452,0.00028464964248932074,0.0016139263030606405,0.0007984581666590034,0.0008048820105071164,0.14541491887939906
node_733,15,0.28205128205128205,0.0004443946960119352,0.3641143789574182,2.6944162436548225,0.004484409220061725,14.994000000000002,0.006,14.9865,0.0004,1.0889292196007257e-05,1.3215859030837006e-05,0.00025,0.00025017964071856285,0.014781863702484238
node_60,55,0.4020319303338171,0.0006586527259581003,0.405352165164844,2.4203045685279188,0.02069570533902065,54.995,0.005,54.955,9.090909090909092e-05,9.074410163339384e-06,1.1013215859030838e-05,4.761904761904762e-05,4.776912115508028e-05,0.05701575999529633
node_31,50,0.4122340425531915,0.0003986822881947071,0.418156452511029,2.3461928934010152,0.033987809139537084,49.983999999999995,0.016,49.952125,0.00032,2.9038112522686022e-05,3.524229074889869e-05,0.00019047619047619043,0.0001909558067831449,0.05173652295869484
node_431,25,0.4268774703557312,0.00014817668689232777,0.41191797176171696,2.381725888324873,0.019054670024011344,24.816999999999997,0.183,24.802333333333333,0.00732,0.00020940494156003773,0.0015778917295260668,0.0037372991749891438,0.003742783948272809,0.025048314444884534
node_33,30,0.5793650793650794,0.00023060473345834468,0.3934688769352557,2.4934010152284265,0.01569897386731459,29.998,0.002,29.984,6.666666666666667e-05,3.629764065335753e-06,4.405286343612336e-06,3.4482758620689657e-05,3.454271425352136e-05,0.029563727404968477
node_954,7,0.8571428571428571,7.293437262709156e-07,0.36356642654363736,2.698477157360406,0.00766118179390375,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.008446779258562421
node_465,17,0.20952380952380956,8.450973856413578e-05,0.3803067932912193,2.579695431472081,0.006850330522074554,16.814,0.18600000000000003,16.804833333333335,0.010941176470588235,0.00021666886407819755,0.0015829592970936345,0.005668831168831169,0.00567440312009286,0.016601535186322115
node_543,43,0.3,0.0038512174979108476,0.4161755218574453,2.3573604060913707,0.027453960519453192,42.848,0.152,42.81958333333333,0.003534883720930233,0.00017912519968810332,0.001242034861105476,0.0018092209856915738,0.0018137812224285907,0.04199795202275228
node_670,2,0.0,0.0,0.0,0.0,1.5517505423977679e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
node_368,47,0.3838383838383838,0.0012538170767905645,0.4312180105992807,2.2751269035532995,0.02422312490454956,46.986999999999995,0.013000000000000001,46.955615384615385,0.0002765957446808511,2.35934664246824e-05,2.8634361233480175e-05,0.00016049382716049382,0.00016088355045695333,0.048568980736733935
