,Stability
node_757,1
node_852,0
node_931,1
node_606,1
node_888,0
node_550,1
node_726,1
node_122,0
node_799,1
node_322,1
node_706,0
node_13,0
node_874,0
node_282,1
node_733,0
node_60,0
node_31,0
node_431,1
node_33,0
node_954,1
node_465,1
node_543,0
node_670,0
node_368,0
node_752,1
node_59,0
node_455,0
node_815,0
node_178,0
node_486,0
node_459,1
node_100,1
node_974,0
node_73,1
node_993,0
node_93,0
node_148,0
node_523,0
node_658,0
node_87,1
node_854,1
node_689,0
node_712,0
node_246,1
node_547,0
node_17,1
node_538,0
node_347,0
node_408,0
node_394,0
node_687,1
node_159,1
node_710,1
node_945,0
node_749,0
node_29,0
node_295,0
node_773,0
node_174,1
node_450,0
node_14,0
node_802,0
node_448,1
node_366,1
node_816,0
node_3,0
node_517,0
node_940,0
node_105,1
node_674,1
node_300,1
node_975,0
node_926,1
node_817,0
node_363,1
node_699,1
node_961,0
node_483,0
node_544,0
node_198,0
node_277,0
node_704,0
node_374,1
node_402,0
node_746,0
node_212,1
node_35,0
node_671,1
node_591,1
node_245,0
node_680,0
node_902,0
node_585,0
node_20,1
node_638,1
node_618,1
node_495,1
node_570,1
node_810,1
node_814,0
node_484,0
node_158,1
node_383,0
node_392,0
node_666,1
node_170,0
node_110,1
node_467,1
node_352,0
node_645,1
node_2,0
node_405,1
node_991,0
node_463,0
node_375,1
node_856,0
node_261,0
node_946,1
node_892,1
node_338,0
node_475,1
node_64,0
node_474,1
node_389,0
node_1004,0
node_373,1
node_216,1
node_379,0
node_360,1
node_539,0
node_85,1
node_247,1
node_654,1
node_358,1
node_81,1
node_560,1
node_611,0
node_255,1
node_356,1
node_103,0
node_176,0
node_686,1
node_627,1
node_337,0
node_768,1
node_623,0
node_340,1
node_835,0
node_163,1
node_774,0
node_761,0
node_735,1
node_66,1
node_535,1
node_588,0
node_565,1
node_525,1
node_160,0
node_897,0
node_258,1
node_635,0
node_786,0
node_788,0
node_86,0
node_38,0
node_598,1
node_511,0
node_275,0
node_97,1
node_709,1
node_8,1
node_755,0
node_806,0
node_290,0
node_649,1
node_451,1
node_426,0
node_573,1
node_781,0
node_593,0
node_118,1
node_546,1
node_298,1
node_321,0
node_904,0
node_58,1
node_872,0
node_942,1
node_858,1
node_696,1
node_447,1
node_202,0
node_327,1
node_656,0
node_572,0
node_901,1
node_430,0
node_843,1
node_204,0
node_762,0
node_899,0
node_43,1
node_813,0
node_238,1
node_168,0
node_127,1
node_999,1
node_449,1
node_382,0
node_457,0
node_74,1
node_205,0
node_145,1
node_206,0
node_485,0
node_721,0
node_753,0
node_200,0
node_390,0
node_343,0
node_592,1
node_289,0
node_27,0
node_955,0
node_152,1
node_72,1
node_531,1
node_410,1
node_9,1
node_900,0
node_562,0
node_521,1
node_307,0
node_701,1
node_354,1
node_40,0
node_399,0
node_615,1
node_209,1
node_867,0
node_643,1
node_923,0
node_707,1
node_943,0
node_132,1
node_966,1
node_789,0
node_767,1
node_850,0
node_818,1
node_982,1
node_719,0
node_185,1
node_959,0
node_211,0
node_192,0
node_893,1
node_391,0
node_398,0
node_825,0
node_263,0
node_188,1
node_55,0
node_264,1
node_652,1
node_791,0
node_331,1
node_622,1
node_57,0
node_838,1
node_910,0
node_218,1
node_895,0
node_568,0
node_461,1
node_842,0
node_983,0
node_12,1
node_811,1
node_222,1
node_824,0
node_812,1
node_996,1
node_792,1
node_830,1
node_83,1
node_508,1
node_432,1
node_129,0
node_423,0
node_257,0
node_280,0
node_165,0
node_660,0
node_836,0
node_345,0
node_348,0
node_537,0
node_184,1
node_894,1
node_252,1
node_130,0
node_779,1
node_507,1
node_668,0
node_181,0
node_101,1
node_763,0
node_5,0
node_326,1
node_248,1
node_276,0
node_580,0
node_274,1
node_139,1
node_801,0
node_380,0
node_378,0
node_558,1
node_624,1
node_415,1
node_369,0
node_698,0
node_837,0
node_395,0
node_286,0
node_780,1
node_454,1
node_355,1
node_210,1
node_673,0
node_142,1
node_947,0
node_629,0
node_958,1
node_998,0
node_328,1
node_641,1
node_500,1
node_509,1
node_732,0
node_576,0
node_917,0
node_518,1
node_478,1
node_82,1
node_665,1
node_285,0
node_281,0
node_186,1
node_578,1
node_740,1
node_288,1
node_311,1
node_336,0
node_241,1
node_254,1
node_717,0
node_633,0
node_61,0
node_529,1
node_797,0
node_48,0
node_772,0
node_65,0
node_361,0
node_950,1
node_156,0
node_183,0
node_840,0
node_133,0
node_396,0
node_751,0
node_497,1
node_400,1
node_421,0
node_302,0
node_536,1
node_436,0
node_925,0
node_569,1
node_994,0
node_137,1
node_646,0
node_971,0
node_443,0
node_864,0
node_705,0
node_987,0
node_969,1
node_584,0
node_613,1
node_617,1
node_244,1
node_197,0
node_501,1
node_1,1
node_468,1
node_304,0
node_561,1
node_102,0
node_433,1
node_607,1
node_903,0
node_672,1
node_579,1
node_381,0
node_754,1
node_581,0
node_412,0
node_413,0
node_221,1
node_287,1
node_490,1
node_747,1
node_612,1
node_437,0
node_46,1
node_787,1
node_620,0
node_453,1
node_595,0
node_36,0
node_783,1
node_268,1
node_596,1
node_203,0
node_626,1
node_758,1
node_488,1
node_918,0
node_878,0
node_914,0
node_677,0
node_628,0
node_939,0
node_45,1
node_742,1
node_937,1
node_1001,0
node_853,1
node_353,1
node_703,0
node_868,0
node_905,1
node_679,1
node_250,0
node_976,0
node_435,1
node_657,1
node_577,1
node_663,1
node_67,1
node_480,1
node_965,0
node_265,1
node_653,0
node_167,0
node_748,1
node_881,0
node_927,1
node_135,0
node_823,1
node_944,1
node_367,0
node_182,0
node_333,1
node_808,0
node_223,1
node_720,1
node_722,0
node_324,1
node_795,0
node_990,0
node_933,1
node_738,0
node_434,1
node_916,1
node_887,1
node_833,0
node_846,0
node_319,1
node_739,1
node_548,1
node_235,1
node_766,1
node_750,0
node_116,0
node_80,1
node_41,0
node_30,0
node_957,1
node_309,1
node_313,1
node_219,0
node_267,1
node_335,1
node_458,0
node_189,1
node_499,1
node_685,0
node_737,0
node_372,1
node_602,1
node_597,1
node_681,0
node_377,0
node_849,0
node_411,0
node_229,0
node_446,1
node_770,1
node_51,0
node_422,1
node_141,1
node_140,1
node_115,0
node_871,0
node_344,0
node_644,0
node_953,0
node_502,1
node_52,0
node_919,0
node_18,1
node_406,1
node_357,1
node_575,0
node_120,1
node_109,1
node_636,0
node_47,0
node_444,0
node_117,1
node_172,0
node_136,0
node_745,1
node_883,0
node_921,0
node_320,0
node_262,0
node_305,0
node_640,1
node_161,1
node_359,1
node_62,1
node_231,0
node_323,1
node_98,1
node_234,1
node_228,1
node_409,0
node_552,0
node_362,0
node_124,1
node_113,0
node_232,0
node_651,1
node_911,1
node_557,0
node_34,0
node_16,1
node_526,0
node_545,0
node_96,0
node_376,0
node_125,1
node_175,1
node_259,1
node_239,1
node_150,0
node_99,1
node_661,1
node_759,1
node_293,1
node_217,1
node_155,1
node_341,1
node_556,0
node_648,0
node_540,1
node_734,0
node_153,1
node_566,1
node_312,1
node_37,0
node_667,1
node_909,1
node_22,1
node_728,1
node_28,0
node_984,1
node_63,0
node_821,1
node_84,1
node_898,1
node_473,1
node_284,0
node_310,1
node_866,0
node_314,1
node_862,0
node_283,1
node_549,1
node_844,0
node_494,0
node_68,1
node_619,0
node_505,1
node_131,0
node_201,0
node_462,1
node_510,1
node_885,1
node_563,0
node_796,1
node_632,0
node_718,0
node_90,1
node_809,0
node_388,0
node_417,0
node_164,1
node_452,1
node_44,0
node_54,0
node_53,0
node_605,0
node_988,0
node_972,1
node_471,1
node_401,0
node_992,0
node_442,0
node_26,0
node_826,0
node_963,1
node_318,0
node_637,1
node_827,1
node_476,1
node_949,0
node_317,1
node_951,1
node_315,1
node_179,0
node_913,1
node_616,1
node_387,0
node_464,0
node_173,1
node_279,1
node_851,0
node_979,1
node_493,0
node_104,0
node_964,0
node_346,0
node_977,1
node_528,0
node_49,1
node_582,1
node_860,0
node_515,0
node_330,0
node_407,1
node_301,1
node_886,1
node_143,1
node_694,0
node_741,0
node_530,1
node_89,0
node_278,0
node_995,0
node_713,1
node_299,1
node_968,1
node_533,0
node_600,0
node_820,0
node_776,0
node_520,0
node_440,0
node_669,1
node_243,1
node_512,1
node_997,0
node_922,1
node_604,0
node_251,0
node_662,1
node_196,0
node_771,1
node_1003,1
node_50,1
node_429,1
node_425,0
node_498,1
node_460,1
node_489,1
node_106,1
node_191,0
node_138,0
node_385,0
node_166,1
node_631,1
node_760,1
node_134,1
node_75,0
node_1002,1
node_970,0
node_364,1
node_42,1
node_690,1
node_798,0
node_697,1
node_207,0
node_270,0
node_491,1
node_260,1
node_659,0
node_688,0
node_225,1
node_764,0
node_11,1
node_169,0
node_967,1
node_889,1
node_664,0
node_952,1
node_456,1
node_692,0
node_466,1
node_522,0
node_351,0
node_39,0
node_876,1
node_891,1
node_554,1
node_884,0
node_865,0
node_325,1
node_371,1
node_678,1
node_397,0
node_928,0
node_199,0
node_956,1
node_15,1
node_427,1
node_6,0
node_514,1
node_614,1
node_729,1
node_424,1
node_193,0
node_929,1
node_793,1
node_332,1
node_487,1
node_71,1
node_962,1
node_177,0
node_564,1
node_370,0
node_419,1
node_828,1
node_655,0
node_599,0
node_870,0
node_848,1
node_682,0
node_790,0
node_180,0
node_775,1
node_149,0
node_10,1
node_906,0
node_716,0
node_95,0
node_414,1
node_126,0
node_25,0
node_112,1
node_441,1
node_88,0
node_782,0
node_727,0
node_935,1
node_822,0
node_69,1
node_857,1
node_121,1
node_77,1
node_973,0
node_428,1
node_777,0
node_603,1
node_567,1
node_693,1
node_832,0
node_642,1
node_650,1
