,Stability
node_907,0
node_580,0
node_272,0
node_837,0
node_321,0
node_617,0
node_600,0
node_952,0
node_436,0
node_562,0
node_658,0
node_441,1
node_164,0
node_259,0
node_502,1
node_396,0
node_458,0
node_968,0
node_74,0
node_981,0
node_680,0
node_975,0
node_776,0
node_566,1
node_644,0
node_100,0
node_207,0
node_953,0
node_33,0
node_339,0
node_335,0
node_501,1
node_679,0
node_319,0
node_988,0
node_725,0
node_357,0
node_62,0
node_813,0
node_797,0
node_39,0
node_533,0
node_69,0
node_121,0
node_108,0
node_747,0
node_291,0
node_176,0
node_585,0
node_906,0
node_772,0
node_932,0
node_710,0
node_1004,0
node_514,0
node_358,1
node_232,0
node_887,0
node_386,0
node_188,0
node_961,0
node_208,0
node_640,0
node_327,0
node_892,0
node_298,0
node_581,0
node_851,0
node_354,0
node_578,0
node_403,0
node_20,0
node_866,0
node_49,0
node_542,0
node_997,0
node_840,0
node_114,0
node_155,0
node_623,0
node_963,0
node_107,0
node_183,0
node_165,0
node_843,0
node_695,0
node_534,0
node_311,0
node_786,0
node_461,0
node_855,0
node_233,0
node_41,0
node_814,0
node_812,0
node_985,0
node_879,0
node_922,1
node_869,0
node_278,0
node_68,0
node_262,0
node_841,0
node_196,0
node_103,0
node_277,0
node_427,0
node_158,0
node_560,0
node_628,0
node_901,0
node_8,1
node_966,0
node_520,0
node_656,0
node_190,0
node_194,0
node_54,0
node_632,0
node_21,0
node_303,0
node_858,0
node_45,0
node_978,0
node_460,0
node_789,0
node_852,0
node_891,0
node_469,0
node_774,0
node_727,0
node_861,0
node_285,0
node_117,0
node_212,0
node_598,0
node_755,0
node_342,0
node_422,0
node_951,1
node_863,0
node_949,0
node_714,0
node_506,1
node_681,0
node_175,0
node_415,0
node_463,0
node_464,0
node_973,0
node_784,0
node_178,0
node_491,0
node_936,0
node_712,0
node_476,0
node_221,0
node_238,0
node_151,0
node_389,0
node_408,0
node_130,0
node_829,0
node_309,0
node_902,0
node_418,0
node_270,0
node_559,0
node_530,1
node_819,0
node_452,1
node_307,0
node_182,0
node_198,0
node_999,0
node_646,0
node_492,0
node_32,0
node_715,0
node_356,0
node_567,0
node_557,0
node_220,0
node_826,0
node_697,0
node_479,0
node_696,0
node_202,0
node_63,0
node_544,0
node_234,0
node_404,0
node_938,0
node_934,0
node_93,0
node_773,0
node_937,0
node_933,0
node_792,0
node_149,0
node_496,1
node_730,0
node_959,0
node_199,0
node_217,0
node_478,0
node_775,0
node_974,0
node_709,0
node_800,0
node_384,0
node_838,0
node_18,0
node_561,0
node_864,0
node_323,0
node_911,0
node_754,1
node_480,0
node_660,0
node_849,0
node_650,0
node_832,0
node_205,0
node_674,1
node_269,0
node_721,0
node_334,0
node_686,0
node_604,0
node_146,0
node_569,1
node_758,0
node_442,0
node_1001,0
node_688,0
node_456,0
node_187,0
node_343,0
node_102,0
node_993,0
node_711,0
node_909,0
node_260,0
node_482,0
node_85,0
node_99,0
node_439,0
node_905,0
node_669,0
node_251,0
node_243,0
node_498,1
node_507,0
node_881,0
node_691,0
node_433,0
node_807,0
node_440,0
node_540,0
node_290,0
node_295,0
node_532,0
node_352,0
node_96,0
node_115,0
node_449,0
node_428,0
node_873,0
node_105,0
node_128,0
node_505,1
node_550,0
node_651,0
node_510,1
node_264,1
node_824,0
node_915,0
node_531,0
node_779,0
node_470,0
node_353,0
node_138,0
node_731,0
node_587,0
node_733,0
node_524,0
node_756,0
node_347,0
node_633,0
node_276,0
node_996,1
node_888,0
node_982,0
node_139,0
node_104,0
node_50,0
node_766,0
node_329,0
node_377,0
node_257,0
node_109,0
node_1002,0
node_94,0
node_466,1
node_950,0
node_419,0
node_742,0
node_16,0
node_768,0
node_131,0
node_454,0
node_890,0
node_191,0
node_706,0
node_678,0
node_960,0
node_537,0
node_29,0
node_236,0
node_83,0
node_822,0
node_333,0
node_315,0
node_522,0
node_503,1
node_806,0
node_412,0
node_64,0
node_35,0
node_363,0
node_279,0
node_903,0
node_667,0
node_26,0
node_596,0
node_638,0
node_816,0
node_694,0
node_381,0
node_676,0
node_607,0
node_624,0
node_808,0
node_778,0
node_0,0
node_923,0
node_515,0
node_508,0
node_204,0
node_673,0
node_584,0
node_893,1
node_971,0
node_917,0
node_548,0
node_15,0
node_214,0
node_717,0
node_405,0
node_495,0
node_946,0
node_648,0
node_249,0
node_239,0
node_244,0
node_629,0
node_647,0
node_61,0
node_823,1
node_159,0
node_56,0
node_870,0
node_189,0
node_921,0
node_723,0
node_297,0
node_55,0
node_374,1
node_513,0
node_111,0
node_703,0
node_142,0
node_767,0
node_577,0
node_918,0
node_203,0
node_541,0
node_848,0
node_250,0
node_992,0
node_771,0
node_421,0
node_224,0
node_410,0
node_810,0
node_429,0
node_900,0
node_552,0
node_325,0
node_124,0
node_112,0
node_627,0
node_256,0
node_162,0
node_371,0
node_391,0
node_171,0
node_853,0
node_123,0
node_827,1
node_897,0
node_254,0
node_914,0
node_630,0
node_642,0
node_218,0
node_603,0
node_547,0
node_929,0
node_305,0
node_30,0
node_859,0
node_231,0
node_144,0
node_378,0
node_979,0
node_657,0
node_910,0
node_549,0
node_594,0
node_399,0
node_95,0
node_332,1
node_475,0
node_700,1
node_753,0
node_994,0
node_943,0
node_345,0
node_991,0
node_195,0
node_554,0
node_247,1
node_66,0
node_878,0
node_610,0
node_58,0
node_152,0
node_359,1
node_636,0
node_197,0
node_643,0
node_976,0
node_252,0
node_908,0
node_732,0
node_320,0
node_762,0
node_739,0
node_280,0
node_453,0
node_370,0
node_330,0
node_645,0
node_156,0
node_728,0
