,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_756,33,0.11553030303030302,0.0010243947464750461,0.44125441696113077,2.2662662662662663,0.030610541051410537,16.01,16.99,0.9424058823529413,0.5148484848484851,0.23530461140360312,0.018326216702837732,0.3466704441776712,0.3471182450393841
node_919,53,0.1584313725490196,0.0019343164795256307,0.4599447513812155,2.174174174174174,0.047312417916071,33.025,19.975,1.6536135534915715,0.37688679245283013,0.2822925252678359,0.02150769825848375,0.23220652118711058,0.2327334279749636
node_716,62,0.18305084745762712,0.002644825618558837,0.47480988593155893,2.106106106106106,0.055787253687197884,39.05,22.95,1.7020868842065635,0.37016129032258066,0.41024563966287486,0.024334441327033177,0.22712673018571156,0.22773225729908797
node_771,41,0.21862348178137653,0.0012592926177651639,0.44203539823008847,2.2622622622622623,0.0309762562856272,23.049,17.951,1.2845441176470593,0.43782926829268315,0.526333571613156,0.018616819252425216,0.2802913024475524,0.28076459563456807
node_91,38,0.11806543385490754,0.0015124598675569736,0.44125441696113077,2.2662662662662663,0.02694811136562631,17.014,20.986,0.8108396825396827,0.5522631578947368,0.5468082959832341,0.021833154118674654,0.3814770114942529,0.3820301048540466
node_699,33,0.12878787878787878,0.0012140068379364029,0.4300473525613431,2.325325325325325,0.022020290771373,14.024,18.976,0.7393501676986582,0.5750303030303032,0.7521754862290253,0.019475350978157165,0.40357193877550995,0.40407200549036953
node_153,32,0.15172413793103448,0.0009051886400019527,0.4247448979591837,2.354354354354354,0.02146578665646043,17.021,14.979,1.1365567765567761,0.46809375,0.46106993869573604,0.015494002999805526,0.3055749019607843,0.3059697413812157
node_825,34,0.09090909090909091,0.001223640169866709,0.4300473525613431,2.325325325325325,0.02277418587257926,16.016,17.984,0.8908035714285717,0.5289411764705882,0.31257186512101454,0.019090809468550626,0.35958233618233626,0.3600563233228802
node_38,28,0.11692307692307692,0.0006241618152139045,0.4201009251471825,2.3803803803803802,0.020849042782856153,14.02,13.98,1.0033729603729602,0.49928571428571433,0.24304730722248263,0.014839884575835868,0.33272849424477324,0.3330969518595869
node_112,28,0.12615384615384614,0.00070591420103661,0.4111111111111111,2.4324324324324325,0.01750755535669278,14.018,13.982,1.003130536130536,0.4993571428571429,0.4610766795921222,0.014427053642757485,0.33279314070941973,0.3331616509737509
node_610,52,0.1126530612244898,0.0022791103484776755,0.4514234071396295,2.215215215215215,0.03786805080741981,31.038,20.962,1.4812319131161233,0.40311538461538476,0.2946722816379503,0.022582608104417878,0.25245392278514095,0.25300679252504593
node_838,37,0.26576576576576577,0.0009853841287754607,0.42857142857142855,2.3333333333333335,0.029106734737830858,23.062,13.938,1.6563424908424904,0.37670270270270273,0.409094982309269,0.014453481506623364,0.2320967389388331,0.232464265034557
node_969,34,0.18346774193548387,0.0010011389909138772,0.42893945899527697,2.3313313313313313,0.02375720196921622,16.039,17.961,0.8933972222222225,0.528264705882353,0.6881034500471532,0.018481887141810826,0.35897213352685053,0.35944551528139085
node_543,28,0.11904761904761904,0.0006874638790597744,0.42728828058169377,2.34034034034034,0.024419251187077093,15.024,12.976,1.158382284382284,0.4634285714285715,0.18241612676262012,0.01397910982445381,0.30162443035001174,0.3019664536418495
node_850,38,0.17142857142857143,0.0013488638791337236,0.42986230636833045,2.3263263263263263,0.02341454820358958,18.024,19.976,0.9025725490196082,0.5256842105263158,0.8218029669093813,0.02048942552821171,0.3565836186023211,0.35711013504119027
node_176,49,0.0782312925170068,0.002544370568411267,0.4703389830508475,2.126126126126126,0.03769157392249118,21.037,27.963,0.7524541880341881,0.570673469387755,0.3930333196247691,0.030125318889926506,0.3992764025553627,0.40001339789717644
node_420,37,0.16966966966966968,0.0012912322702327268,0.43700787401574803,2.2882882882882885,0.02389949293901808,21.012,15.988,1.3143940476190477,0.4321081081081081,0.5270213161071329,0.016497661053836928,0.2756040132476136,0.276025526928653
node_561,35,0.28403361344537814,0.0006816256633600255,0.42601279317697227,2.3473473473473474,0.03431519022292002,25.028,9.972,2.5115694444444445,0.2849142857142856,0.17832365064647343,0.010573002435885768,0.16613546624361003,0.16639846916673737
node_818,32,0.1592741935483871,0.0007299921483061799,0.4233050847457627,2.3623623623623624,0.028488490074160513,21.02,10.98,1.9152969696969704,0.343125,0.15521321472391872,0.01182204893568643,0.20710480909726198,0.20739432827651863
node_34,36,0.15396825396825398,0.0008825812542785347,0.42728828058169377,2.34034034034034,0.03068923619460418,26.014,9.986,2.6057000000000006,0.27738888888888885,0.1411247643162663,0.010752280583344783,0.1610328341013825,0.1612962199169797
node_833,29,0.1921182266009852,0.0007439832659496134,0.42080876158382474,2.3763763763763763,0.0200640944014921,16.017,12.983,1.2340984848484846,0.4476896551724136,0.3995867813416278,0.013429575502785998,0.2884185219447013,0.28876074761734605
node_734,44,0.2156448202959831,0.0014797015434183677,0.4538845979100409,2.2032032032032034,0.04767343984878572,25.065,18.935,1.3244850361197114,0.430340909090909,0.353295889812498,0.020039482206311136,0.27418934476423756,0.27468862199778443
node_782,38,0.16825396825396827,0.0012418757192889471,0.43950725912890454,2.275275275275275,0.027238795325211358,18.034,19.966,0.9037026143790852,0.525421052631579,0.8216559873136399,0.020478690072066024,0.3563543875761876,0.35688064079121684
node_540,41,0.07682926829268293,0.001736181242666878,0.4532667876588022,2.206206206206206,0.030451945028488737,15.026,25.974,0.5786288963210701,0.6335121951219512,0.4514816906649175,0.02757220919768735,0.4636282443396628,0.46431263645314624
node_410,32,0.12096774193548387,0.0009320664401493901,0.4375821287779238,2.285285285285285,0.025466237265138972,16.021,15.979,1.0030461538461537,0.49934375,0.27777758480694803,0.016962040966790926,0.3327747098839535,0.33319587548790147
node_804,44,0.2868757259001161,0.0011667359092401833,0.4443950177935943,2.25025025025025,0.049079177066205716,30.03,13.97,2.150230769230769,0.31750000000000006,0.26050379470748924,0.014785820566419965,0.18871476529160736,0.1890832704456727
node_288,36,0.12857142857142856,0.0012444355085907525,0.4406704896338774,2.269269269269269,0.030043582821836515,19.033,16.967,1.122259243697479,0.4713055555555556,0.23850831146022353,0.01827883835697253,0.3083299738374148,0.3087772399427244
node_334,60,0.10405323653962492,0.0032735101368746564,0.4752616555661275,2.104104104104104,0.04471295445762945,32.03,27.97,1.145413553113553,0.4661666666666667,0.4861982253990228,0.029690820862025107,0.30393499502912635,0.3046726020919724
node_146,46,0.15072463768115943,0.0016336387050183176,0.4455842997323818,2.244244244244244,0.036141074605147774,28.061,17.939,1.565644631185808,0.3899782608695653,0.252311307894709,0.01932464337863307,0.2422513810513811,0.24272448287476492
node_243,33,0.16559139784946236,0.0009614404942454533,0.4227676682183665,2.3653653653653652,0.022235639243562793,17.012,15.988,1.0641892857142856,0.4844848484848483,0.6575539967574202,0.01639927879104993,0.3196914027149321,0.3201128275111495
