,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_174,31,0.11397849462365592,0.0008942595116334067,0.43510452961672474,2.2982982982982985,0.02512763422451399,15.02,15.98,0.940209243697479,0.5154838709677417,0.27779837968844856,0.016963026703642303,0.347260987768527,0.3476821575175259
node_499,43,0.20155038759689922,0.0016756295994181949,0.4445927903871829,2.249249249249249,0.031011537870639365,23.041,19.959,1.1551769736842104,0.46416279069767435,0.6340605197362177,0.02062546084989866,0.30225474423147825,0.3027809518628165
node_240,27,0.09401709401709402,0.0007161687868479484,0.41992433795712486,2.3813813813813813,0.022089637429056615,13.043,13.957,0.9350314685314686,0.5169259259259258,0.19628025544639946,0.01503529380324506,0.34858874078275665,0.3489565734763629
node_711,38,0.22857142857142856,0.0011542351446499344,0.4251063829787234,2.3523523523523524,0.02557653424005474,21.037,16.963,1.2406495098039214,0.44639473684210546,0.5719627968477603,0.017504525344320777,0.28734828193016587,0.2877954898931906
node_606,28,0.12169312169312169,0.0008446833405368458,0.4190436241610738,2.3863863863863863,0.018883295480189934,11.013,16.987,0.6484107843137256,0.6066785714285713,0.49407367859020235,0.01760098012239755,0.4354325203252034,0.435880124243035
node_442,38,0.1906116642958748,0.0011462031556709151,0.4393139841688654,2.2762762762762763,0.034695120290021926,22.023,15.977,1.3788835164835163,0.4204473684210525,0.2854913387977582,0.016941649263284102,0.2661956737427916,0.26661691993848546
node_259,41,0.21997300944669365,0.0012308808299299598,0.44638069705093836,2.24024024024024,0.03326671485444861,23.077,17.923,1.2887479575163403,0.4371463414634148,0.5047390620989494,0.01862858341907143,0.27975477594544756,0.2802273317760221
node_731,31,0.27741935483870966,0.0008155502889090084,0.4238438693254137,2.359359359359359,0.024035087772006015,18.038,12.962,1.3928146076146075,0.4181290322580644,0.4373064193022282,0.01337482588719477,0.2643600289462665,0.2647017375782607
node_619,25,0.12,0.0005860820890853477,0.4145228215767635,2.4124124124124124,0.018908535521034508,12.021,12.979,0.9265005827505829,0.5191599999999998,0.241358569410171,0.013726360382017406,0.35060819929240994,0.35095024750980736
node_451,60,0.1401129943502825,0.0029451673367368275,0.4696755994358251,2.129129129129129,0.045201382825003106,35.02,24.98,1.4021490683229814,0.41633333333333344,0.4186541192599935,0.026579184335835553,0.2628990118219635,0.26355792441879733
node_84,51,0.20408163265306123,0.001713688243273398,0.46121883656509693,2.1681681681681684,0.05496190768235993,30.063,20.937,1.4364664160401,0.410529411764706,0.39055735770015476,0.022159048534894293,0.25829879720197085,0.258850979513256
node_541,36,0.09090909090909091,0.001102387939363206,0.4424269264836138,2.26026026026026,0.028040438705781136,18.014,17.986,1.0016911764705883,0.49961111111111106,0.3014620975356298,0.019137119152721104,0.3329965367965367,0.33347062658376264
node_406,41,0.11341463414634147,0.0014248908746189665,0.44638069705093836,2.24024024024024,0.03630745398375865,21.023,19.977,1.052710061919505,0.4872439024390246,0.28232183839175423,0.02150976662624418,0.32210942534168346,0.32263605136897583
node_681,34,0.1746880570409982,0.0008493719802984377,0.432842287694974,2.31031031031031,0.02679321624011532,22.027,11.973,1.840493939393939,0.3521470588235293,0.20079150914769053,0.012738500624270602,0.21371346469622335,0.21402917566721316
node_225,46,0.11400966183574879,0.0018855955829191716,0.4563727729556875,2.191191191191191,0.04033191558437915,21.063,24.937,0.8451627272727272,0.542108695652174,0.44583889717707853,0.02644073399259991,0.37188990342405637,0.3725471983446222
node_460,27,0.05128205128205128,0.0007904342143120654,0.42528735632183906,2.3513513513513513,0.020776976520990705,9.015,17.985,0.5014101890756302,0.6661111111111111,0.31259641115963877,0.019091761417571292,0.4994061877667141,0.49988002639699974
node_246,33,0.23863636363636365,0.0008622476187505713,0.4247448979591837,2.354354354354354,0.025419339516878484,19.053,13.947,1.367085164835165,0.42263636363636353,0.39261450690522726,0.014496912004306065,0.267971294952427,0.26833898062041495
node_537,39,0.20917678812415655,0.0013544519450236186,0.4459821428571429,2.2422422422422423,0.03083437033989538,19.063,19.937,0.9569286377708975,0.5112051282051282,0.7642173001197741,0.020514587282401995,0.34342087936304166,0.3439463970103059
node_276,60,0.14519056261343014,0.0027070335473594145,0.4670406732117812,2.141141141141141,0.04807119396215569,37.051,22.949,1.6148802936194246,0.38248333333333345,0.32264845986223806,0.02472280731500669,0.23647265076602342,0.23707808769812896
node_673,53,0.16110304789550073,0.002251000232798376,0.45909926470588236,2.1781781781781784,0.03943943090934349,33.014,19.986,1.6521158066735462,0.3770943396226415,0.33497442576931086,0.021265196585886364,0.23236298413434325,0.23289018063845401
