,Stability
node_756,1
node_919,0
node_716,1
node_771,1
node_91,0
node_699,0
node_153,0
node_825,0
node_38,0
node_112,0
node_610,1
node_838,1
node_969,1
node_543,1
node_850,0
node_176,1
node_420,0
node_561,1
node_818,0
node_34,0
node_833,0
node_734,1
node_782,0
node_540,0
node_410,0
node_804,1
node_288,1
node_334,0
node_146,1
node_243,0
node_441,0
node_635,1
node_117,0
node_768,0
node_715,1
node_869,1
node_343,0
node_812,0
node_806,0
node_902,0
node_269,0
node_154,1
node_494,0
node_524,1
node_220,1
node_150,1
node_810,1
node_499,0
node_253,1
node_531,0
node_746,1
node_301,1
node_653,1
node_579,0
node_486,1
node_338,1
node_180,1
node_521,0
node_48,0
node_516,0
node_231,0
node_160,1
node_7,1
node_959,0
node_847,1
node_426,1
node_447,1
node_545,1
node_576,1
node_926,0
node_134,1
node_669,1
node_26,1
node_39,1
node_726,1
node_617,1
node_351,0
node_837,0
node_130,0
node_887,0
node_368,1
node_473,1
node_398,0
node_449,1
node_94,1
node_113,1
node_452,1
node_956,0
node_832,1
node_438,1
node_603,0
node_303,1
node_401,0
node_912,1
node_863,1
node_668,1
node_465,0
node_854,0
node_197,0
node_651,0
node_683,0
node_296,0
node_914,1
node_670,1
node_54,0
node_354,1
node_872,1
node_348,0
node_246,1
node_118,0
node_981,1
node_560,1
node_702,1
node_133,0
node_62,0
node_234,1
node_124,1
node_740,0
node_535,0
node_161,0
node_201,1
node_237,1
node_800,1
node_403,0
node_634,1
node_468,1
node_415,1
node_265,1
node_640,0
node_257,0
node_249,1
node_845,0
node_339,1
node_952,0
node_645,0
node_350,1
node_307,0
node_922,0
node_379,0
node_391,1
node_915,1
node_961,1
node_834,0
node_595,0
node_56,1
node_132,1
node_900,1
node_300,1
node_978,1
node_367,0
node_298,1
node_965,0
node_801,0
node_511,0
node_230,1
node_813,1
node_274,0
node_387,1
node_820,0
node_446,0
node_774,1
node_58,1
node_419,1
node_568,0
node_604,0
node_259,1
node_652,0
node_305,1
node_705,0
node_786,1
node_109,0
node_147,1
node_289,1
node_701,0
node_661,1
node_534,0
node_695,1
node_25,0
node_144,1
node_59,0
node_480,1
node_711,1
node_359,1
node_890,1
node_63,0
node_496,0
node_895,1
node_291,1
node_451,0
node_140,0
node_377,1
node_199,0
node_227,0
node_277,0
node_179,1
node_186,1
node_189,0
node_108,1
node_458,1
node_615,0
node_283,0
node_183,1
node_293,0
node_256,0
node_8,1
node_369,1
node_684,0
node_84,1
node_843,1
node_23,1
node_606,0
node_190,0
node_517,1
node_164,1
node_193,0
node_821,0
node_361,0
node_544,1
node_341,1
node_609,0
node_913,0
node_453,0
node_793,0
node_129,1
node_839,0
node_363,1
node_809,0
node_808,1
node_929,1
node_196,0
node_11,0
node_15,0
node_156,1
node_591,0
node_262,0
node_394,1
node_70,1
node_10,1
node_172,1
node_855,1
node_620,1
node_65,1
node_484,0
node_390,1
node_95,0
node_73,1
node_101,0
node_241,0
node_846,0
node_537,1
node_950,0
node_152,1
node_936,1
node_879,1
node_618,1
node_440,1
node_366,1
node_42,0
node_6,1
node_203,1
node_626,0
node_375,0
node_374,0
node_422,0
node_280,0
node_856,0
node_436,1
node_592,0
node_893,1
node_33,0
node_925,0
node_1,1
node_200,0
node_707,0
node_275,1
node_185,0
node_573,1
node_128,1
node_240,1
node_31,1
node_942,0
node_119,1
node_642,0
node_824,0
node_96,0
node_45,1
node_616,1
node_548,1
node_233,1
node_236,0
node_421,1
node_165,1
node_916,0
node_255,1
node_302,1
node_829,0
node_290,0
node_792,1
node_991,0
node_188,0
node_139,1
node_714,0
node_563,0
node_737,0
node_395,0
node_859,1
node_287,1
node_722,1
node_254,0
node_489,1
node_988,1
node_785,0
node_891,0
node_853,0
node_816,1
node_908,1
node_827,1
node_881,0
node_55,1
node_501,0
node_475,1
node_841,1
node_381,1
node_719,0
node_732,1
node_924,1
node_116,1
node_102,1
node_211,1
node_894,0
node_319,0
node_445,1
node_251,1
node_317,0
node_121,1
node_547,0
node_250,1
node_242,1
node_479,0
node_986,0
node_260,0
node_312,0
node_723,1
node_729,1
node_574,1
node_98,0
node_972,0
node_378,1
node_966,0
node_575,1
node_864,0
node_593,1
node_157,0
node_994,0
node_68,1
node_266,1
node_784,0
node_682,0
node_503,0
node_569,0
node_963,1
node_875,0
