,Stability
node_174,0
node_499,0
node_240,0
node_711,0
node_606,0
node_442,0
node_259,1
node_731,0
node_619,0
node_451,0
node_84,1
node_541,0
node_406,0
node_681,0
node_225,0
node_460,0
node_246,1
node_537,1
node_276,0
node_673,0
node_794,0
node_684,0
node_182,1
node_484,0
node_861,0
node_71,1
node_558,0
node_615,0
node_497,1
node_664,1
node_79,0
node_792,0
node_468,0
node_433,0
node_662,1
node_156,1
node_821,0
node_789,0
node_255,1
node_622,0
node_185,0
node_487,0
node_326,0
node_721,0
node_925,0
node_206,0
node_990,0
node_106,0
node_592,0
node_621,0
node_100,0
node_222,0
node_48,0
node_443,0
node_187,1
node_535,0
node_388,0
node_377,1
node_945,0
node_522,0
node_332,1
node_707,0
node_98,0
node_705,0
node_864,0
node_189,0
node_33,0
node_104,0
node_610,0
node_617,0
node_642,0
node_101,0
node_24,0
node_504,0
node_35,0
node_962,1
node_458,0
node_496,0
node_595,0
node_195,0
node_115,0
node_924,0
node_510,0
node_607,0
node_612,0
node_900,1
node_658,0
node_15,0
node_634,1
node_931,0
node_267,0
node_856,0
node_582,0
node_770,0
node_692,0
node_375,0
node_81,0
node_256,0
node_767,0
node_523,0
node_146,0
node_717,0
node_566,0
node_431,0
node_953,0
node_751,0
node_141,0
node_269,0
node_530,0
node_350,0
node_117,0
node_191,0
node_611,0
node_845,0
node_561,0
node_244,1
node_147,0
node_301,1
node_373,1
node_119,0
node_919,0
node_167,0
node_559,0
node_549,0
node_258,0
node_438,0
node_177,1
node_474,0
node_305,0
node_178,1
node_830,0
node_120,0
node_172,1
node_297,1
node_732,1
node_914,0
node_108,0
node_227,0
node_315,0
node_279,0
node_118,0
node_479,0
node_980,0
node_813,0
node_517,0
node_320,1
node_739,0
node_354,1
node_540,0
node_671,0
node_647,0
node_277,0
node_175,0
node_921,0
node_262,0
node_734,1
node_298,0
node_165,1
node_421,0
node_503,0
node_129,1
node_597,0
node_340,0
node_154,0
node_749,1
node_428,0
node_416,0
node_360,0
node_672,0
node_632,0
node_870,0
node_93,1
node_842,0
node_475,1
node_163,0
node_394,0
node_278,0
node_318,0
node_509,1
node_366,0
node_253,0
node_249,0
node_234,1
node_382,0
node_409,0
node_920,0
node_699,0
node_776,0
node_10,0
node_697,0
node_482,0
node_393,1
node_704,0
node_757,1
node_970,1
node_102,0
node_389,0
node_27,0
node_768,0
node_111,0
node_805,0
node_445,1
node_476,1
node_602,0
node_801,0
node_735,0
node_60,0
node_472,1
node_680,0
node_243,0
node_685,0
node_785,0
node_515,0
node_417,0
node_280,0
node_546,0
node_211,0
node_937,0
node_56,1
node_964,0
node_888,0
node_620,1
node_564,0
node_836,0
node_941,0
node_345,0
node_550,0
node_105,0
node_86,0
node_281,0
node_915,0
node_103,0
node_122,0
node_14,1
node_713,0
node_348,0
node_501,0
node_82,0
node_387,1
node_424,0
node_491,0
node_204,0
node_986,0
node_290,0
node_556,0
node_63,0
node_598,1
node_193,0
node_201,1
node_871,1
node_513,0
node_145,1
node_467,1
node_726,0
node_979,0
node_991,0
node_339,0
node_398,0
node_880,1
node_266,1
node_714,0
node_67,0
node_159,1
node_400,0
node_364,0
node_618,1
node_727,0
node_245,0
node_909,0
node_183,0
node_498,1
node_769,0
node_709,1
node_457,0
node_434,0
node_495,0
node_75,1
node_708,0
node_803,0
node_410,0
node_461,0
node_89,0
node_36,0
node_359,0
node_88,0
node_670,1
node_29,1
node_352,0
node_346,0
node_220,0
node_689,0
node_698,0
node_957,0
node_407,0
node_480,0
node_694,0
node_716,0
node_967,0
node_963,0
node_998,0
node_176,0
node_401,0
node_601,0
node_224,0
node_944,0
node_302,1
node_239,0
node_825,0
node_866,0
node_514,0
node_865,1
node_158,0
node_444,1
node_209,0
node_70,0
node_420,0
node_299,0
node_605,0
node_446,0
node_402,0
node_661,1
node_248,0
node_774,0
node_450,0
node_194,1
node_463,0
node_538,0
node_773,0
node_47,0
node_877,0
node_520,0
node_164,1
node_439,1
node_286,0
node_544,1
node_648,1
node_507,0
node_310,0
node_630,0
node_54,0
node_640,0
node_633,0
node_374,0
node_744,0
node_136,0
node_274,0
node_473,0
node_904,0
node_988,1
node_512,0
node_811,0
node_839,0
node_2,1
node_824,0
node_742,0
node_893,0
node_960,0
node_349,0
node_798,0
node_908,1
node_996,0
node_743,1
node_674,0
node_414,0
node_229,1
node_736,0
node_59,0
node_469,0
node_529,1
node_11,0
node_179,1
node_534,0
node_494,0
node_579,0
node_378,0
node_127,0
node_916,0
node_816,0
node_572,0
node_23,1
node_790,0
node_690,1
node_437,1
node_831,0
node_850,0
node_285,0
node_930,0
node_95,0
node_994,0
node_853,0
node_531,0
node_951,0
node_863,0
node_928,0
node_148,0
node_554,0
node_372,1
node_562,0
node_795,1
node_997,0
node_395,0
node_524,0
node_947,1
node_4,0
node_686,0
node_8,0
node_126,1
node_639,0
node_210,0
node_781,0
node_38,0
node_519,0
node_289,1
node_934,0
node_737,0
node_624,0
node_747,0
node_362,1
node_237,1
node_404,0
node_643,0
node_331,1
node_756,0
node_833,0
node_740,0
node_992,0
node_730,0
node_155,0
node_396,1
node_368,1
node_132,0
node_778,1
node_441,0
node_380,1
node_948,0
node_748,1
node_521,0
node_390,1
node_219,0
node_0,0
node_53,0
node_677,0
node_87,1
node_858,0
node_109,0
node_804,1
node_295,0
node_978,0
node_949,0
node_432,0
node_972,0
node_799,0
node_324,0
node_832,1
node_121,1
node_173,0
node_61,0
node_783,1
node_695,1
node_539,1
node_150,1
node_793,0
node_291,0
node_162,1
node_415,0
node_614,1
node_907,0
node_66,0
node_490,0
node_5,1
node_271,1
node_32,1
node_261,0
node_912,0
node_788,1
node_758,0
node_273,1
node_802,0
node_827,1
node_889,0
node_873,1
node_456,0
node_882,1
node_142,1
node_478,0
node_413,0
node_309,0
node_125,0
node_551,0
node_653,0
node_370,1
node_568,0
node_688,0
node_626,0
node_586,0
node_62,0
node_961,0
node_287,1
node_153,0
node_584,0
node_764,0
node_379,0
node_569,0
node_718,0
node_636,0
node_533,0
node_881,0
node_660,0
node_954,0
node_303,0
node_330,0
node_728,0
node_826,0
node_288,0
node_144,1
node_603,0
node_683,0
node_296,0
node_702,0
node_791,0
node_347,0
node_609,0
node_847,0
node_257,0
node_746,0
node_232,0
node_542,0
node_152,0
node_45,0
node_202,0
node_78,0
node_459,0
node_181,0
node_712,0
node_254,0
node_903,0
node_855,0
node_526,0
node_356,0
node_545,0
node_741,0
node_987,0
node_938,0
node_637,0
node_594,0
node_306,0
node_471,0
node_72,0
node_656,1
node_884,0
node_628,1
node_13,1
node_835,0
node_868,0
node_200,0
node_337,0
node_703,0
node_762,0
node_123,0
node_577,0
node_166,0
node_114,1
node_580,1
node_6,0
node_927,0
node_300,0
node_217,0
node_26,1
node_693,1
node_976,0
node_759,1
node_587,0
node_590,0
node_700,0
node_608,0
node_532,0
node_761,0
node_965,0
node_959,0
node_383,1
node_55,1
node_149,0
node_982,1
node_230,0
node_336,0
node_950,0
node_663,0
node_16,0
node_43,0
node_867,0
