,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_415,4,0.16666666666666666,0.0008035382146436233,0.34451321274616326,2.8477157360406093,0.0014930465350967185,2.84,1.16,2.647666666666667,0.29,0.01040530998159791,0.001315200078317596,0.1751523809523809,0.1751871031549573
node_402,10,0.32142857142857145,4.590862920801382e-05,0.3786675398718605,2.5908629441624367,0.004882125558893114,5.963,4.037,1.4931666666666668,0.4037000000000001,0.0315435399002503,0.004649119488062523,0.25342647058823525,0.2535473236927228
node_486,74,0.2762128325508607,0.0020004555487390845,0.460829547807815,2.1289340101522845,0.05109377611735298,25.47,48.53,0.5277956080732767,0.6558108108108108,0.33812787415672546,0.05666904507329795,0.48842731377519316,0.4898798805213489
node_934,4,0.3333333333333333,1.6084465821208954e-06,0.3381244092907586,2.901522842639594,0.0023500422988493963,2.856,1.144,2.605333333333333,0.286,0.008985362593886439,0.0014271421042598522,0.18388571428571426,0.18391995649319415
node_596,7,0.5,2.6128326010526907e-06,0.35449727136940135,2.7675126903553298,0.003751726359553352,5.064,1.936,3.2073333333333336,0.2765714285714285,0.018220186179696746,0.002296600338745269,0.1667878787878788,0.16684583406389616
node_680,1,0.0,0.0,0.2915111800159843,3.3654822335025383,0.00019849275661010607,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_277,23,0.4857142857142857,0.00017490020303838376,0.3920322765732203,2.50253807106599,0.010390801526184771,15.204,7.796,2.6813358585858587,0.33895652173913043,0.0590039582672327,0.008967148363609987,0.21068578572294688,0.21091925062295813
node_503,12,0.696969696969697,1.5169430711476755e-05,0.3417113018928529,2.8710659898477155,0.0029625387215836993,11.001,0.999,11.001,0.08324999999999999,0.01065278355673598,0.0010966870158131195,0.043434782608695634,0.04346470085013797
node_340,107,0.2600732600732601,0.0086408631345824,0.4675179302143145,2.098477157360406,0.07817055717045227,48.871,58.129,0.9086400871410798,0.5432616822429907,0.4372104484531347,0.07389367380469226,0.38123860335359144,0.3829800723233647
node_482,47,0.20404040404040405,0.0013311016354315313,0.42421403062027574,2.3126903553299494,0.023548195712239765,14.169,32.831,0.4791646116975686,0.698531914893617,1.4443206901502714,0.036377888237948484,0.5491734486014143,0.5501558443150748
node_602,26,0.42028985507246375,0.0002507655838471518,0.3876291864231801,2.530964467005076,0.010029453233123901,19.446,6.554,3.0185476190476193,0.2520769230769231,0.06996281890001126,0.007194132278263783,0.14450265840645118,0.14469900410923953
node_1001,10,0.8444444444444444,3.86649612650405e-06,0.33978887544057246,2.887309644670051,0.0038377012778799432,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
node_154,54,0.48868778280542985,0.0004993451545251268,0.44842671079024965,2.1878172588832485,0.05021423033429244,36.603,17.397,2.138911902378406,0.3221666666666667,0.07304566687617321,0.02301811683410093,0.19258929046095413,0.19311083259713355
node_530,10,0.24444444444444444,6.395088567371878e-05,0.36590668752479666,2.681218274111675,0.005035585628978073,6.328,3.672,1.8001666666666665,0.3672,0.03921053504156629,0.004030534898592852,0.226531389748882,0.22664131898939757
node_323,36,0.3511586452762923,0.000947726006451275,0.41906312304986476,2.3411167512690354,0.01672221148884021,19.867,16.133,1.2495326834156553,0.4481388888888889,0.2755094466943597,0.017208529262421897,0.2894947904745966,0.28997797743111914
node_563,21,0.38011695906432746,0.000445483380514675,0.39866318554166175,2.4609137055837564,0.011166207353061511,14.582,6.418,2.4285744755244756,0.30561904761904757,0.04402467041610762,0.00752208547500872,0.18206096548404777,0.18225317819869422
node_466,53,0.30823529411764705,0.0031175411575171228,0.4260844628540512,2.3025380710659897,0.016234680922255513,45.015,7.985,5.639827380952381,0.15066037735849055,0.08515551855094003,0.008765394140096059,0.08146920634920636,0.08170878057938699
node_545,25,0.49,0.00025983157070578203,0.3797090615925297,2.583756345177665,0.013698674546205545,18.85,6.15,3.1732738095238098,0.2460000000000001,0.054736461331933085,0.006897260207351376,0.1407921224377241,0.14097635954072568
node_104,33,0.6623655913978495,0.00013001357559910774,0.40791876815237993,2.4050761421319797,0.014726447294588945,26.846,6.154,4.451180952380953,0.18648484848484848,0.059433957487526674,0.0069123361491164395,0.10301295894885522,0.10319740510517175
node_505,13,0.46153846153846156,9.672237819740526e-05,0.3708210137194889,2.645685279187817,0.004852048439090668,11.002,1.998,5.513,0.15369230769230766,0.021298808528178937,0.0021934898353311513,0.08324666666666665,0.08330650136299213
node_873,2,1.0,0.0,0.30455706326914217,3.221319796954315,0.0005880388226139949,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_452,42,0.41410256410256413,0.0025273302433485734,0.3994872103154147,2.4558375634517766,0.01095672555670483,40.0,2.0,20.0,0.04761904761904764,0.02131975151063508,0.002195688846441054,0.02439024390243903,0.02445024270246303
node_909,8,0.7142857142857143,3.6851264049308737e-06,0.3709633634368476,2.6446700507614214,0.008855378536511156,4.003,3.997,1.0101333333333333,0.499625,0.027509540418442925,0.004680420919498562,0.33337062937062933,0.33349027128924935
node_129,164,0.2200751476113795,0.013624938800935103,0.5038371020609949,1.947208121827411,0.10891663471404546,67.049,96.951,0.6964477043230499,0.5911646341463415,0.6720713042584711,0.11336071733372106,0.42031310724748144,0.42321794824910525
node_385,24,0.7922077922077922,5.676006770677612e-05,0.3998177748253985,2.4538071065989846,0.010662039230476855,22.144,1.856,15.114,0.07733333333333332,0.019513764101342205,0.0020650883276582526,0.04058924116278418,0.040644858694678446
node_777,21,0.2573099415204678,0.002270515497127975,0.3909221528126975,2.5096446700507613,0.00836707138307249,12.554,8.446,2.101487412587413,0.40219047619047615,0.2700605649372755,0.009798282221626141,0.26538076582191433,0.26563364312221954
node_550,27,0.5584045584045584,6.524108990230821e-05,0.4216228454419669,2.326903553299492,0.02675398733654781,20.517,6.483,4.041783564964447,0.24011111111111108,0.03367823503435503,0.008273927114597462,0.14382172134139007,0.1440159195905998
node_846,3,0.0,0.0,0.20889744093233636,4.6964467005076145,1.0747669864111576e-06,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
node_702,2,1.0,0.0,0.3425592207561106,2.863959390862944,0.002792972852287091,1.966,0.034,1.966,0.017,0.0003916947262046801,3.756424213941448e-05,0.011333333333333332,0.011334350962257938
node_69,64,0.28820729772607084,0.0032033205879316434,0.4366739998883814,2.246700507614213,0.03832705798793098,50.825,13.175,4.383772776212286,0.205859375,0.06497289741398012,0.016989117216525657,0.11685982221381058,0.11725512474630494
node_780,1,0.0,0.0,0.3234135079494605,3.033502538071066,0.0008615472767624778,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_795,1,0.0,0.0,0.3050377404523321,3.216243654822335,0.0004993372615200419,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_840,18,0.6416666666666667,3.867748251428514e-05,0.4039964723047609,2.4284263959390864,0.010876006204917075,14.356,3.644,4.072571428571429,0.20244444444444445,0.02505420254575751,0.004269123910590949,0.11299014591376037,0.11309928949025251
node_156,23,0.3715415019762846,0.0007610193897643947,0.40264981739707834,2.436548223350254,0.009882328670666697,17.263,5.737,4.412786849261849,0.24943478260869564,0.052826023385009434,0.006502528748858347,0.1517440007475822,0.15191582152668207
node_190,34,0.4028520499108734,0.0002552045745329948,0.42968410927211564,2.283248730964467,0.03128547249544647,22.364,11.636,2.3135688116434805,0.3422352941176471,0.05865855573367667,0.014939186925430708,0.2168742733191277,0.21722281262069168
node_615,62,0.26101694915254237,0.0018008317996493792,0.4505172782065212,2.1776649746192893,0.04176851008191754,34.119,27.881,1.24683453041325,0.4496935483870967,0.11782528244804798,0.03680674825187893,0.29124265077856637,0.29207809839795706
node_106,142,0.25107913669064746,0.010076144272750038,0.48954385093869707,2.0040609137055836,0.09950826974624523,85.086,56.914,1.6663441104003087,0.4008028169014085,0.24871061214044374,0.07442179524828982,0.25612713089273725,0.25783574249777924
node_812,62,0.29774011299435027,0.0022350642808559745,0.4360828347260776,2.249746192893401,0.0370199416705848,33.383,28.617,1.1772487023804201,0.4615645161290322,0.1994126254839549,0.033261027722190854,0.30042196183736747,0.3012794215483097
node_78,23,0.4901185770750988,0.00011042767573489598,0.41492467228552515,2.364467005076142,0.021800910290196113,14.771,8.229,2.0610837700697995,0.35778260869565215,0.04706643845750713,0.010557893412117795,0.22413837908009923,0.2243848067023892
node_890,3,0.0,0.0,0.34475903023652804,2.8456852791878173,0.001948469458744003,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
node_429,34,0.5403225806451613,0.00045798843462037717,0.40315375959657407,2.433502538071066,0.01471713108243037,27.208,6.792,4.076510317460317,0.19976470588235293,0.12603404128287402,0.007165644191821935,0.11116061268627368,0.11136418135264486
node_708,20,0.6339869281045751,0.0001580840527718308,0.38531083004505107,2.5461928934010154,0.011203872697219694,13.801,6.199,2.669833333333333,0.30995,0.10856435953022066,0.0065700063773515005,0.1853753512012026,0.18556099678909294
node_167,70,0.2791922739244952,0.0016006993499095789,0.4236560989710601,2.315736040609137,0.030648861778811227,45.54,24.46,2.013274273648801,0.3494285714285715,0.17401932649448934,0.028468194057857697,0.21412573972683696,0.21485920259553867
node_527,19,0.6617647058823529,7.532559966962163e-05,0.3870082345826945,2.53502538071066,0.011186096401360974,14.865,4.135,3.624916666666666,0.21763157894736834,0.03672184382396861,0.004639458557583587,0.12222892793481031,0.12235278040150369
node_242,34,0.4274193548387097,0.0029063429520061156,0.42015633119695134,2.33502538071066,0.022374216414389244,24.691,9.309,2.6764451631701633,0.2737941176470588,0.0645340385108155,0.01087400259849996,0.15882854709787708,0.15910749244691652
node_621,17,0.38235294117647056,0.0006193304284606948,0.3988277184288024,2.45989847715736,0.008802204657834989,10.662,6.338,1.7685720418470414,0.3728235294117647,0.04589273242861759,0.007355445763543239,0.2310131322298203,0.2312029065953261
