,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_645,7,0.4,0.00039138258728722353,0.31840512743096805,3.081218274111675,0.0009219227116662132,6.514,0.486,6.083333333333334,0.06942857142857142,0.006199308638909562,0.0005325710755981871,0.0397062937062937,0.039720843200881775
node_182,47,0.45555555555555555,0.0007934811813203133,0.3857722801409134,2.5431472081218276,0.01319069590099784,38.206,8.794,4.41040873015873,0.1871063829787234,0.08556661587365355,0.00985825146718809,0.1033356803996843,0.1035994107138317
node_725,13,0.8333333333333334,3.88766160060329e-06,0.3573814947311346,2.7451776649746193,0.00801966117739439,12.019,0.981,12.008,0.07546153846153844,0.008727818791118393,0.0010999758960482109,0.03924666666666667,0.039276047589744095
node_407,27,0.4444444444444444,0.000303617379686591,0.3749940092173023,2.616243654822335,0.008535675954192334,22.006,4.994,4.408999999999999,0.18496296296296294,0.05325639791070438,0.005482152794408716,0.10190943577430969,0.10205907775968333
node_702,2,1.0,0.0,0.3425592207561106,2.863959390862944,0.002792972852287091,1.966,0.034,1.966,0.017,0.0003916947262046801,3.756424213941448e-05,0.011333333333333332,0.011334350962257938
node_982,1,0.0,0.0,0.31092649992052385,3.155329949238579,0.000788399502886889,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_156,23,0.3715415019762846,0.0007610193897643947,0.40264981739707834,2.436548223350254,0.009882328670666697,17.263,5.737,4.412786849261849,0.24943478260869564,0.052826023385009434,0.006502528748858347,0.1517440007475822,0.15191582152668207
node_109,5,0.3,1.928713662009783e-06,0.36085121798095143,2.718781725888325,0.004721489501049498,3.803,1.197,3.6283333333333334,0.23940000000000003,0.007844877786217936,0.00154463771039036,0.14224206349206353,0.14227789492983875
node_704,3,0.0,0.0,0.34159051316825306,2.872081218274112,0.001836290067606,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
node_493,86,0.30478796169630645,0.005244545768070325,0.4562604163139698,2.150253807106599,0.06262224886260709,47.804,38.196,1.267333638293822,0.4441395348837209,0.2649442325439214,0.044656597835075994,0.28607687040587304,0.2872219968119147
node_908,28,0.5661538461538461,0.0001822663766864532,0.3670184435066419,2.673096446700508,0.009785785635777984,23.441,4.559,5.2608,0.16282142857142856,0.03199074847387035,0.005318579635704936,0.08877074475653833,0.08890736484249635
node_475,2,0.0,1.2789576455835953e-07,0.3222272630053311,3.0446700507614213,0.0013015407474590863,1.816,0.184,1.816,0.092,0.002526057325131464,0.00021311846872868682,0.06133333333333333,0.061338840501631194
node_772,2,0.0,0.0,0.0,0.0,1.551750542397768e-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
node_201,57,0.39461279461279464,0.0009100173313109172,0.4424723268099762,2.2172588832487308,0.04053617721626051,34.309,22.691,1.5410500369130593,0.3980877192982456,0.15856212513386106,0.02650089195124829,0.24935677711838122,0.2500368238781324
node_954,7,0.8571428571428571,7.293437262709156e-07,0.36356642654363736,2.698477157360406,0.0076611817939037504,6.962,0.038,6.957,0.005428571428571428,0.00018069827840037727,4.9082257296058295e-05,0.002948717948717949,0.002949855628450939
node_530,10,0.24444444444444444,6.395088567371878e-05,0.36590668752479666,2.681218274111675,0.005035585628978073,6.328,3.672,1.8001666666666665,0.3672,0.03921053504156629,0.004030534898592852,0.226531389748882,0.22664131898939757
node_881,1,0.0,0.0,0.31673535291805577,3.09746192893401,0.0008341042155064076,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_303,103,0.33584158415841586,0.00514603207446051,0.4702479619235952,2.0862944162436547,0.08159888009751311,43.854,59.146,0.746605894763527,0.5742330097087379,0.4121181362536119,0.06875006562286917,0.4032749155874935,0.40504660993341113
node_190,34,0.4028520499108734,0.0002552045745329948,0.42968410927211564,2.283248730964467,0.03128547249544647,22.364,11.636,2.3135688116434805,0.3422352941176471,0.05865855573367667,0.014939186925430708,0.2168742733191277,0.21722281262069168
node_512,6,0.3333333333333333,7.293757026051309e-07,0.374267839563512,2.6213197969543147,0.004335073702864511,5.063,0.937,4.757,0.15616666666666665,0.004817483341146092,0.0012000538989987066,0.08936363636363635,0.08939168655874893
node_748,34,0.3649193548387097,0.0028813401757284795,0.4274036097978718,2.2954314720812183,0.029375244511433148,20.527,13.473,1.5868252032191046,0.3962647058823529,0.05974469200553378,0.017683401791251684,0.2495361629261657,0.2499397200537333
node_468,21,0.37142857142857144,0.00015694708611509186,0.40947439057330004,2.3959390862944163,0.016066436214778768,7.532,13.468,0.6307719696969698,0.6413333333333333,0.13146769222738397,0.015416311570059862,0.48091697527891414,0.4813200685005165
node_626,1,0.0,0.0,0.328470279317807,2.986802030456853,0.0013659696288320295,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
node_97,25,0.5573122529644269,0.0002341287724216798,0.38302004033015774,2.5614213197969544,0.009111193699657476,19.645,5.355,3.8166369047619044,0.21420000000000006,0.09234990986018697,0.005705051693627158,0.12043387442705475,0.12059430680907116
