,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
node_645,7,0.4,0.00039138258728722353,0.31840512743096805,3.081218274111675,0.0009219227116662133,6.513999999999999,0.486,6.083333333333334,0.06942857142857142,0.006199308638909562,0.0005325710755981871,0.0397062937062937,0.039720843200881775,0.047304847715389356
node_182,47,0.4555555555555556,0.0007934811813203133,0.3857722801409134,2.543147208121828,0.013190695900997841,38.205999999999996,8.794,4.410408730158731,0.1871063829787234,0.08556661587365355,0.00985825146718809,0.1033356803996843,0.1035994107138317,0.3583804395976371
node_725,13,0.8333333333333334,3.88766160060329e-06,0.3573814947311346,2.74517766497462,0.00801966117739439,12.019,0.981,12.008,0.07546153846153844,0.008727818791118393,0.0010999758960482107,0.039246666666666666,0.039276047589744095,0.11583621563455873
node_407,27,0.4444444444444444,0.00030361737968659104,0.3749940092173023,2.616243654822335,0.008535675954192334,22.006,4.994,4.408999999999999,0.1849629629629629,0.053256397910704384,0.005482152794408716,0.10190943577430968,0.10205907775968333,0.2460935386233828
node_702,2,1.0,0.0,0.3425592207561106,2.863959390862944,0.002792972852287091,1.966,0.034,1.966,0.017,0.00039169472620468015,3.756424213941448e-05,0.01133333333333333,0.011334350962257938,0.011869240616531268
node_982,1,0.0,0.0,0.31092649992052385,3.1553299492385785,0.000788399502886889,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
node_156,23,0.3715415019762846,0.0007610193897643947,0.4026498173970784,2.436548223350254,0.009882328670666695,17.262999999999998,5.737,4.412786849261849,0.24943478260869564,0.05282602338500944,0.0065025287488583465,0.1517440007475822,0.15191582152668207,0.15658761614832903
node_109,5,0.3,1.9287136620097833e-06,0.3608512179809514,2.718781725888325,0.004721489501049498,3.803,1.197,3.628333333333333,0.23940000000000006,0.007844877786217936,0.00154463771039036,0.14224206349206353,0.14227789492983875,0.015722113946197793
node_704,3,0.0,0.0,0.34159051316825306,2.872081218274112,0.001836290067606,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
node_493,86,0.30478796169630645,0.005244545768070325,0.4562604163139698,2.150253807106599,0.06262224886260709,47.803999999999995,38.196,1.267333638293822,0.4441395348837209,0.2649442325439214,0.044656597835076,0.28607687040587304,0.2872219968119147,0.33698051938090734
